ABS results:
538 ABS: 399.20889154050536
475 ABS: 372.2698091100221
507 ABS: 393.7832068546372
530 ABS: 398.42191010409476
509 ABS: 385.569464797043
438 ABS: 353.0472395863472
566 ABS: 411.01329096583737
600 ABS: 413.33907009520175
462 ABS: 371.73478619988634
351 ABS: 345.85151380944944
353 ABS: 375.3148974480939
365 ABS: 372.19565645876736
365 ABS: 369.1268503141135
566 ABS: 397.87066102633474
560 ABS: 403.1004359163599
432 ABS: 400.9580087258
364 ABS: 348.2363288556901
358 ABS: 312.0345098730206
403 ABS: 383.1442387975007
418 ABS: 377.4248583478832
492 ABS: 377.3310195776182
568 ABS: 449.5873902055172
401 ABS: 376.4171779505587
486 ABS: 414.2263111267326
558 ABS: 384.8480257020202
361 ABS: 341.7642755321787
577 ABS: 399.304181463944
562 ABS: 339.3103893630914
528 ABS: 364.4343361101601
577 ABS: 374.9353284190452
577 ABS: 398.160902591965
495 ABS: 369.9810529768678
507 ABS: 411.30879680323756
460 ABS: 387.943241965418
511 ABS: 403.14763926202005
545 ABS: 374.61457947226984
495 ABS: 379.8563241039466
462 ABS: 408.89319531193985
455 ABS: 384.76134967240193
502 ABS: 397.0926694916459
445 ABS: 388.3969254630277
566 ABS: 357.5855455471195
627 ABS: 365.09983815321806
609 ABS: 392.23140589845843
562 ABS: 356.69909418040817
451 ABS: 469.49209020470977
456 ABS: 464.62713880986615
475 ABS: 424.51818048405465
443 ABS: 401.54848728453817
420 ABS: 372.4653366455296
512 ABS: 362.83738145914623
453 ABS: 363.6945304748814
468 ABS: 375.02124142687967
519 ABS: 388.0299886880847
449 ABS: 363.1482610932739
451 ABS: 390.1701819235263
503 ABS: 397.633337414099
532 ABS: 385.66603507236744
546 ABS: 422.9567018957803
546 ABS: 427.4505687164581
490 ABS: 397.1784721675817
512 ABS: 392.3247295897039
533 ABS: 408.8917519846895
514 ABS: 413.26639441960464
546 ABS: 426.2627833697236
504 ABS: 371.6478565996546
437 ABS: 370.89165841208796
435 ABS: 372.70550144084575
473 ABS: 388.3218641318648
424 ABS: 379.8152255193058
461 ABS: 373.8491426031642
489 ABS: 373.71654823890606
444 ABS: 373.1120785953046
403 ABS: 400.1813477844713
457 ABS: 409.71644318288827
451 ABS: 390.17170613799715
427 ABS: 371.822560863063
468 ABS: 401.0544823921124
528 ABS: 376.20223567260786
486 ABS: 370.7461987580797
470 ABS: 396.723997474309
412 ABS: 356.1100106050479
452 ABS: 365.5324193199969
474 ABS: 410.1707456426618
430 ABS: 454.1904430413951
508 ABS: 369.5430123429325
471 ABS: 396.46424054543394
