Real lambda,Predicted lambda
729.9999868869781,742.1274318695068
589.9999932050705,526.4796599149704
605.9999945163727,569.6893731355667
608.0000035762787,563.1870900392532
676.0000032186508,659.7206439971924
758.0000188350677,678.0796492099762
727.9999778270721,667.8120836019516
708.9999866485596,684.568030834198
677.9999885559082,571.3664932250977
552.9999916553497,739.8478751182556
689.999995470047,661.5650562047958
605.9999945163727,548.4924511909485
729.9999868869781,677.1002833843231
740.9999892711639,664.9958019256592
698.9999887943268,716.3099310398102
738.0000231266022,632.7712407112122
716.0000183582306,687.3189091682434
730.9999914169312,695.4309163093567
715.0000138282776,725.9264285564423
754.0000007152557,783.2876505851746
692.000004529953,704.1911211013794
775.0000009536743,710.6933567523956
652.9999939203262,707.1087222099304
707.9999821186066,797.8575320243837
891.0000045299531,894.7064785957338
842.9999768733979,854.3793044090272
681.0000021457672,708.171781539917
672.0000088214874,659.5660434961319
525.0000071525574,592.6997966766357
629.0000038146973,648.1955645084381
534.0000004768372,581.2906497716904
548.4999949932098,631.3712486028671
618.0000014305115,693.33478307724
515.999990105629,538.7390265464783
634.0000027418137,694.434327840805
691.0,613.2359716892242
720.9999935626984,634.4904210567474
630.0000083446503,554.4281899929047
640.000006198883,716.4899384975433
694.000013589859,674.1630162000656
696.000022649765,683.9164408445358
699.9999933242798,688.4483444690704
699.9999933242798,700.8658699989319
706.0000205039978,700.8658699989319
613.0000025033951,699.8540041446686
634.0000027418137,717.4826838970184
587.0000033378601,613.3218951225281
588.0000078678131,575.409069776535
583.0000089406967,561.1904021501541
585.9999988079071,605.2507621049881
547.9999927282333,567.0194364786148
537.9999948740005,564.2576220035553
583.9999897480011,599.0075777769089
593.0000067949295,623.7481178045273
557.0000097751617,574.0123988389969
563.9999940395355,580.5146582126617
474.9999941587448,612.0802991390228
530.0000060796738,665.0296778678894
679.9999976158142,673.1605445146561
780.0000236034393,759.290009021759
784.9999988079071,768.6349771022797
784.9999988079071,780.159677028656
769.0000212192535,669.9980070590973
883.0000157356263,1039.668752193451
682.0000066757202,653.8721570968628
683.9999920129776,703.6196899414062
760.9999849796295,703.6988286972046
694.000013589859,702.4895904064178
905.0000205039979,843.5900540351869
913.0000092983247,1046.6641817092896
897.9999887943269,1005.9341020584108
784.9999988079071,772.7416048049927
709.9999911785126,702.7062256336212
749.9999825954437,757.0495946407318
781.9999852180481,762.5475082397461
717.0000228881836,791.1812195777893
694.000013589859,643.7553963661194
682.0000066757202,703.4127335548401
719.9999890327454,823.3208537101747
683.0000112056732,656.0753269195557
642.9999960660934,737.5777599811554
409.9999962449074,379.92841958999634
393.0000022649765,409.97737669944763
355.0000021159649,386.42465341091156
355.0000021159649,316.92132580280304
365.9999985694885,387.861356317997
499.9999887943268,553.1901761293411
381.9999998807907,448.84492003917694
599.9999910593033,580.1092855930328
381.9999998807907,457.50841945409775
419.0000014305115,457.50840759277344
595.9999966621399,506.46369886398315
883.0000157356263,726.1285455226898
706.0000205039978,728.0486092567444
656.0000075101852,711.066751241684
688.0000101327896,681.6307399272919
719.9999890327454,666.2902756929398
532.9999959468842,642.3171159029007
495.9999943971634,508.3372424840927
531.9999914169312,554.3865330219269
720.9999935626984,634.4904210567474
650.0000040531158,639.6927741765976
683.0000112056732,650.4282215833664
631.9999936819077,665.1033129692078
614.0000070333481,674.856737613678
699.9999933242798,637.4974565505981
553.9999961853027,543.6823757886887
745.000007390976,743.006308555603
758.0000188350677,757.7541573047638
862.0000154972078,858.7831768989564
728.9999823570251,703.9346792697906
775.0000009536743,790.9996464252472
666.000005364418,764.0460205078125
662.0000109672546,726.0425271987915
703.0000069141388,701.627699136734
754.0000007152557,724.2846789360046
793.9999921321869,748.3471307754517
667.000009894371,665.4614300727844
759.0000233650208,741.6645081043243
699.9999933242798,670.049674987793
672.0000088214874,634.0509352684021
707.9999821186066,675.3267307281494
703.0000069141388,698.8362076282501
688.999990940094,762.0805041790009
730.9999914169312,758.6288588047028
702.0000023841858,677.0941154956818
526.0000116825104,586.5532346963882
530.0000060796738,540.4404623508453
657.9999928474426,645.3921167850494
504.0000069141388,510.544326543808
719.9999890327454,795.6716322898865
700.9999978542328,708.1255223751068
698.9999887943268,686.3935360908508
567.0000076293945,667.9595198631287
657.9999928474426,588.7003953456879
540.500006198883,513.4972269535065
532.4999936819077,510.0892312526703
569.9999974966049,617.6713953018188
483.9999993443489,527.580794095993
634.0000027418137,538.8183550834656
620.9999912977219,664.556743144989
636.999992609024,620.2266092300415
786.0000033378601,716.4437267780304
688.0000101327896,735.02259349823
801.9999809265138,756.0399587154388
980.9999852180482,936.9349756240846
800.9999763965608,810.4697256088258
798.000010251999,667.9180526733398
777.0000100135803,831.9152371883393
409.9999962449074,472.77577048540115
417.9999969005585,478.1256073117256
674.9999986886978,682.4424340724945
427.99999475479126,430.3998609185219
769.9999783039093,647.0472934246063
765.0000030994415,641.2792263031006
747.000016450882,724.8991904258728
719.9999890327454,715.6571311950684
719.9999890327454,693.0171842575073
727.9999778270721,727.6883571147919
677.9999885559082,731.7675139904022
692.000004529953,698.7939338684082
689.999995470047,660.3830752372742
704.0000114440918,767.1172020435333
727.9999778270721,729.4806981086731
679.9999976158142,672.9542286396027
671.0000042915344,664.9158091545105
684.9999965429306,685.0807721614838
684.9999965429306,659.996917963028
677.9999885559082,667.8716037273407
683.0000112056732,639.4105932712555
682.0000066757202,672.8083343505859
472.9999969601631,406.49466651678085
482.9999948143959,441.04088032245636
293.0,344.31054106354713
454.20001143217087,411.5221125483513
456.00000298023224,442.53394824266434
435.99999541044235,399.9834043979645
432.79998803138733,419.16745960712433
433.99999821186066,405.12327206134796
480.0000049471855,539.0811545848846
608.0000035762787,528.0882927179337
562.9999895095825,587.2837736606598
579.9999953508377,600.9094936847687
625.0000094175339,628.2874228954315
436.99999994039536,429.4497213959694
499.0000079870224,532.1123893260956
606.9999990463257,529.4327263832092
663.999996304512,680.8002099990845
762.9999940395355,751.5776336193085
640.000006198883,677.3553018569946
739.9999847412109,732.2528319358826
653.9999984502792,683.111697435379
652.9999939203262,681.1435716152191
745.000007390976,732.2719523906708
694.000013589859,675.0929203033447
557.0000097751617,604.6403546333313
556.0000052452087,620.3969852924347
567.9999884366989,606.7065024375916
498.0000034570694,525.9736320972443
609.0000081062317,624.988124370575
561.0000041723251,593.380019903183
673.9999941587448,643.3311879634857
635.0000072717667,656.5854113101959
668.9999952316284,636.5027184486389
651.0000085830688,658.953453540802
571.0000020265579,562.9647613763809
594.0000113248825,610.9240097999573
604.0000091791153,658.2888398170471
589.9999932050705,608.322062253952
616.9999969005585,661.7437589168549
594.9999921321869,590.112889289856
562.9999895095825,580.0341559648514
558.9999951124191,568.2150342464447
787.0000078678131,703.6841206550598
895.0000226497651,740.3497514724731
733.0000004768372,588.8421144485474
739.9999847412109,792.807834148407
723.0000026226044,694.376681804657
792.9999876022339,651.1617021560669
663.999996304512,789.1087141036987
673.9999941587448,742.4790015220642
746.000011920929,663.9028520584106
730.9999914169312,638.4205996990204
716.0000183582306,694.376681804657
712.0000002384186,674.5262336730957
733.0000004768372,731.8556199073792
712.0000002384186,723.3614883422852
