Real lambda,Predicted lambda
597.0000011920929,635.5472650527954
745.000007390976,765.6794672012329
778.0000145435333,738.8762903213501
738.9999802112579,756.8220944404602
758.0000188350677,780.374082326889
787.0000078678131,753.5709528923035
755.0000052452087,761.6342811584473
862.0000154972078,787.6433186531067
895.0000226497651,834.747389316559
948.9999825954438,781.1411304473877
887.9999909400941,802.3379812240602
922.0000026226045,849.4420518875123
971.9999918937684,795.8357455730438
605.9999945163727,548.4924511909485
594.0000113248825,519.9773768186569
731.9999959468842,701.6924619674683
562.0000087022781,678.0796492099762
557.9999905824661,698.3804955482483
678.9999930858612,674.8284839391708
727.0000207424164,666.0649816989899
729.9999868869781,742.1274318695068
745.000007390976,765.6794197559357
679.9999976158142,644.5149244070053
730.9999914169312,695.4309163093567
723.0000026226044,712.6463475227356
728.9999823570251,695.7620370388031
692.000004529953,678.0796492099762
847.999999523163,678.0796492099762
775.0000009536743,678.0796492099762
688.0000101327896,715.0474116802216
709.9999911785126,655.1637841463089
733.0000004768372,648.661524772644
739.9999847412109,697.8680863380432
739.9999847412109,728.0486092567444
723.0000026226044,725.9264285564423
706.0000205039978,723.8042478561401
707.9999821186066,721.5463261604309
715.0000138282776,725.9264285564423
720.9999935626984,741.0531754493713
761.9999895095825,655.3183134794235
773.9999964237213,650.3748219013214
688.999990940094,671.5773661136627
777.0000100135803,681.3274221420288
792.9999876022339,676.3839305639267
723.0000026226044,665.0712399482727
792.9999876022339,674.8213196992874
707.9999821186066,660.288232088089
666.000005364418,688.8123922348022
630.9999891519547,594.5042362213135
602.0000001192093,580.2855448722839
726.0000162124634,672.1589031219482
697.9999842643738,657.9402354955673
662.0000109672546,686.4643481969833
677.0000077486038,696.43865442276
663.999996304512,682.2199867963791
714.0000092983246,713.6874871253967
696.9999797344208,699.4688906669617
703.0000069141388,728.3806314468384
696.000022649765,708.6062381267548
695.000018119812,739.4126119613647
716.0000183582306,723.3084444999695
697.9999842643738,705.5123777389526
724.0000071525574,691.2936863899231
695.000018119812,671.2678092718124
696.9999797344208,648.1848418712616
669.9999997615814,575.6627123355865
662.0000109672546,577.0666661262512
691.0,687.7811449766159
625.9999902248383,652.0705405473709
673.9999941587448,750.879855632782
697.9999842643738,703.4397773742676
682.0000066757202,659.9103302955627
739.9999847412109,676.887823343277
729.9999868869781,687.2058707475662
723.0000026226044,670.3252609968185
694.000013589859,649.7194600105286
677.0000077486038,752.2494115829468
697.9999842643738,657.8466733694077
688.0000101327896,661.8239414691925
708.9999866485596,668.326224565506
730.9999914169312,666.0683265924454
738.0000231266022,632.7712169885635
627.9999992847443,724.9565517902374
621.9999958276749,659.6624760627747
698.9999887943268,617.5589499473572
726.0000162124634,584.3567072153091
704.0000114440918,705.2075417041779
705.0000159740448,718.2814254760742
677.0000077486038,642.3348604440689
754.0000007152557,690.8944342136383
721.9999980926514,651.994628071785
738.0000231266022,676.8241754770279
731.9999959468842,658.4935425519943
717.0000228881836,672.4728012084961
746.000011920929,683.3264585733414
766.0000076293945,691.7424714565277
686.0000010728836,687.9427436590195
704.0000114440918,690.064900636673
730.9999914169312,696.5638151168823
746.000011920929,698.6860432624817
707.9999821186066,692.1837601661682
746.000011920929,759.4644179344177
760.9999849796295,692.3594026565552
765.0000030994415,746.9584069252014
761.9999895095825,681.3274221420288
738.0000231266022,696.6037640571594
830.0000128746034,692.3594026565552
688.0000101327896,711.0701198577881
688.0000101327896,713.0587894916534
688.0000101327896,669.5830030441284
697.9999842643738,658.5510462522507
672.9999896287918,629.0232520103455
678.9999930858612,659.8295783996582
683.9999920129776,648.7976216077805
683.9999920129776,653.0349373817444
689.999995470047,654.4468145370483
706.9999775886536,712.8088002204895
731.9999959468842,671.4021506309509
754.0000007152557,783.2876505851746
789.0000169277191,716.4863801002502
747.000016450882,776.0317463874817
733.0000004768372,720.6941137313843
698.9999887943268,708.0119383335114
693.000009059906,688.0156433582306
708.9999866485596,668.326224565506
730.9999914169312,666.0683265924454
714.0000092983246,700.9472861289978
716.0000183582306,730.3098521232605
712.0000002384186,711.9792191982269
673.9999941587448,705.0314722061157
667.9999907016754,718.6598017215729
669.9999997615814,729.6917822360992
735.0000095367432,698.5291891098022
733.0000004768372,712.1575660705566
733.0000004768372,741.5201320648193
730.9999914169312,723.189546585083
712.0000002384186,719.7603902816772
712.0000002384186,733.3887672424316
710.9999957084656,762.7513332366943
713.0000047683716,744.420747756958
749.9999825954437,713.2581071853638
751.9999916553497,726.8865315914154
749.9999825954437,756.2490975856781
748.000020980835,737.9184646606445
653.9999984502792,691.080846786499
658.9999973773956,756.1035828590393
681.0000021457672,756.1035828590393
573.9999918937683,598.778156042099
567.9999884366989,663.8009158372879
631.9999936819077,699.9272122383118
691.0,706.4294953346252
688.0000101327896,666.8008108139038
707.9999821186066,731.7545614242554
699.9999933242798,766.5025482177734
671.0000042915344,658.3052558898926
683.0000112056732,678.6061022281647
731.9999959468842,701.6924619674683
723.0000026226044,670.3252609968185
727.0000207424164,730.1968374252319
672.9999896287918,663.8070837259293
727.0000207424164,666.0649816989899
693.000009059906,694.9063136577606
710.9999957084656,674.8251390457153
679.9999976158142,644.5149244070053
676.0000032186508,729.8876838684082
688.0000101327896,715.0474116802216
799.000014781952,730.3098521232605
717.9999799728394,674.9382011890411
683.0000112056732,674.9382011890411
741.999993801117,668.4359180927277
707.9999821186066,721.5463261604309
739.9999847412109,728.0486092567444
706.0000205039978,723.8042478561401
723.0000026226044,725.9264285564423
765.0000030994415,715.0474116802216
712.0000002384186,655.3183134794235
713.0000047683716,651.3410453796387
793.9999921321869,674.8251390457153
792.9999876022339,655.3183134794235
737.0000185966492,681.3274221420288
684.9999965429306,617.1317050457001
819.0000104904176,848.3102917671205
758.0000188350677,710.6933567523956
847.999999523163,710.6933567523956
648.9999995231628,633.2713615894318
742.99999833107,674.8217941522598
