Real lambda,Predicted lambda
729.9999868869781,721.5520670413971
589.9999932050705,586.7483060359955
605.9999945163727,607.8877717256546
608.0000035762787,597.316508769989
676.0000032186508,723.6959776878357
758.0000188350677,707.4424049854279
727.9999778270721,755.112165927887
708.9999866485596,699.6537375450134
677.9999885559082,655.6807718276978
552.9999916553497,619.8451015949249
689.999995470047,716.7556796073914
605.9999945163727,581.8229860067368
729.9999868869781,716.9420447349548
740.9999892711639,711.3465361595154
698.9999887943268,738.6847062110901
738.0000231266022,718.3344218730927
716.0000183582306,735.127637386322
730.9999914169312,725.97496509552
715.0000138282776,717.0967638492584
754.0000007152557,737.5113365650177
692.000004529953,820.8910851478578
775.0000009536743,784.3063960075378
652.9999939203262,705.5188777446747
707.9999821186066,682.065670967102
891.0000045299531,862.3675267696382
842.9999768733979,845.6606142520906
681.0000021457672,688.0444900989532
672.0000088214874,680.1488809585571
525.0000071525574,510.92180132865906
629.0000038146973,654.8763842582703
534.0000004768372,515.4831922054291
548.4999949932098,541.3565835952759
618.0000014305115,647.2250946760178
515.999990105629,522.7837187051773
634.0000027418137,647.6737611293793
691.0,667.738899230957
720.9999935626984,674.498952627182
630.0000083446503,599.0091909170151
640.000006198883,626.9334764480591
694.000013589859,688.8763484954834
696.000022649765,699.304113149643
699.9999933242798,680.381552696228
699.9999933242798,691.0197372436523
706.0000205039978,732.4573211669922
613.0000025033951,639.3535403013229
634.0000027418137,637.4163725376129
587.0000033378601,586.4404335021973
588.0000078678131,582.9881950616837
583.0000089406967,575.3884785175323
585.9999988079071,691.3882923126221
547.9999927282333,548.3713470697403
537.9999948740005,504.20750892162323
583.9999897480011,619.9909484386444
593.0000067949295,682.1869411468506
557.0000097751617,586.9573500156403
563.9999940395355,584.8292860984802
474.9999941587448,657.4123591184616
530.0000060796738,673.486564874649
679.9999976158142,714.9998240470886
780.0000236034393,782.7529420852661
784.9999988079071,783.5622165203094
784.9999988079071,799.5180225372316
769.0000212192535,725.9803738594055
883.0000157356263,1002.2315659523011
682.0000066757202,664.8873656988144
683.9999920129776,688.188628911972
760.9999849796295,776.8850975036621
694.000013589859,724.7970407009125
905.0000205039979,1145.7501740455627
913.0000092983247,914.6701312065126
897.9999887943269,893.1566305160524
784.9999988079071,796.5272607803346
709.9999911785126,657.1826527118683
749.9999825954437,803.8057489395143
781.9999852180481,783.1697015762329
717.0000228881836,732.6030731201172
694.000013589859,678.1722149848938
682.0000066757202,697.5501554012299
719.9999890327454,758.3161942958832
683.0000112056732,669.9887552261353
642.9999960660934,650.1393746137619
409.9999962449074,380.67591431736946
393.0000022649765,374.798076570034
355.0000021159649,350.93985894322395
355.0000021159649,367.3113213479519
365.9999985694885,356.69314685463905
499.9999887943268,538.795320391655
381.9999998807907,392.3177210986614
599.9999910593033,599.1447184085846
381.9999998807907,430.4140233397484
419.0000014305115,442.4003541469574
595.9999966621399,515.5034513473511
883.0000157356263,769.3894996643066
706.0000205039978,739.2247760295868
656.0000075101852,648.2744660377502
688.0000101327896,635.2752848863602
719.9999890327454,716.2871572971344
532.9999959468842,579.529266834259
495.9999943971634,499.931382894516
531.9999914169312,525.4208469390869
720.9999935626984,674.4989289045334
650.0000040531158,649.0788536071777
683.0000112056732,635.9059752225876
631.9999936819077,628.9244946241379
614.0000070333481,666.8253400325775
699.9999933242798,699.3277409076691
553.9999961853027,559.9939503669739
745.000007390976,728.9380187988281
758.0000188350677,753.2917847633362
862.0000154972078,808.630650997162
728.9999823570251,731.6595284938812
775.0000009536743,751.9274477958679
666.000005364418,732.1459851264954
662.0000109672546,652.0838252305984
703.0000069141388,692.7447533607483
754.0000007152557,705.4334762096405
793.9999921321869,765.9750988483429
667.000009894371,713.7845602035522
759.0000233650208,724.1571459770203
699.9999933242798,718.3126919269562
672.0000088214874,625.6557034254074
707.9999821186066,696.8895745277405
703.0000069141388,692.573570728302
688.999990940094,751.025228023529
730.9999914169312,774.3991062641144
702.0000023841858,707.2205033302307
526.0000116825104,568.1767221689224
530.0000060796738,553.9033501148224
657.9999928474426,630.8804032802582
504.0000069141388,536.2200845479965
719.9999890327454,762.9371290206909
700.9999978542328,693.0087389945984
698.9999887943268,713.0133368968964
567.0000076293945,676.7630896568298
657.9999928474426,587.0094212293625
540.500006198883,510.03298485279083
532.4999936819077,529.7269583940506
569.9999974966049,613.7985068559647
483.9999993443489,487.19230872392654
634.0000027418137,558.2409652471542
620.9999912977219,631.0085767507553
636.999992609024,616.919553399086
786.0000033378601,846.9907431602479
688.0000101327896,756.7289118766785
801.9999809265138,736.4972882270813
980.9999852180482,995.5998995304109
800.9999763965608,840.202175140381
798.000010251999,714.9423677921295
777.0000100135803,837.7195999622346
409.9999962449074,419.5831753015518
417.9999969005585,454.2091683745384
674.9999986886978,484.9155037999153
427.99999475479126,361.9774617254734
769.9999783039093,658.0156497955322
765.0000030994415,659.8628138303757
747.000016450882,730.3024506568909
719.9999890327454,710.553962469101
719.9999890327454,740.8562774658203
727.9999778270721,707.4407918453217
677.9999885559082,670.6002776622772
692.000004529953,689.3586536645889
689.999995470047,677.4362198114395
704.0000114440918,735.3122944831848
727.9999778270721,773.8615036010742
679.9999976158142,659.9776788949966
671.0000042915344,681.4657014608383
684.9999965429306,687.3482303619385
684.9999965429306,685.9933824539185
677.9999885559082,701.1516330242157
683.0000112056732,660.0711224079132
682.0000066757202,688.8006258010864
472.9999969601631,457.29612547159195
482.9999948143959,476.2656923532486
293.0,329.76963090896606
454.20001143217087,416.707515835762
456.00000298023224,436.2864819765091
435.99999541044235,415.76452869176865
432.79998803138733,430.56651252508163
433.99999821186066,408.95216685533524
480.0000049471855,572.5250836610794
608.0000035762787,600.3145533800125
562.9999895095825,559.5624591112137
579.9999953508377,549.8515454530716
625.0000094175339,612.8412979841232
436.99999994039536,424.31702983379364
499.0000079870224,553.3558551073074
606.9999990463257,573.9811561107635
663.999996304512,676.2206712961197
762.9999940395355,755.2993850708008
640.000006198883,664.1643942594528
739.9999847412109,729.6851873397827
653.9999984502792,698.6774082183838
652.9999939203262,675.9444922208786
745.000007390976,758.5837383270264
694.000013589859,694.6220688819885
557.0000097751617,605.2346781492233
556.0000052452087,610.3372300863266
567.9999884366989,598.4309276342392
498.0000034570694,522.4467384815216
609.0000081062317,595.449749827385
561.0000041723251,556.9317597150803
673.9999941587448,678.9569602012634
635.0000072717667,610.9992343187332
668.9999952316284,651.6929708719254
651.0000085830688,684.4988318681717
571.0000020265579,591.5468047857285
594.0000113248825,607.2450302839279
604.0000091791153,620.6199070215225
589.9999932050705,571.3231045007706
616.9999969005585,654.4188929796219
594.9999921321869,599.286318898201
562.9999895095825,596.8571908473969
558.9999951124191,566.2686620950699
787.0000078678131,764.438915014267
895.0000226497651,900.1000599861146
733.0000004768372,716.6794350147247
739.9999847412109,696.5876801013947
723.0000026226044,727.3394918441772
792.9999876022339,758.5127601623535
663.999996304512,696.0521650314331
673.9999941587448,622.6142463684082
746.000011920929,720.6945881843567
730.9999914169312,715.4104156494141
716.0000183582306,735.3224952220917
712.0000002384186,733.8773589134216
733.0000004768372,719.6504120826721
712.0000002384186,708.0972924232483
751.9999916553497,742.842052936554
658.9999973773956,641.333598613739
679.9999976158142,653.1999521255493
706.0000205039978,678.3921239376068
765.0000030994415,783.4497711658478
712.0000002384186,652.9819884300232
745.000007390976,697.3421552181244
796.000001192093,770.5026137828827
735.0000095367432,674.3989379405975
749.9999825954437,774.46040558815
847.999999523163,774.2396900653839
825.9999947547914,758.9556620121002
834.9999880790712,855.7805063724519
674.9999986886978,655.8237007856369
676.0000032186508,619.1320462226868
625.0000094175339,610.8760900497437
631.9999936819077,597.8891735076904
576.0000009536743,590.1563017368317
657.9999928474426,672.7335605621338
678.9999930858612,699.1209268569946
720.9999935626984,707.1423609256744
599.9999910593033,652.1046299934387
650.0000040531158,587.595963716507
698.9999887943268,637.7194293737411
679.9999976158142,690.3052110671997
630.0000083446503,582.5706290006638
651.9999893903732,655.1812677383423
691.0,706.8889081478119
699.9999933242798,698.9434340000153
651.0000085830688,718.3713343143463
691.0,683.2558362483978
703.0000069141388,713.513267993927
706.0000205039978,706.6161451339722
698.9999887943268,687.1891462802887
567.9999884366989,622.8087958097458
530.0000060796738,546.932354927063
577.0000054836273,579.4159200191498
559.9999996423721,531.9002614021301
490.0000028014183,526.425097823143
552.0000108480453,552.083822965622
613.0000025033951,598.5899405479431
493.000004529953,581.1557865142822
505.9999922513962,650.00543653965
688.0000101327896,691.4943325519562
635.0000072717667,674.4443905353546
822.9999811649324,814.6512694358827
780.9999806880951,767.4208519458771
794.9999966621399,833.8972644805909
414.9999951720238,395.0147193670273
1089.0,1018.3607845306398
922.0000026226045,920.0398950576783
911.0000002384187,911.567730665207
605.9999945163727,660.6850171089172
630.0000083446503,732.5128796100616
775.0000009536743,755.5108487606049
801.9999809265138,761.0812113285065
737.0000185966492,779.275723695755
731.9999959468842,719.5264375209808
733.0000004768372,685.0027720928192
733.0000004768372,711.0457804203033
724.0000071525574,682.3427040576935
686.0000010728836,645.3404725790024
692.000004529953,672.8208599090576
349.99999725818634,398.7441806793213
333.99999891221523,364.149430334568
