Real lambda,Predicted lambda
597.0000011920929,618.8047211170197
745.000007390976,728.8532814979553
778.0000145435333,763.1868810653687
738.9999802112579,737.0455660820007
758.0000188350677,744.346780538559
787.0000078678131,778.6803801059723
755.0000052452087,778.9077854156494
862.0000154972078,848.4144816398622
895.0000226497651,867.6640825271608
948.9999825954438,936.500756263733
887.9999909400941,863.908028125763
922.0000026226045,883.1576290130616
971.9999918937684,951.9942553043367
605.9999945163727,581.8230097293854
594.0000113248825,576.1770668029785
731.9999959468842,713.9374763965607
562.0000087022781,684.1444392204285
557.9999905824661,699.7463507652283
678.9999930858612,695.095810174942
727.0000207424164,706.1198673248291
729.9999868869781,718.193841457367
745.000007390976,725.5183041095734
679.9999976158142,651.6099416017532
730.9999914169312,725.9749176502228
723.0000026226044,719.4010870456696
728.9999823570251,711.8813869953156
692.000004529953,774.5087523460388
847.999999523163,711.5545363426208
775.0000009536743,763.0573554039001
688.0000101327896,686.3973317146301
709.9999911785126,674.9616628885269
733.0000004768372,736.4692006111145
739.9999847412109,737.3272013664246
739.9999847412109,732.2824852466583
723.0000026226044,719.8059377670288
706.0000205039978,713.6343483924866
707.9999821186066,709.8936188220978
715.0000138282776,717.0967164039612
720.9999935626984,703.0884923934937
761.9999895095825,719.4301710128784
773.9999964237213,790.3739378452301
688.999990940094,691.9947381019592
777.0000100135803,747.5998673439026
792.9999876022339,806.4517731666566
723.0000026226044,735.4111230373383
792.9999876022339,791.1370005607605
707.9999821186066,688.4226765632629
666.000005364418,710.2187614440918
630.9999891519547,631.1245805025101
602.0000001192093,623.5248639583588
726.0000162124634,699.2617919445038
697.9999842643738,691.6620991230011
662.0000109672546,654.0692448616028
677.0000077486038,672.8140989542007
663.999996304512,665.2143349647522
714.0000092983246,707.4089560508728
696.9999797344208,699.8091683387756
703.0000069141388,692.8984761238098
696.000022649765,675.9305195808411
695.000018119812,703.2820217609406
716.0000183582306,696.4396982192993
697.9999842643738,691.407744884491
724.0000071525574,683.8080520629883
695.000018119812,676.9850387573242
696.9999797344208,693.6790461540222
669.9999997615814,599.2742915153503
662.0000109672546,650.1099348068237
691.0,685.4463856220245
625.9999902248383,654.6664862632751
673.9999941587448,630.2286709547043
697.9999842643738,696.9216001033783
682.0000066757202,736.1151638031006
739.9999847412109,729.3555374145508
729.9999868869781,718.3276371955872
723.0000026226044,706.8525176048279
694.000013589859,718.3887941837311
677.0000077486038,637.1085000038147
697.9999842643738,685.639440536499
688.0000101327896,680.3637132644653
708.9999866485596,691.396737575531
730.9999914169312,706.5584516525269
738.0000231266022,718.3344693183899
627.9999992847443,667.2353622913361
621.9999958276749,615.5472456216812
698.9999887943268,774.0443577766418
726.0000162124634,739.3641228675842
704.0000114440918,703.2581567764282
705.0000159740448,706.284882068634
677.0000077486038,684.1193881034851
754.0000007152557,723.0084953308105
721.9999980926514,697.8196921348572
738.0000231266022,708.2160954475403
731.9999959468842,699.1831750869751
717.0000228881836,713.193249464035
746.000011920929,720.3794090747833
766.0000076293945,730.1082096099854
686.0000010728836,663.6786967515945
704.0000114440918,680.4591732025146
730.9999914169312,704.1757488250732
746.000011920929,716.7865190505981
707.9999821186066,690.4771528244019
746.000011920929,756.6006197929382
760.9999849796295,669.2672545909882
765.0000030994415,706.4047763347626
761.9999895095825,658.8836615085602
738.0000231266022,694.7961931228638
830.0000128746034,781.5159957408905
688.0000101327896,687.3436756134033
688.0000101327896,686.8290839195251
688.0000101327896,720.5124931335449
697.9999842643738,710.128900051117
672.9999896287918,679.4388383626938
678.9999930858612,706.7903168201447
683.9999920129776,696.4067711830139
683.9999920129776,709.5662462711334
689.999995470047,739.266907453537
706.9999775886536,696.9529139995575
