Real lambda,Predicted lambda
655.0,632.1178719932658
614.0,643.2292324535821
765.0,714.9821723802228
653.0,680.6023544720696
905.0,961.7742657146857
619.0,503.7531434036443
371.0,413.12277017637257
576.0,590.7727990206513
675.0,703.6992431411134
718.0,712.686627264648
700.0,671.3575828433321
706.0,719.0023279139897
629.0,674.0929424633141
673.0,689.7987723660632
750.0,740.032042284273
731.0,730.9555006476435
679.0,637.7656728788005
500.00000000000006,495.3253686737825
570.0,606.8439818137542
586.0,559.3263698723689
478.0,498.16352264393004
658.0,597.3890405174791
683.0,684.4598342668578
664.0,684.1014860220153
711.0,723.6461443704026
692.0,678.9691127772335
740.0,740.0138958137971
656.0,644.4089453278467
621.0,621.0100528078485
493.0,474.6393847983447
797.0,910.6593318429672
691.0,690.9979663111606
801.0000000000001,797.765317947926
541.0,532.6100663272251
597.0,599.5650666521591
674.0,709.1773366294511
765.0,765.1580434997377
631.0,677.4513647213936
596.0,588.9759537623864
500.00000000000006,501.07510477500887
681.0,720.3795860466984
676.0,672.8395882816096
668.0,668.285948335534
724.0,701.8403680844314
478.99999999999994,494.8659126528627
708.0,708.2497684040711
691.0,687.4329959812126
423.0,401.9813598325873
795.0,758.2201191214232
726.0,716.6794764899696
581.0,566.1454646536644
539.0,535.9442987153164
560.0,547.0726986103991
366.0,384.39076221689044
663.0,665.5634955081013
775.0,714.9119851475341
704.0,718.9407888298484
560.0,568.1661873521223
796.0,794.6667994327173
715.0,715.0656206335327
535.5,539.8491007783684
379.0,429.59464859575644
715.0,705.0935472726823
701.0,689.1943046789577
530.0,527.8615709529771
293.0,390.92227382923556
662.0,671.8304705461829
435.00000000000006,405.14120744292734
685.0,672.0352992855696
688.0,686.4795015208107
692.0,733.8913299468838
774.0,649.0564805295767
798.9999999999999,789.7681892027239
642.0,634.1534148748848
548.0,538.0484602639737
699.0,719.4438003942818
554.0,544.5559588162771
502.0,505.97172795242
559.0,558.4257600863087
699.0,705.8074939944378
1039.0,1008.1845843288136
671.0,644.7803919002268
636.0,582.0391953890462
611.0,586.9263588491289
597.0,594.9505709163333
