Real lambda,Predicted lambda
666.0,665.8880261150141
785.0,785.0140851684959
529.0,528.9190313595931
651.0,650.8847864862227
708.0,707.8936025749883
640.0,639.9370356850089
581.0,580.9992491339767
720.0,719.9276530484796
688.0,687.0422403485744
782.0,782.0759946714919
608.0,608.0178476946882
726.0,726.0322398272536
617.0,617.2280686220306
695.0,694.077855418837
597.0,597.3372367440179
568.5,567.8843368116401
394.0,394.44381866182624
432.0,432.482843557949
554.0,553.9323259005441
629.0,628.9167540809805
607.0,605.9867138398804
724.0,724.8028862983887
797.0,796.7520669252687
613.0,613.1185741841308
729.0,729.1552541431837
642.0,642.8855453914937
554.0,553.5435213972941
503.0,502.8925941765987
793.0,793.1238390204838
505.00000000000006,504.98290894406733
699.0,698.5677716064188
652.0,652.1203445739227
666.0,665.9925723376294
785.0,785.3277656082721
891.0000000000001,890.0240768457923
708.0,707.8936025749883
712.0,711.661619344397
584.0,583.897970116745
732.0,731.3964626148598
891.0000000000001,889.025308448217
568.0,567.7654611485921
711.0,711.1394230430808
600.0,599.9336002015195
796.0,794.9182732254507
689.0,688.3751202876279
650.0,650.0362129801495
434.6,434.9010719086005
683.0,679.6048705133716
632.0,632.2559391228104
723.0,722.9615479476531
698.0,698.1103900269483
674.0,673.9865233085003
423.6000000000001,423.1031771615949
784.0,783.9204727981457
727.0,726.9556854199808
685.0,685.359309701006
664.0,663.6376960772401
802.0000000000001,800.9699139666851
698.0,701.80278435014
577.0,576.8853816093037
743.0,742.9774696003245
359.0,358.949906365929
770.0,769.7708228822856
741.0,740.5004355069374
546.0,589.6317207631503
457.0,456.430585137292
703.0,702.5215417163266
742.0,741.5223580837697
786.0,785.896760002631
523.0,523.0518904070177
724.0,723.7032142702895
390.0,390.2340231559921
745.0,744.753275114391
802.0000000000001,801.86078956593
573.0,573.0376234721879
712.0,712.1565796388826
754.0,753.717772505803
660.0,659.7367567313075
685.0,684.6991715801175
818.0,818.0372530805695
498.99999999999994,499.1855686053667
680.0,684.1523972237511
699.0,699.1401141304067
704.0,703.707841279784
688.0,687.4913338670692
913.0,913.319182160425
483.0,482.43060697073906
913.0,914.3445684336084
633.0,633.0335669570933
699.0,699.8526498147653
664.0,662.3208593415621
361.0,360.8506758471041
721.0,718.759214158742
485.00000000000006,481.91447529366695
678.0,677.8803913563524
720.0,723.4264489725971
681.0,681.1762728267287
689.0,688.3989365411861
798.0,797.888402525156
635.0,635.058879677864
505.00000000000006,505.3951199915388
666.0,666.4817637017699
678.0,677.9100976876127
536.0,536.087021271821
688.0,688.2966595500092
640.0,640.1884146917938
553.0,552.7780815011008
671.0,671.3497335214682
553.0,559.780993877355
521.0,521.1507001692412
779.0,779.2685250389409
765.0,765.1580434997377
588.0,588.1214231988237
676.0,676.0449388927216
634.0,633.942740873523
355.0,355.32160281353714
682.0,682.250401842806
587.0,586.7450985972498
674.0,668.1870961919336
569.0,568.7876842195493
384.0,383.98055155309225
686.0,686.4679501336212
548.0,548.2893703078953
744.0,743.9058280723756
659.0,658.0423067915301
709.0,708.9876376523674
746.0,746.3997531601718
607.5,607.6896007040486
666.0,665.8880261150141
686.0,685.9337504928961
658.0,658.1210676685045
714.0,714.066579947115
635.0,634.9584822439772
680.0,680.1006312612658
604.0,604.0614800355587
670.0,669.9591789464315
667.0,666.9731540841406
700.0,700.9720558664105
643.0,643.1370805954766
680.0,680.0297517169378
682.0,682.3230145904196
639.0,638.9163322888912
608.0,607.1023978236565
755.0,755.2926715316607
688.0,687.7049948994215
688.0,688.725595705196
738.0,738.0716023053283
668.0,667.9527574841367
710.0,710.3196366401961
743.0,742.4074161990908
590.0,589.5027910622491
723.0,722.9615479476531
552.0,551.9587228681183
723.0,722.9614039244306
656.0,656.1076427056292
595.0,594.5299162430751
712.0,712.0578441038338
675.0,674.8697827310477
527.0,526.9498032026197
700.0,699.9803358493145
558.0,561.6740173472092
365.0,364.87073906860576
738.0,738.0716023053283
468.0,467.9093203361364
606.0,607.2550617467492
726.0,720.5551702018838
780.0,779.0404836475835
1026.0,1028.1485760472244
761.0,761.3624886461942
685.0,685.2458552360943
682.0,682.1987389339654
668.0,667.4345188670401
694.0,694.0915903933185
433.8,433.7530788094812
706.0,705.9404256714581
695.0,695.5003443941264
501.0,501.2999856621813
515.0,515.2683506826902
569.0,568.7200955593217
705.0,705.3020506767473
669.0,669.1090114112582
681.0,681.406656271821
360.0,360.18209221963605
677.0,677.7721095254159
574.0,574.1003493701869
530.0,532.2564600724506
422.0,421.8973907775015
698.0,697.9889602365303
442.0,442.00302368163767
779.0,778.6855702606409
681.0,680.5410695483673
582.0,581.9559187515362
732.0,732.3669887358543
718.0,716.4149857824314
680.0,679.625470296358
543.0,542.9694577122423
688.0,688.0495396227301
766.0,765.8267236106017
746.0,745.8802924274593
571.0,571.0309457626043
360.0,360.3122015895609
532.0,531.9171939500094
636.0,636.4086589512474
731.0,731.4597579994257
680.0,680.0733001812578
684.0,683.860243743221
1035.0,1039.7995321035262
619.0,618.9747658939103
713.0,713.0689212974686
563.0,563.2833601105314
666.0,666.1535538193914
691.0,690.7524823789503
683.0,683.3366833832188
370.0,369.35151692470373
677.0,677.7502566082667
525.0,524.9919396683958
682.0,681.6627412607019
654.0,654.1711861331282
634.0,634.0409558235558
782.0,782.0197328669925
716.0,715.6897376583553
366.0,366.8509736025573
399.99999999999994,399.7959348230035
747.0,747.16794219875
680.0,680.2447995055824
558.0,558.1951524153944
657.0,656.8148291321689
708.0,708.0563329219078
723.0,722.9267810813761
704.0,703.8629490896521
1046.0,1032.791959472881
691.0,691.0552549754458
683.0,682.4598680560235
697.0,697.6169051904327
680.0,679.1502861730426
553.0,553.2520015825075
700.0,700.4858007749332
533.0,533.1287026584063
709.0,709.1974509505369
456.0,455.9309669953238
733.0,732.8546074631772
633.0,632.9638829367524
550.0,550.3591089143483
721.0,718.759214158742
477.0,476.478271760914
763.0,763.2623898735019
760.0,756.064697418844
506.0,505.96854007667287
548.0,548.2893703078953
685.0,685.0009820511467
649.0,648.7351460428881
537.0,536.520149889879
750.0,750.7868397375249
363.0,363.2006573076122
698.0,698.0158248496552
403.0,403.1103380400021
630.0,629.9566107500275
728.0,728.1442465820602
675.0,675.0814510938752
696.0,696.302314504471
720.0,719.8249875975763
680.0,679.9888015033729
750.0,749.8227534247394
528.0,528.6499357036822
883.0,882.1797075828722
360.0,359.67462796480464
582.0,582.1154102900001
804.0,803.9911366997387
505.00000000000006,505.1129906899986
560.0,560.1178594226733
688.0,687.7648066119693
1089.0,1081.3619389385544
692.0,691.74917227736
684.0,684.0627612309216
694.0,693.8453458808301
981.0000000000001,979.478885611765
693.0,692.9443310215523
532.5,532.4785454531121
783.0,783.0645535964682
706.0,705.9766390575675
688.0,689.1733200024341
654.0,653.8959887294072
823.0,823.2251034995478
