Real lambda,Predicted lambda
691.0,684.2699
608.0,596.94855
500.00000000000006,495.54285
617.0,649.9351
718.0,709.6443
360.0,370.454
775.0,755.42523
675.0,681.8799
588.0,590.90656
676.0,676.3386
505.00000000000006,511.32486
530.0,546.644
673.0,675.6518
382.0,421.59848
635.0,706.46796
700.0,736.1784
668.0,669.15607
797.0,705.363
581.0,564.6511
636.0,659.99023
649.0,698.2815
695.0,673.7562
570.0,589.245
723.0,698.73145
694.0,713.91705
696.0,692.44135
409.99999999999994,390.844
681.0,672.46796
524.0,550.2014
568.0,553.3727
706.0,733.242
728.0,720.1627
697.0,671.89703
617.0,646.8794
778.0,749.04285
750.0,755.7059
911.0000000000001,889.6681
774.0,752.7964
712.0,690.2849
683.0,678.9089
634.0,547.2486
422.0,487.74045
730.0,712.8092
698.0,697.643
619.0,632.0309
691.0,686.4644
725.0,658.8167
779.0,760.04156
728.0,719.6479
649.0,644.87317
883.0,830.97485
713.0,705.35596
818.0,797.07513
630.0,669.81683
419.0,404.77286
793.0,742.90674
700.0,699.1297
740.0,730.1788
550.0,583.76843
723.0,716.0762
819.9999999999999,805.1853
680.0,676.25397
497.5,508.27026
706.0,698.9143
643.0,645.62775
675.0,698.03766
632.0,657.3456
668.0,671.99884
665.0,673.91846
731.0,691.2861
522.0,543.19635
804.0,631.44385
649.0,647.88086
570.0,579.6671
505.00000000000006,508.95532
677.0,638.4193
746.0,737.94696
679.0,660.25134
699.0,696.2416
617.0,588.5333
678.0,633.59674
658.0,570.9699
699.0,708.48474
708.0,680.4734
431.2,424.4769
696.0,699.62946
529.0,547.3959
747.0,771.61523
661.0,615.0888
402.0,417.10016
411.0,408.30295
574.0,690.7209
826.0,834.3083
666.0,642.3194
700.0,696.257
515.0,541.2474
1041.0,989.54065
685.0,694.5984
726.0,704.85504
706.0,700.1182
688.0,679.62164
646.0,670.0793
693.0,683.7416
678.0,677.6144
694.0,690.31866
530.0,704.23285
553.0,554.31494
801.0000000000001,784.6543
650.0,634.11566
625.0,655.9313
558.0,572.45337
663.0,634.8068
670.0,676.8232
640.0,648.0185
566.0,567.7643
350.0,420.6119
672.0,757.71124
384.0,414.98645
606.0,617.3421
708.0,697.652
355.0,377.60715
641.0,651.6281
550.0,589.47894
684.0,738.48303
685.0,676.7332
521.0,560.856
679.0,579.1796
