Real lambda,Predicted lambda
686.0,694.67017
802.0000000000001,644.3205
419.0,503.02985
746.0,670.97375
698.0,636.127
568.0,576.2869
390.0,525.62787
347.0,348.52094
640.0,653.9977
576.0,636.98
760.0,711.6475
604.0,538.7824
695.0,739.8492
672.0,699.306
905.0,853.0709
848.0,774.99176
895.0,745.0146
608.0,532.12006
680.0,667.01495
668.0,674.7015
710.0,684.066
720.0,696.19934
451.0,455.00494
721.0,687.5201
645.0,466.1872
498.0,506.5875
888.0,739.0161
681.0,698.00104
668.0,699.53125
682.0,703.6715
568.5,562.70593
691.0,686.9968
683.0,673.1843
581.0,563.49786
544.0,660.996
566.0,586.5117
651.0,696.69885
685.0,635.29254
493.0,482.1652
720.0,745.1939
787.0,971.9821
694.0,696.0812
635.0,609.94434
404.99999999999994,381.98465
565.0,548.57745
688.0,687.9921
522.0,523.519
646.0,660.996
680.0,684.147
758.0,692.00226
537.0,531.99475
362.0,357.101
785.0,785.29553
625.0,597.0892
736.0,743.3614
709.0,709.00824
548.0,570.28107
703.0,703.99603
691.0,631.99506
711.0,758.0669
731.0,696.2979
561.0,574.20715
496.0,498.24622
681.0,674.5063
666.0,573.6705
706.0,685.1941
595.0,576.98645
708.0,701.50574
666.0,607.20166
553.0,643.2024
700.0,686.1729
550.0,529.15027
666.0,645.7404
684.0,691.35345
678.0,673.4933
637.0,696.2911
664.0,688.042
710.0,706.6261
403.0,401.02484
528.0,538.2224
630.0,623.7548
568.0,581.0055
557.0,566.75635
632.0,633.99866
493.0,452.2187
818.9999999999999,743.64777
615.0,669.19653
669.0,695.0091
681.0,685.6209
862.0,729.9941
696.0,695.5866
745.0,575.5556
653.0,651.42395
403.0,405.65393
650.0,633.6537
358.0,361.1637
682.0,635.29254
761.0,746.2212
785.0,784.0258
526.0,531.9992
627.0,687.06036
676.0,675.987
520.0,551.4124
478.0,509.95264
456.0,425.80118
434.0,432.65033
805.0,809.6545
713.0,724.48486
586.0,621.2286
922.0,757.9606
567.0,566.99396
518.0,677.50433
848.0,871.13715
678.0,633.14014
766.0,708.5888
724.0,730.1704
366.0,367.02524
652.0,637.3211
684.0,681.71356
712.0,709.9994
524.0,552.74286
497.5,551.3384
843.0,817.86926
408.0,533.0505
708.0,687.3871
651.0,661.7693
679.0,684.11163
632.0,615.31287
370.0,373.19794
662.0,656.3082
715.0,715.03516
678.0,668.00964
688.0,687.83356
835.0,792.1254
765.0,723.85144
490.00000000000006,463.2369
539.0,564.7097
581.0,597.0099
665.0,629.7982
633.0,640.9846
475.00000000000006,677.48755
688.0,684.56537
713.0,716.54926
818.0,847.4932
740.0,692.2523
668.0,734.3902
550.0,590.1293
663.0,681.2695
802.0000000000001,781.3516
720.0,699.2525
432.0,438.2379
478.99999999999994,522.7501
732.0,711.1334
