Real lambda,Predicted lambda
712.0,720.66345
713.0,720.66345
610.0,609.9981
547.0,540.0013
586.0,585.99115
653.0,653.0136
553.0,552.99475
922.0,839.8739
637.0,636.9842
646.0,645.9921
717.0,716.9974
692.0,692.00366
428.0,427.99854
548.0,547.99506
516.0,516.0016
697.0,696.9996
710.0,710.98987
514.0,513.998
515.0,515.00867
714.0,713.9825
642.0,642.0224
733.0,732.98676
483.99999999999994,483.9965
670.0,669.98517
790.0,789.9981
567.0,566.9877
733.0,733.0069
770.0,769.98895
518.0,517.9861
567.0,566.9982
719.0,719.00885
671.0,670.9893
710.0,721.99963
1052.0,1043.4666
700.0,700.00037
617.0,616.9889
685.0,684.98486
779.0,778.99414
582.0,581.9999
620.0,619.9906
673.0,673.0068
739.0,739.0161
606.0,605.9994
636.0,636.01276
670.0,669.9921
704.0,704.0135
477.0,476.99835
848.0,848.01685
638.0,637.9945
434.0,434.00467
708.0,727.0699
645.0,645.00134
678.0,678.00354
530.0,530.00305
981.0000000000001,1034.8783
500.00000000000006,500.03912
622.0,622.0155
766.0,765.9974
765.0,764.9999
695.0,694.98065
529.0,528.9542
694.0,693.9861
678.0,677.9845
712.0,717.9759
635.0,635.0095
618.0,597.0349
688.0,688.05554
728.0,728.00793
576.0,575.99664
657.0,657.00446
759.0,758.9968
765.0,764.9743
530.0,529.9906
796.0,795.84735
678.0,678.0133
692.0,692.00226
674.0,674.00165
418.0,417.99573
613.0,613.0169
679.0,679.0075
360.0,359.98752
445.00000000000006,444.9942
826.0,825.99255
730.0,730.00305
720.0,709.9779
677.0,677.0022
671.0,670.98395
666.0,665.9938
558.0,557.9982
724.0,724.0012
724.0,723.9963
590.0,598.48236
505.00000000000006,504.9397
848.0,848.0023
796.0,773.48895
393.0,392.99545
629.0,628.99097
706.0,705.9702
657.0,657.0053
691.0,690.9947
640.0,640.0231
553.0,552.99896
505.00000000000006,504.9397
435.00000000000006,434.97705
697.0,696.9959
728.0,727.99786
656.0,656.0075
762.0,769.4881
712.0,711.99927
571.0,571.01624
922.0,922.0041
720.0,719.98553
981.0000000000001,1035.0459
700.0,699.9872
588.0,588.0085
448.99999999999994,449.01645
529.0,529.0044
710.0,709.97986
432.8,432.80273
694.0,693.9991
728.0,728.0022
698.0,698.0092
740.0,739.9968
360.0,360.0041
700.0,709.9583
731.0,730.99615
801.0000000000001,800.98486
528.5,528.51385
650.0,650.0121
640.0,639.98944
443.0,442.9987
785.0,784.98627
688.0,688.0047
703.0,702.9902
685.0,685.0337
680.0,680.00867
680.0,679.9919
595.5,595.49756
681.0,680.97406
754.0,754.0052
689.0,688.9943
391.0,390.96716
712.0,711.9866
408.0,379.06723
548.0,547.99225
692.0,692.00366
682.0,694.9844
365.0,372.01132
689.0,688.9978
532.0,531.8089
798.9999999999999,798.9848
574.0,573.9861
668.0,668.06396
600.0,599.9813
673.0,673.0039
468.0,468.00113
631.0,630.9919
661.0,660.996
684.0,684.0322
689.0,688.9995
679.0,685.516
582.0,581.99896
587.0,587.00574
682.0,681.91486
535.0,534.997
763.0,762.98645
553.0,553.00104
