Real lambda,Predicted lambda
532.0,531.6112
695.0,741.3149
418.0,410.83694
606.0,598.6879
650.0,653.3016
547.0,533.94855
704.0,680.33014
883.0,697.5432
733.0,717.3528
347.0,371.3069
419.99999999999994,413.5409
582.0,514.8424
795.0,775.83795
774.0,746.6628
733.0,689.5919
473.0,461.69952
685.0,696.7554
694.0,653.98584
617.0,583.61414
762.0,744.4968
681.0,677.80304
635.0,634.9854
738.0,682.8335
708.0,707.9691
355.0,394.7915
467.0,478.1026
680.0,686.57336
672.0,673.66656
719.0,669.1292
688.0,633.71576
530.0,691.51306
750.0,752.5593
688.0,689.3256
704.0,702.46936
590.0,579.9467
689.0,684.64453
530.0,526.08154
730.0,703.6835
520.0,562.1359
755.0,685.9306
862.0,862.3763
731.0,730.9925
685.0,681.7566
704.0,702.6551
350.0,399.07114
541.0,569.3051
480.00000000000006,623.8084
680.0,645.2832
522.0,474.23972
640.0,698.77014
728.0,688.2636
728.0,727.99084
675.0,695.748
720.0,743.1526
646.0,672.78766
492.0,534.60675
732.0,681.6443
692.0,690.2842
705.0,705.6308
785.0,790.72284
576.0,623.95764
785.0,766.9599
530.0,588.3986
666.0,647.8324
823.0,827.08
443.0,459.26602
683.0,679.2198
672.0,676.0853
358.0,380.59512
690.0,715.3402
685.0,669.35046
556.0,560.52313
854.0,698.09467
608.0,577.92505
688.0,701.93
690.0,666.944
408.0,437.1581
641.0,626.04956
654.0,681.1316
805.0,791.006
570.0,634.97345
503.99999999999994,487.07593
681.0,711.5339
614.0,671.0936
382.0,454.91193
744.0,743.9656
1021.0,1028.1029
497.5,541.26935
527.0,533.54474
567.0,533.0989
530.0,522.7178
732.0,749.03204
860.0000000000001,834.2523
478.99999999999994,574.64703
698.0,708.859
741.0,738.8106
673.0,661.07874
581.0,584.7957
747.0,738.6121
718.0,710.74603
703.0,693.4786
723.0,726.5269
457.0,447.1694
505.00000000000006,530.3045
683.0,677.7338
681.0,683.9016
670.0,643.3311
606.0,623.98206
688.0,709.76825
691.0,673.28723
698.0,716.5891
653.0,656.01337
619.0,629.1426
688.0,688.0026
696.0,691.59033
750.0,722.20557
703.0,655.7174
745.0,676.3368
715.0,715.0019
381.0,456.08926
557.0,575.5639
662.0,657.1125
688.0,673.05756
691.0,690.0078
680.0,665.9009
698.0,663.7684
867.0,848.2406
530.0,541.8896
360.0,363.12787
699.0,690.9967
630.0,703.8216
621.0,621.0009
789.0,698.554
675.0,630.92114
706.0,708.81744
696.0,697.1336
548.0,547.9966
