Real lambda,Predicted lambda
674.0,673.97107
606.0,605.9767
733.0,732.98535
774.0,773.9757
688.0,687.9778
823.0,822.9721
706.0,705.97845
691.0,690.989
505.00000000000006,504.9752
651.0,650.9769
652.0,651.98346
723.0,722.9808
694.0,693.96893
621.0,620.98145
789.0,788.9899
680.0,679.97925
651.0,650.9934
797.0,796.9679
696.0,695.969
607.0,606.9701
635.0,634.9854
528.0,527.9922
796.0,795.9743
399.99999999999994,399.98538
478.99999999999994,478.99136
698.0,697.97766
693.0,692.97815
705.0,704.9899
653.0,654.48755
752.0,751.94244
891.0000000000001,890.9854
548.0,547.99005
600.0,599.9874
529.0,528.981
617.0,616.98535
704.0,703.94775
672.0,671.9873
750.0,749.9827
779.0,778.974
643.0,642.99133
1089.0,1088.939
563.5,563.47955
528.0,527.9878
700.0,699.9701
676.0,675.99994
540.0,539.99335
782.0,781.9816
619.0,618.9819
711.0,710.9739
602.0,601.98126
685.0,684.9836
483.0,482.98117
688.0,687.98474
707.0,706.97943
674.0,673.9821
510.00000000000006,509.98865
794.0,793.9713
696.0,695.9739
711.0,710.9793
720.0,719.9855
740.0,739.991
673.0,672.9761
780.0,779.98627
891.0000000000001,890.98114
703.0,702.9697
437.0,423.0307
730.0,729.97363
561.0,560.9953
572.0,571.9985
686.0,685.9787
594.0,593.9744
707.0,706.9767
700.0,699.98126
714.0,713.9652
615.0,614.9763
779.0,778.99457
643.0,642.97833
691.0,690.9888
528.5,528.4776
731.0,730.97723
710.0,709.9808
784.0,783.97406
533.0,532.979
534.5,534.48083
723.0,722.9844
707.0,706.98346
721.0,720.97925
581.0,580.98676
669.0,668.98956
750.0,749.97876
675.0,674.97375
566.0,565.9832
826.0,825.9691
538.0,537.9858
798.0,797.98334
695.0,694.9916
726.0,725.9893
553.0,552.9666
422.0,421.99005
662.0,661.994
681.0,680.98804
610.0,609.9881
606.0,605.98083
643.0,642.97327
754.0,753.9805
502.0,501.98947
700.0,699.98193
540.5,540.48395
