Real lambda,Predicted lambda
606.0,605.4449
801.0000000000001,787.47
557.0,557.92426
579.0,579.80414
650.0,649.324
360.0,370.54266
547.0,549.31635
625.0,625.0058
606.0,605.3284
688.0,685.1624
764.0,755.0869
663.0,661.6962
700.0,698.6838
541.0,543.6131
510.00000000000006,511.54855
645.0,645.0302
688.0,683.81683
554.0,555.2219
666.0,664.31726
493.0,496.06165
700.0,695.73083
692.0,688.2856
610.0,610.3584
710.0,705.2534
696.0,692.22363
558.0,558.433
691.0,686.4644
667.0,665.1886
663.0,661.20575
762.0,750.89557
922.0,899.18536
785.0,774.6025
680.0,676.9657
694.0,690.64075
785.0,774.15375
692.0,684.8523
432.0,440.44794
569.0,570.2154
597.0,596.28394
713.0,706.9673
670.0,669.79376
635.0,634.73206
681.0,675.656
829.9999999999999,818.0585
695.0,691.0283
505.00000000000006,505.5399
1089.0,1049.5717
670.0,668.05774
590.0,590.02496
371.0,380.02698
613.0,611.58905
689.0,684.0392
640.0,637.91583
922.0,896.34564
709.0,701.859
399.99999999999994,410.63925
554.0,554.54694
566.0,565.22
539.0,540.2948
560.0,560.2235
568.0,568.4293
695.0,689.3433
698.0,692.4956
680.0,676.31647
689.0,683.66785
658.0,655.52356
741.0,732.10535
587.0,587.35
700.0,696.49927
527.0,531.5206
723.0,714.90125
674.0,671.6818
604.0,604.0228
1026.0,993.3538
700.0,694.4334
678.0,675.83997
408.0,417.99615
691.0,685.76984
689.0,684.38635
686.0,682.35626
454.20000000000005,459.39236
666.0,663.359
913.0,889.80505
712.0,707.24585
683.0,680.42694
689.0,684.6508
674.0,670.8479
594.0,593.8169
668.0,665.4862
350.0,365.8301
683.0,677.38477
681.0,677.708
710.0,706.77765
560.0,560.63434
829.9999999999999,815.5198
802.0000000000001,789.329
688.0,681.9927
733.0,723.6316
707.0,703.6733
891.0000000000001,868.74976
680.0,675.6426
710.0,702.37537
685.0,681.2977
733.0,723.6583
675.0,672.51135
574.0,573.06366
703.0,696.898
782.0,767.6394
654.0,651.2564
360.0,371.9491
888.0,866.6468
706.0,698.9143
512.0,516.20526
498.99999999999994,502.82336
716.0,708.8728
714.0,706.50946
723.0,716.25464
785.0,775.247
639.0,638.05286
580.0,580.61646
676.0,671.3496
652.0,651.12335
731.0,720.53564
838.0,822.75433
798.9999999999999,786.7843
620.0,619.3724
717.0,707.6565
656.0,654.85913
735.0,729.93463
913.0,889.1894
720.0,710.1991
576.0,575.5691
634.0,632.50287
688.0,683.87933
704.0,699.1211
786.0,776.98535
560.0,560.53076
739.0,728.8914
567.0,564.41016
678.0,673.3801
437.0,448.24976
703.0,696.3605
634.0,631.1834
691.0,686.8365
666.0,662.7649
740.0,730.1788
823.0,808.77484
505.00000000000006,508.86694
430.00000000000006,437.62152
560.0,560.3532
505.00000000000006,508.5871
607.0,606.3421
360.0,371.85623
435.00000000000006,439.96277
712.0,705.6049
718.0,710.1064
658.0,654.0561
681.0,676.92676
761.0,753.85455
363.0,373.08316
710.0,704.21185
694.0,689.2561
563.0,563.4247
565.0,565.32983
626.0,625.3088
480.00000000000006,486.90768
627.0,626.0191
433.0,440.25867
651.0,650.00146
706.0,700.8752
577.0,576.963
782.0,770.8657
681.0,684.75854
548.0,547.3059
682.0,679.2654
895.0,873.91986
549.0,549.922
672.0,669.0541
505.00000000000006,506.4012
718.0,711.2352
525.0,526.2476
526.0,528.52856
793.0,780.8585
412.0,422.3222
443.0,447.2952
678.0,676.9069
631.0,630.6996
769.0,758.9948
483.99999999999994,490.8747
694.0,690.64075
726.0,718.9394
693.0,688.74615
384.0,390.91824
745.0,734.51355
783.0,773.11896
774.0,763.8842
565.0,564.24866
815.0,799.4048
848.0,832.6829
720.0,711.2923
491.0,496.47916
699.0,693.19586
732.0,723.63403
680.0,677.1953
502.0,504.7431
745.0,734.30115
731.0,720.53564
698.0,691.8082
530.0,531.15735
606.0,605.18646
541.0,541.5842
532.0,532.9441
362.0,371.87878
403.0,409.1022
761.0,752.1895
448.0,451.90015
673.0,669.79956
708.0,701.94226
664.0,661.6669
780.0,773.11926
403.0,413.02664
683.0,678.8515
685.0,681.07324
867.0,849.3757
432.0,441.6618
702.0,695.56616
355.0,365.79315
435.79999999999995,442.52603
641.0,639.2266
550.0,550.37585
684.0,677.83276
746.0,738.0202
732.0,723.68506
750.0,743.4814
692.0,684.6185
537.0,539.75995
703.0,700.8178
678.0,674.0243
606.0,602.63544
611.0,611.4012
695.0,688.2859
660.0,658.05566
610.0,608.44037
708.0,700.10754
666.0,664.24994
668.0,664.7789
789.0,776.34186
646.0,642.3667
746.0,736.4093
690.0,686.70435
567.0,567.0361
685.0,681.55286
688.0,684.72943
818.9999999999999,803.79016
632.0,630.7756
521.0,524.36194
682.0,678.7044
699.0,691.8031
671.0,669.08496
805.0,795.01117
621.0,618.4997
571.0,570.89764
541.0,542.8402
619.0,619.0879
670.0,667.42676
590.0,590.44696
707.0,698.3238
823.0,809.157
679.0,673.33746
686.0,681.40405
694.0,689.43756
696.0,690.6879
723.0,714.90125
818.0,805.5252
651.0,649.8211
689.0,683.52264
674.0,669.81085
728.0,719.6479
506.0,509.46817
630.0,630.78546
662.0,658.17505
688.0,682.9915
607.0,607.45734
688.0,682.516
684.0,679.55963
532.0,533.15204
428.0,433.60806
721.0,713.66846
683.0,680.0376
567.0,567.7899
652.0,649.2652
1052.0,1008.1173
697.0,692.2064
404.0,415.84552
606.0,606.65216
745.0,734.75146
538.0,539.51025
500.00000000000006,501.98657
625.0,622.83875
558.0,558.0905
456.0,460.23138
635.0,633.95734
530.0,530.2929
540.0,541.3729
697.0,692.2633
730.0,721.37427
580.0,581.33026
581.0,578.7059
775.0,764.2242
685.0,681.6308
731.0,722.15424
549.0,550.2097
498.0,500.4193
674.0,671.65137
615.0,613.6293
687.0,683.098
738.0,728.0051
409.99999999999994,417.07495
708.0,703.33765
688.0,683.58014
634.0,632.7605
528.0,531.007
622.0,619.82074
438.0,445.38974
766.0,754.9707
742.0,732.60913
637.0,635.72327
553.0,554.1972
628.0,627.2742
666.0,661.8837
630.0,629.0883
607.0,606.43475
394.0,402.99774
730.0,721.3928
597.0,596.8634
629.0,627.182
617.0,615.1241
654.0,650.8183
638.0,638.22766
706.0,702.6296
765.0,756.5462
530.0,532.75
554.0,555.24615
728.0,719.9768
662.0,658.2644
602.0,600.89294
600.0,598.09155
693.0,688.9123
705.0,699.16473
477.0,480.23172
468.0,472.2659
633.0,630.8498
643.0,642.0392
708.0,700.9027
650.0,648.6923
432.8,440.65488
745.0,734.6021
642.0,640.3404
774.0,763.2337
534.0,534.51715
640.0,636.93243
