Real lambda,Predicted lambda
723.0,737.3232005401394
706.0,706.0042814000558
691.0,691.5892139822002
730.0,714.4807527379858
443.0,467.74513253097354
539.0,645.8634812782061
700.0,658.59935702352
530.0,518.3974091027166
366.0,372.3836100826403
689.0,703.973186374263
650.0,653.5506287803079
530.0,544.8368099022244
718.0,693.3387706234762
638.0,639.8471039697611
637.0,688.5375389549229
733.0,712.4007555220696
732.0,732.0671063493143
617.0,676.0166806565593
680.0,622.4455779823248
688.0,683.1530832348351
716.0,721.4686313025128
765.0,764.9900383722754
483.0,477.5858104681365
554.0,542.5179134644726
691.0,678.3512588916059
690.0,690.0111227677621
594.0,620.06602509613
741.0,739.63893703714
633.0,638.2965467865815
436.0,433.87510812244454
649.0,666.4852591474227
765.0,714.7828767976748
708.0,692.3911071673544
640.0,641.7572032847968
713.0,716.5122347564043
819.9999999999999,819.6278030937658
730.0,732.4672876226003
710.0,699.1861081843313
685.0,679.3992695771014
580.0,585.6875286927559
634.0,656.1732153998622
666.0,690.9771766563728
797.0,734.1278174834384
674.0,713.3142478925329
730.0,706.3209003892418
654.0,658.6908896229171
434.6,434.81125053383613
815.0,791.6341956357097
685.0,657.9094877034598
786.0,767.2134628763574
671.0,680.2556998136068
782.0,768.919390271604
782.0,735.598313165392
505.00000000000006,528.0140593323841
778.0,757.1823045198228
657.0,714.6220553176233
696.0,711.7336230378238
563.0,557.1636711947482
677.0,668.7722800672569
694.0,693.7988099100762
480.00000000000006,630.8206950844469
775.0,773.1477220223526
550.0,553.2394893666169
450.00000000000006,443.21839818615723
700.0,700.0581037997093
505.00000000000006,537.8775902903066
681.0,695.528462081449
672.0,602.9693478727349
634.0,545.3396131090643
668.0,626.1938936805836
688.0,685.5910724368312
570.0,594.6381823074477
635.0,654.2253461850332
689.0,690.6839399071748
718.0,710.2211337363557
652.0,652.1404572518159
678.0,685.104751376462
561.0,554.6847315696255
723.0,723.0560851961768
437.0,412.4511788199801
360.0,360.1756805082462
371.0,388.3506905567702
360.0,359.099338155876
468.0,481.00663850617195
634.0,633.6951858864386
694.0,705.9512021732447
650.0,651.8287524924726
440.00000000000006,434.70591880325185
568.0,571.0423553901018
725.0,656.9969498881499
709.0,718.8730134277391
793.0,760.6357315483999
708.0,696.3521805875992
705.0,702.6892831291988
795.0,779.5160472676467
712.0,660.0004733527093
435.00000000000006,437.51353837594297
688.0,702.007232788957
570.0,593.2024549066042
534.0,513.6874506865798
583.0,577.687999023133
706.0,707.3932169541841
468.0,479.57406217904065
710.0,704.7971055221016
527.0,546.011128902422
640.0,607.0504431597026
684.0,718.6108733605081
708.0,675.3284181770243
690.0,681.7027232188964
492.0,505.77732509999015
688.0,687.8039233039702
670.0,572.3908286016606
748.0,748.3227828968797
707.0,696.7003498814022
631.0,615.3135212883426
399.99999999999994,499.89517891230196
710.0,740.5124831507138
888.0,889.7166557184181
743.0,723.0734589773659
625.0,619.0212942201806
795.0,772.6700687719855
735.0,614.0122495742223
760.0,672.4380769972314
697.0,686.9236783157087
560.0,488.15669240918527
785.0,738.04079674646
653.0,651.2671330618018
694.0,691.5036795522426
606.0,638.1408551809554
695.0,685.1772170655928
652.0,652.0995978884614
571.0,574.641716492318
981.0000000000001,895.7746437007618
728.0,728.0506730194036
684.0,682.2643491025157
690.0,741.8894966164182
731.0,731.2875601420079
554.0,555.955479175451
696.0,711.2058204947025
689.0,700.2069847607877
689.0,687.6910529527815
618.0,628.2910986438492
668.0,677.1084207441542
683.0,681.8710461175635
548.0,550.8944667586326
718.0,702.5692437003843
607.0,580.7407578491575
650.0,640.6223654968026
798.0,720.1555559549263
681.0,670.2242280188999
728.0,700.1525815037652
691.0,690.9608966055945
391.0,398.7296970374288
765.0,765.1915739225235
782.0,768.111914628613
606.0,640.0806334229452
922.0,893.0318367174605
433.0,438.2692803679935
613.0,605.6156056328738
692.0,724.5858971471234
759.0,773.8395844202918
681.0,684.4613991726693
913.0,897.9718711323304
758.0,719.3356176032823
681.0,695.1001718254188
700.0,682.811448025602
666.0,673.1225523921894
675.0,699.2600845453445
740.0,714.3154578416551
505.00000000000006,489.530961045278
682.0,688.4316169202725
703.0,679.3912930968986
685.0,684.1272079018975
743.0,711.74555041179
666.0,642.428891135985
568.0,592.6418864892943
630.0,629.9043380377092
685.0,685.3444187091782
557.0,539.6252616162207
691.0,690.9608966055945
740.0,740.0361587420255
428.0,446.0277870471939
621.0,682.9781108006397
293.0,408.5874850527168
829.9999999999999,742.9453436644761
403.0,386.29159913493083
597.0,590.5915593460647
838.0,797.0506367141379
512.0,545.1990320702346
1026.0,1047.5381519145549
553.0,665.4345163493315
726.0,713.3970491776089
911.0000000000001,893.9419414150772
563.5,576.2135685260201
883.0,917.5267405548842
891.0000000000001,852.7371920360117
678.0,652.8955183930901
1041.0,1020.2814734363833
641.0,577.1029005782287
913.0,889.6552475496801
404.0,405.57477517333825
698.0,704.691289706091
668.0,685.9142012755498
670.0,687.2070710735156
370.0,370.6217842778456
666.0,666.2325359291217
635.0,634.4879440680559
597.0,598.873025680482
604.0,632.9635193178686
577.0,570.6057132701015
735.0,717.7903866150779
677.0,661.195740469041
538.0,503.70833174097515
609.0,612.8720204900006
679.0,674.1340056409463
698.0,671.3664992449872
621.0,620.8707097933574
688.0,683.7498462116617
457.0,449.6010914511911
708.0,708.2212395683415
680.0,680.4845313781633
689.0,708.7135334972211
720.0,731.2669905350889
640.0,682.3597841237262
818.0,773.6515001684794
360.0,360.4744899677809
693.0,780.7433479834092
687.0,693.1842300439423
435.79999999999995,430.22596845164986
848.0,765.1291713393593
521.0,540.4676619185284
729.0,723.9524280703552
675.0,686.5431103672666
645.0,689.9779346195955
681.0,687.9639030584774
567.0,612.2655046211437
680.0,667.4317512286221
663.0,670.9541746251501
697.0,713.8479964793848
793.0,719.3609672612902
641.0,630.0162244442078
706.0,718.9092791653982
553.0,567.4362258622033
867.0,863.8492531748591
522.0,614.0011636244974
663.0,692.5488751955352
668.0,660.6380228853911
712.0,594.3538404133626
779.0,716.9936222238018
661.0,656.662051542759
576.0,583.083721047066
477.0,479.19015844326344
595.0,599.244122308474
678.0,704.6114112305313
567.0,568.6243545454282
414.99999999999994,412.16258617125544
554.0,561.5370743453303
667.0,665.3521623316212
593.0,669.463043128529
619.0,629.4110281440668
688.0,687.9117513073429
705.0,710.1889367045745
651.0,681.4581131854844
490.00000000000006,507.9466080997084
660.0,670.7248519515459
750.0,729.1039046157847
710.0,694.0806767870263
618.0,614.2604063032998
723.0,722.9972049201139
710.0,699.1053496567074
411.0,397.4656577924601
365.0,357.5179126630836
534.5,541.1088100405198
628.0,617.6052240131819
674.0,673.6338415735526
708.0,708.424518463232
674.0,673.9786983638224
762.0,704.0382404438601
675.0,669.2447771099972
713.0,663.7281265941913
539.0,536.4089851458311
742.0,742.669350839529
726.0,697.332518773996
505.00000000000006,511.9781431592994
435.00000000000006,416.6045093950806
643.0,641.9611093415767
696.0,671.559200193766
532.0,542.3250967894079
781.0,779.4696289821821
712.0,714.063022118646
639.0,647.5270043987665
355.0,433.3551744233304
611.0,582.9390319233063
721.0,721.1047624801793
654.0,654.0317090923479
645.0,565.9317178113298
399.99999999999994,422.48709591592166
704.0,702.88334581429
656.0,645.9199461248286
666.0,665.4097053868346
727.0,672.4610823879053
727.0,672.4610823879053
373.0,394.2794322435889
418.0,428.034586122696
629.0,664.3481966386657
643.0,651.8782361574032
553.0,564.5808800185617
683.0,650.2113768342209
700.0,707.451611487935
590.0,578.7723666182331
731.0,714.1214804883087
843.0,820.4512157379319
793.0,756.1882252037047
581.0,568.5882897902359
744.0,743.7985581377297
695.0,685.200815987796
496.0,498.1189112640027
688.0,684.6823149236743
738.0,732.9506353822612
530.0,533.7237786084632
480.00000000000006,599.6839031743071
687.0,691.8216214365407
412.0,427.77862050963523
528.0,534.1687949740221
678.0,696.2424678855962
680.0,636.7871845199148
718.0,720.1220855175899
698.0,699.769365215707
665.0,681.3937254924286
688.0,685.7072830259367
497.5,512.6567496375454
681.0,699.9305213879419
854.0,807.7249371423158
635.0,634.3623556004217
560.0,556.6776871226506
543.0,561.8268164726268
425.79999999999995,428.81731989425134
602.0,597.0479092043854
691.0,690.7357134120014
532.0,551.6648926926595
691.0,690.9758093544615
503.0,515.2568452330102
762.0,715.3233374959412
682.0,712.7062102815352
548.5,529.7291266547007
775.0,796.1645874784324
712.0,730.6203838155725
633.0,587.8158730907825
721.0,720.958053344235
606.0,606.8084415731017
736.0,709.5612490459836
409.99999999999994,391.0279498873087
558.0,560.312900812428
520.0,552.034135181059
643.0,650.9535678869238
763.0,796.096817279323
682.0,682.2760830750336
540.5,533.3491759001797
637.0,672.7018984802522
436.0,430.8684600569472
731.0,722.3493260987034
723.0,652.5816441958833
600.0,599.7756463422131
740.0,740.0112965689661
586.0,582.5016052603776
676.0,681.2762862635686
680.0,721.764055601694
530.0,534.9543949472396
671.0,620.2628723855751
673.0,675.0403548428519
600.0,587.9586155873108
688.0,689.3440387075946
693.0,662.8591901171018
532.0,535.1860149689427
613.0,625.9768396463621
422.0,507.3019485228097
671.0,664.9610376315371
684.0,479.5932249342194
498.0,501.04618297349685
804.0,807.7511176065472
516.0,508.9995066503206
651.0,663.1685153314385
577.0,548.7937536997998
738.0,737.9945870348163
696.0,695.5190995126646
758.0,753.2041162751805
616.0,645.9744063365932
715.0,714.6305735251378
502.0,504.0821422860651
505.00000000000006,504.62798591629496
595.0,588.1748919349305
581.0,585.1615280687971
1089.0,979.0015495543214
698.0,692.2926379179175
740.0,740.0112965689661
769.0,744.0128089430458
704.0,710.4132462503944
699.0,709.986140489344
