Real lambda,Predicted lambda
731.0,731.0063386672362
708.0,707.7339715265939
430.00000000000006,431.7452877424063
654.0,653.904061776712
690.0,688.95742715058
609.0,609.069162107821
711.0,711.6897308892817
492.0,491.6096655621032
679.0,678.8394416526926
530.0,529.9766998671159
556.0,557.0816714660464
480.00000000000006,479.9455987437985
670.0,670.104049571617
720.0,720.1831482868938
687.0,687.2735562984406
540.0,539.9163497702925
412.0,412.0089713902957
569.0,569.3550150458128
548.0,548.0477240500488
682.0,682.026434035709
765.0,765.0613735109297
664.0,664.435199894005
688.0,687.9368686230592
716.0,716.132811145681
785.0,785.3467815858359
688.0,687.7743913037694
689.0,689.6591879445582
473.0,473.01520913714023
670.0,670.0010429675609
698.0,698.010780677833
728.0,728.028123647687
698.0,697.8252856929249
621.0,621.1378111756144
528.0,528.1617581460141
688.0,688.4129417030008
883.0,882.0880265226467
493.0,492.7344222621448
448.99999999999994,448.6267351192267
686.0,686.3362151566556
678.0,677.9710454115447
394.0,394.08261804741386
680.0,679.7015407776262
718.0,718.0823446695348
457.0,455.9595991160533
721.0,718.7172621850173
698.0,698.2631545109539
608.0,607.2596962009048
748.0,748.3131770058675
750.0,749.5984881520187
801.0000000000001,801.5812710780231
699.0,698.7075156147977
696.0,696.0645934076076
707.0,705.2857257837911
750.0,750.2389835171176
708.0,708.0467465757187
706.0,706.0287441741592
665.0,664.9117590217037
631.0,628.8791267580646
794.0,794.2139292203648
744.0,743.9801054249392
688.0,687.7199708709874
390.0,390.5589516045719
675.0,673.65934530571
497.5,497.598119017265
693.0,693.265362918654
649.0,648.7250982217979
654.0,653.9957298949944
681.0,681.1105540805619
695.0,695.1459821380871
680.0,680.0686150640316
475.00000000000006,476.84233238591406
785.0,784.8445751976697
417.0,416.9853031138205
691.0,690.8054291055041
737.0,737.403697433624
434.0,435.3314119284234
551.0,551.1364055635747
685.0,684.7445541474686
724.0,722.7927181851206
854.0,854.8747295453738
635.0,634.892741207807
567.0,566.7925810413333
649.0,647.6109802775557
670.0,669.8442540530839
708.0,707.9971532657469
745.0,745.9237519259691
423.0,422.28187511508037
525.0,524.991927288861
699.0,698.9500865646716
399.99999999999994,399.4756258640526
692.0,692.010039241902
674.0,673.9828912864175
635.0,634.8310219946197
706.0,705.7838247526697
633.0,632.8971337687781
688.0,687.9872158499176
738.0,737.5258641401028
561.0,561.0751588728339
737.0,737.3608454977124
689.0,688.9152412462632
409.0,410.15806629875084
617.0,616.2581834994887
560.0,559.499891722947
668.0,667.440786564089
543.0,543.0272080543458
685.0,684.9955968886895
691.0,690.9997406499218
568.0,567.8589700871582
675.0,675.0166713151287
425.79999999999995,426.02029240362253
621.0,621.7683648977338
794.0,794.132409840168
602.0,601.4712070781762
721.0,718.7172621850173
567.0,566.0486809685852
569.0,568.9812028533145
514.0,514.0121681720683
683.0,682.70122021698
