Real lambda,Predicted lambda
726.0,685.7771
922.0,907.1321
731.0,722.82306
526.0,534.8795
533.0,529.69214
451.0,451.1591
656.0,656.3007
672.0,691.7819
551.0,566.2331
590.0,620.52155
548.5,577.2736
693.0,693.2944
712.0,708.0518
700.0,704.3965
569.0,570.4938
829.9999999999999,837.9911
344.0,358.52237
568.0,573.02637
672.0,675.1424
608.0,632.0723
483.99999999999994,500.87823
611.0,653.7685
370.0,368.74033
609.0,603.92474
1026.0,945.83215
780.0,786.9978
432.0,434.49692
557.0,560.5103
765.0,756.25775
574.0,571.8612
681.0,683.9968
722.0,722.4387
981.0000000000001,1063.7734
694.0,690.5179
675.0,669.8805
679.0,561.436
698.0,694.03973
691.0,687.84985
684.0,718.76215
456.0,464.5492
500.00000000000006,501.3034
505.00000000000006,503.99878
529.0,531.36395
654.0,636.8624
696.0,719.4368
650.0,658.0183
680.0,676.80707
652.0,658.2385
838.0,816.7991
539.0,590.70245
777.0,766.755
774.0,778.4199
696.0,696.8927
643.0,645.69244
798.9999999999999,793.33844
560.0,551.5904
733.0,729.5208
584.0,564.6049
690.0,683.5797
708.0,707.8611
532.5,533.43335
503.0,502.3625
435.00000000000006,434.14597
708.0,679.86835
408.0,395.46396
528.0,532.99347
651.0,650.44037
681.0,677.26904
428.0,566.5814
754.0,753.8203
684.0,684.8634
779.0,649.62164
672.0,676.8869
754.0,682.3102
682.0,687.5049
675.0,690.3574
798.0,771.9728
684.0,702.88336
883.0,873.27576
549.0,558.94415
762.0,752.0595
641.0,654.1579
789.0,710.18695
731.0,707.34973
698.0,705.3295
699.0,702.39307
981.0000000000001,1064.3008
685.0,693.7034
553.0,562.8084
667.0,670.8795
678.0,680.3155
393.0,367.1363
789.0,748.0422
570.0,553.7721
602.0,629.81036
445.00000000000006,433.39594
619.0,613.47906
710.0,702.56647
687.0,690.83484
505.00000000000006,504.77744
686.0,703.1941
640.0,741.58685
730.0,734.6308
558.0,581.6716
670.0,648.4798
590.0,579.2398
948.9999999999999,942.52
688.0,686.31177
497.5,557.06854
563.5,566.0287
390.0,408.4146
728.0,728.7202
522.0,507.65182
524.0,552.8017
721.0,721.6419
404.0,405.21625
681.0,676.47424
674.0,674.03864
732.0,731.982
688.0,723.1943
629.0,665.051
688.0,689.8044
1026.0,1014.2351
721.0,717.9993
677.0,720.7573
891.0000000000001,845.5724
782.0,785.2605
670.0,645.294
744.0,743.4587
563.0,549.50183
731.0,730.6462
423.0,402.45288
394.0,440.1584
607.0,588.79205
689.0,711.1156
703.0,734.48065
676.0,680.70074
652.0,651.56195
573.0,558.472
685.0,680.9528
679.0,683.6733
421.4,426.0488
590.0,534.435
710.0,707.6608
1021.0,1020.59454
567.0,584.3002
818.0,801.00977
796.0,778.9262
434.0,435.7299
664.0,698.50757
694.0,693.27203
698.0,707.24695
627.0,667.8658
645.0,705.3845
797.0,738.24255
694.0,631.72485
691.0,690.1085
640.0,702.66095
663.0,645.0976
360.0,364.3712
740.0,739.6763
765.0,758.55426
505.00000000000006,503.8042
668.0,673.61127
382.0,490.84055
750.0,704.11395
774.0,786.0945
597.0,666.46136
732.0,711.15295
727.0,711.82117
622.0,630.74506
720.0,715.73486
750.0,750.2275
678.0,705.1046
597.0,583.3971
366.0,364.87836
654.0,664.4115
678.0,668.6227
432.0,437.08368
804.0,806.79266
639.0,641.6038
382.0,440.98645
490.00000000000006,484.9401
554.0,553.53674
633.0,574.9454
567.0,563.812
692.0,690.9269
371.0,370.00204
731.0,731.07404
688.0,688.56683
637.0,715.03644
891.0000000000001,834.8969
730.0,699.00323
782.0,778.0742
783.0,726.8443
679.0,665.5587
621.0,620.34644
738.0,737.98676
765.0,759.99725
694.0,694.20886
727.0,711.82117
629.0,707.8265
527.0,528.98206
582.0,572.92303
715.0,715.0935
587.0,599.8585
728.0,721.975
708.0,708.2836
510.00000000000006,559.76904
676.0,678.3624
690.0,689.8878
797.0,747.6303
411.0,412.91898
685.0,690.3783
708.0,708.01904
483.0,469.49973
775.0,763.7205
498.99999999999994,501.2433
532.0,532.8865
528.0,534.1273
682.0,598.83105
640.0,633.1061
691.0,655.65
552.0,568.23114
423.6000000000001,430.81668
666.0,685.69995
548.0,542.0896
698.0,692.8223
752.0,743.4782
748.0,746.48566
355.0,368.38248
539.0,547.54675
438.0,438.45486
562.0,637.2046
409.0,442.49393
779.0,795.05115
669.0,667.4384
456.0,441.5074
431.2,431.56265
640.0,645.2469
559.0,564.43805
477.0,487.94318
581.0,569.4879
651.0,645.572
720.0,720.21936
553.0,669.12787
594.0,594.3736
641.0,640.3183
561.0,567.999
693.0,782.8616
676.0,671.63617
547.0,561.70496
548.0,545.06854
680.0,660.1137
588.0,585.72784
1052.0,1051.4578
532.0,534.68677
