Real lambda,Predicted lambda
683.0,678.1918
646.0,664.5504
597.0,621.06177
665.0,661.8968
712.0,716.8453
703.0,731.87885
549.0,558.74524
675.0,669.1262
684.0,682.12384
548.0,526.78735
779.0,726.586
480.00000000000006,614.8936
724.0,715.9478
541.0,539.2323
540.0,571.0148
456.0,425.79926
682.0,690.0644
671.0,695.2579
769.0,773.8581
651.0,665.4411
752.0,760.41736
688.0,691.61444
700.0,709.81354
622.0,676.7435
797.0,811.8683
744.0,757.1647
708.0,707.8681
703.0,732.3008
883.0,812.7726
606.0,608.24493
674.0,748.3114
436.0,446.95538
368.0,367.16934
382.0,443.4859
538.0,547.1994
716.0,727.278
359.0,405.02817
727.0,727.0709
662.0,659.67706
707.0,699.7578
498.0,503.09625
451.0,453.9393
686.0,702.6718
695.0,669.0408
829.9999999999999,821.8131
543.0,521.61005
626.0,641.63885
643.0,643.0413
745.0,820.1769
742.0,725.88043
758.0,922.0385
688.0,688.0475
604.0,617.0537
765.0,767.4589
617.0,611.3152
1039.0,1022.79346
570.0,561.5404
558.0,695.10394
685.0,655.7689
693.0,720.3563
496.0,497.33884
382.0,430.3817
747.0,723.2831
634.0,581.2396
523.0,572.4458
684.0,676.77716
720.0,718.7341
676.0,710.6389
363.0,432.99353
649.0,654.12506
370.0,367.8194
524.0,537.01447
454.20000000000005,457.51617
529.0,575.2556
633.0,641.0899
645.0,683.41956
448.99999999999994,458.7818
793.0,726.8979
730.0,720.9989
774.0,729.3891
697.0,669.0979
594.0,579.98474
688.0,686.90564
765.0,744.4662
610.0,679.54803
571.0,589.4405
530.0,530.3675
662.0,647.2645
699.0,715.07635
680.0,660.341
728.0,719.0415
798.9999999999999,775.9148
595.0,573.8394
798.0,724.22705
698.0,714.79474
619.0,633.4945
682.0,674.93085
695.0,796.47437
720.0,709.81354
641.0,633.6516
419.0,478.19092
739.0,887.81683
714.0,700.69836
675.0,656.33777
649.0,737.4726
678.0,657.20044
750.0,758.3771
604.0,545.6879
680.0,670.4847
682.0,677.93585
823.0,694.77405
438.0,434.30463
613.0,631.6531
480.00000000000006,658.7251
675.0,639.8456
681.0,688.76587
643.0,650.73566
360.0,357.30823
854.0,842.929
540.5,537.50946
635.0,659.585
720.0,723.90497
688.0,697.99524
636.0,598.8763
686.0,684.48615
686.0,674.2369
780.0,634.43427
754.0,753.9818
722.0,734.6248
632.0,690.9831
676.0,675.3044
712.0,712.9722
655.0,667.01196
664.0,678.1144
704.0,743.50903
642.0,642.2401
704.0,689.1345
640.0,653.98413
708.0,684.78705
733.0,727.4283
708.0,694.66266
573.0,571.3974
534.0,525.6471
801.0000000000001,796.2414
691.0,689.8425
784.0,784.9886
293.0,432.83286
638.0,692.06274
399.99999999999994,397.69302
532.0,536.9822
678.0,642.708
685.0,689.47076
676.0,675.9878
633.0,658.17755
746.0,708.0111
662.0,657.268
475.00000000000006,690.5227
550.0,551.29224
698.0,694.6607
818.0,788.45917
616.0,632.3235
672.0,676.53986
528.5,524.12933
660.0,707.21594
580.0,552.8006
428.6,439.75726
510.00000000000006,537.2899
673.0,759.19946
643.0,642.978
680.0,679.97675
653.0,682.57263
711.0,742.54553
703.0,679.2345
702.0,699.9328
737.0,712.9722
735.0,654.9668
409.99999999999994,403.323
505.00000000000006,504.97858
435.00000000000006,430.12332
732.0,740.974
699.0,698.29364
404.99999999999994,340.61005
679.0,688.2905
512.0,539.19775
551.0,595.9902
567.0,538.9964
815.0,866.62726
602.0,581.2822
645.0,647.82855
710.0,711.984
557.0,539.2037
587.0,593.9471
692.0,670.3716
493.0,452.19492
628.0,607.1644
784.0,782.2732
553.0,582.53235
730.0,795.8927
492.0,553.6366
736.0,759.83813
428.0,483.06378
512.0,524.91187
689.0,690.09924
390.0,440.79617
681.0,692.8043
355.0,360.1518
683.0,569.6642
797.0,767.1085
576.0,657.55634
698.0,690.979
621.0,608.4673
679.0,640.334
750.0,762.3839
596.0,551.01044
700.0,701.5712
528.0,529.5242
617.0,604.0076
664.0,688.02673
573.0,606.6176
606.0,606.021
634.0,604.2878
705.0,686.5354
515.0,524.8466
779.0,706.6818
695.0,703.0796
581.0,563.51373
404.0,406.4991
674.0,672.69904
708.0,677.03064
703.0,716.0221
679.0,691.66846
562.0,568.0777
696.0,698.1297
690.0,694.1411
621.0,602.55597
688.0,695.57355
521.0,543.6491
651.0,637.48615
366.0,369.59665
666.0,685.4302
568.5,555.58716
720.0,737.5545
746.0,738.02075
640.0,644.6959
576.0,652.8319
819.9999999999999,782.9841
775.0,740.25726
641.0,637.4491
445.00000000000006,433.45282
560.0,559.2768
584.0,604.56494
640.0,660.5188
666.0,665.95465
637.0,687.90735
891.0000000000001,901.1553
414.99999999999994,413.60416
725.0,742.58936
607.5,603.0567
696.0,694.70337
617.0,618.51575
358.0,359.46252
694.0,680.49884
379.0,365.00235
661.0,654.4715
785.0,769.0036
746.0,674.87573
530.0,481.42505
525.0,553.28613
691.0,691.0245
654.0,656.0145
747.0,729.60016
710.0,707.1713
710.0,728.02356
563.0,556.9461
1026.0,905.4656
733.0,749.4187
728.0,722.7152
683.0,692.86505
687.0,688.02905
423.0,429.11404
774.0,716.25604
688.0,688.0424
574.0,615.2794
535.0,597.6648
391.0,397.14102
362.0,362.39108
716.0,709.71783
550.0,553.441
553.0,568.0556
673.0,673.96063
366.0,365.3433
631.0,677.1902
643.0,643.01764
686.0,666.26917
710.0,703.485
723.0,723.0081
743.0,641.1336
1089.0,1011.8046
652.0,641.53107
473.0,452.2192
656.0,641.6278
786.0,790.3947
666.0,589.2286
403.0,406.4991
503.99999999999994,504.8709
409.99999999999994,411.52808
732.0,732.0269
981.0000000000001,1011.8046
677.0,680.40607
684.0,627.75323
730.0,699.5082
409.0,407.7584
704.0,704.1054
691.0,691.0246
634.0,575.51685
478.99999999999994,437.6205
668.0,677.99664
597.0,618.8776
402.0,393.29263
505.00000000000006,515.9558
783.0,719.27563
694.0,703.5892
448.0,411.73532
493.0,662.8966
693.0,691.9927
697.0,679.1532
694.0,696.006
684.0,693.6405
711.0,741.1774
430.00000000000006,476.19318
680.0,685.0977
690.0,682.245
712.0,710.004
684.0,683.9457
688.0,676.91223
548.0,560.0865
620.0,645.2523
600.0,607.1861
796.0,765.8158
532.0,525.9848
730.0,795.4252
548.5,584.18353
595.5,595.0802
717.0,729.235
435.00000000000006,433.61948
740.0,740.016
560.0,509.2191
593.0,582.6845
635.0,705.0368
706.0,705.96497
709.0,708.7669
723.0,703.63043
680.0,657.6338
708.0,735.95245
467.0,438.76907
532.5,527.8061
649.0,651.81635
528.0,521.4045
688.0,697.4938
680.0,674.17145
699.0,611.92456
579.0,592.61426
723.0,722.9487
347.0,334.70215
750.0,759.9595
694.0,696.006
608.0,587.1118
726.0,605.4482
640.0,767.8619
804.0,814.3156
552.0,562.47296
583.0,596.0317
750.0,690.7643
972.0,786.8222
419.99999999999994,424.42282
682.0,684.9785
559.0,557.9752
656.0,655.00134
1041.0,1020.96375
632.0,616.264
680.0,691.5177
720.0,701.5015
606.0,636.42706
883.0,923.33813
691.0,631.98303
580.0,610.8791
696.0,693.62787
554.0,564.664
704.0,703.002
948.9999999999999,776.5109
450.00000000000006,482.98743
617.0,653.0546
691.0,675.248
640.0,770.29144
622.0,721.3836
670.0,675.9473
733.0,728.90765
654.0,640.1192
823.0,769.37695
740.0,736.47577
696.0,668.07336
590.0,606.8573
677.0,688.6373
581.0,567.9251
651.0,659.33466
705.0,644.7895
505.00000000000006,512.2607
691.0,690.98724
688.0,709.29047
981.0000000000001,1088.8267
557.0,575.8134
778.0,776.5109
746.0,723.3528
532.0,530.8244
676.0,675.97424
625.0,683.3904
350.0,407.96683
569.0,564.4523
418.0,424.7695
731.0,730.9768
761.0,711.05444
546.0,590.1854
433.0,434.39795
502.0,647.9289
698.0,696.89343
689.0,631.4853
567.0,566.97473
606.0,621.6682
681.0,656.8093
737.0,749.41907
485.00000000000006,507.45786
688.0,691.0728
685.0,714.6951
658.0,678.7431
536.0,554.9357
738.0,731.4722
518.0,689.1673
468.0,461.2579
731.0,721.00494
365.0,378.99094
588.0,574.51587
731.0,769.192
582.0,584.0719
700.0,695.6512
785.0,770.47925
789.0,742.73676
435.79999999999995,431.46445
607.0,606.03876
505.00000000000006,504.8107
581.0,591.30396
432.0,427.54144
742.0,736.55566
913.0,878.87335
750.0,759.2753
634.0,637.2345
708.0,708.1774
530.0,708.51227
586.0,618.0185
421.4,424.54895
668.0,689.11035
694.0,655.0443
608.0,613.1457
745.0,654.3072
520.0,554.2535
760.0,727.88666
671.0,620.1463
763.0,732.94684
657.0,681.89746
699.0,660.6131
585.0,602.8101
684.0,683.9996
610.0,597.0289
403.0,415.33472
491.0,485.77713
681.0,697.9708
360.0,357.12485
709.0,680.8866
710.0,718.6205
738.0,745.9709
699.0,712.16284
384.0,419.80557
740.0,739.9877
635.0,613.9595
646.0,602.43066
641.0,645.0392
561.0,561.77136
905.0,843.045
670.0,677.62787
685.0,701.3155
686.0,725.12964
741.0,731.9684
533.0,529.3322
670.0,655.64246
804.0,786.20746
670.0,646.5811
782.0,777.28564
412.0,410.2221
757.0,777.28564
723.0,723.0106
627.0,753.2618
505.00000000000006,505.33722
652.0,640.97235
615.0,667.0158
428.0,422.1009
639.0,641.91016
393.0,429.78265
409.0,435.70435
789.0,721.10046
765.0,743.5026
733.0,715.83527
355.0,361.0441
568.0,581.0143
670.0,694.8967
673.0,674.3587
597.0,580.9754
688.0,710.01575
641.0,632.9997
403.0,405.65472
715.0,714.8926
344.0,340.33258
683.0,677.7651
553.0,590.28894
477.0,497.73138
679.0,689.91974
765.0,771.7351
510.00000000000006,507.50967
530.0,520.80945
668.0,706.5661
630.0,640.9724
594.0,577.73816
719.0,663.6601
497.5,519.53937
762.0,777.0048
761.0,747.99005
682.0,681.52826
759.0,778.2463
681.0,695.03723
685.0,684.365
698.0,688.0617
577.0,626.9966
888.0,739.0277
789.0,701.0526
569.0,603.3261
688.0,689.5161
394.0,392.23538
578.0,561.5087
838.0,680.24084
658.0,694.21924
552.0,556.8816
740.0,665.24146
399.99999999999994,423.34286
606.0,602.1074
681.0,687.10754
590.0,608.07446
745.0,678.945
848.0,796.4114
654.0,640.03394
740.0,707.9654
698.0,672.32294
732.0,732.018
646.0,656.90717
728.0,687.09375
777.0,744.84375
590.0,584.62335
703.0,703.0978
515.0,551.0172
