Real lambda,Predicted lambda
428.0,569.38605
544.0,576.783
640.0,649.7838
600.0,592.02
747.0,704.7037
395.0,425.54462
730.0,699.49915
360.0,359.96472
697.0,700.017
554.0,566.61
391.0,410.77545
293.0,378.54337
823.0,785.60187
744.0,744.01245
658.0,660.36707
558.0,554.45544
370.0,369.28784
373.0,383.26312
560.0,547.3083
619.0,602.70306
670.0,683.7944
631.0,665.9858
1035.0,1032.5275
848.0,777.2153
683.0,683.73724
568.0,565.3509
403.0,411.67288
532.0,555.75104
432.0,434.28625
381.0,401.49307
838.0,838.0204
738.0,720.0169
685.0,680.65576
434.6,434.211
641.0,632.0505
419.0,499.12927
560.0,594.3165
777.0,775.4231
606.0,608.8389
532.0,534.764
578.0,585.4023
694.0,674.76794
646.0,668.71594
682.0,682.09625
682.0,685.84344
438.0,433.43893
785.0,785.59033
728.0,699.13715
366.0,371.83502
573.0,542.95557
818.0,787.73254
784.0,783.1249
712.0,716.4161
789.0,734.99414
565.0,556.75226
360.0,363.34106
710.0,710.0719
680.0,662.42377
731.0,731.00305
780.0,716.3602
604.0,627.03345
664.0,688.01996
766.0,706.0922
670.0,646.5611
862.0,860.72925
681.0,649.12274
616.0,614.1722
640.0,699.78406
689.0,640.5806
782.0,777.5175
590.0,579.214
714.0,703.43134
640.0,684.0386
502.0,553.21375
602.0,649.6945
757.0,744.7949
707.0,738.99414
569.0,568.7704
634.0,626.3478
371.0,385.98288
673.0,673.9427
536.0,542.211
702.0,702.94604
564.0,546.697
682.0,674.58435
621.0,656.2285
676.0,682.7413
763.0,762.6915
607.0,584.7039
679.0,658.85254
393.0,358.57724
524.0,527.39343
698.0,703.9471
696.0,702.6734
408.0,406.0908
597.0,598.7227
696.0,693.20624
645.0,641.6257
721.0,721.0092
529.0,507.71033
691.0,686.94214
683.0,683.004
867.0,843.01135
528.5,528.7922
588.0,573.38464
433.0,434.9825
500.00000000000006,511.78915
774.0,778.14355
675.0,698.80707
710.0,708.50323
686.0,691.0728
590.0,561.7011
557.0,556.04016
672.0,681.65356
567.0,561.9824
365.0,376.13184
775.0,772.7655
759.0,787.3361
660.0,666.3516
574.0,625.5151
717.0,735.9526
781.0,781.3288
785.0,802.72833
423.0,424.7803
690.0,683.7594
436.0,428.40253
539.0,542.791
654.0,679.7505
645.0,698.198
688.0,688.02264
536.0,538.6687
650.0,643.81866
728.0,722.4164
708.0,683.91034
694.0,686.3439
634.0,634.00354
681.0,668.9598
711.0,678.9331
671.0,662.5343
744.0,744.0078
1052.0,1054.0425
717.0,746.92926
656.0,653.28424
769.0,765.1558
731.0,724.6847
634.0,586.3724
785.0,798.3926
549.0,550.16815
675.0,690.7626
699.0,614.70685
501.0,522.7819
617.0,648.00836
606.0,603.9774
698.0,689.7134
1089.0,1074.0659
419.99999999999994,425.62006
358.0,365.45673
743.0,593.1095
640.0,744.2608
678.0,631.62476
787.0,800.6207
538.0,552.55554
680.0,683.6204
774.0,765.97754
607.0,604.6945
798.9999999999999,799.0213
417.0,423.43695
785.0,781.2408
414.99999999999994,416.61444
399.99999999999994,446.53326
765.0,765.0042
675.0,693.99146
641.0,598.72437
610.0,615.4076
480.00000000000006,611.2845
558.0,618.4501
703.0,704.51355
700.0,723.4471
505.00000000000006,504.21118
639.0,651.1488
895.0,894.5733
562.0,562.2097
673.0,676.25903
697.0,628.8562
659.0,666.42584
688.0,683.73364
750.0,754.0701
682.0,607.3527
548.0,550.94226
596.0,593.0663
740.0,740.003
681.0,679.701
543.0,499.73425
680.0,649.42413
683.0,664.0326
666.0,679.1405
786.0,779.32837
708.0,707.8989
355.0,380.8051
724.0,732.13025
829.9999999999999,839.8556
452.2,456.2261
668.0,728.979
724.0,735.06537
704.0,719.68805
679.0,669.67535
699.0,696.1234
665.0,614.5421
651.0,723.06354
541.0,546.34216
411.0,408.13513
686.0,682.61224
709.0,705.64307
737.0,681.4288
609.0,603.77856
664.0,682.29285
688.0,630.063
699.0,703.16364
699.0,697.9088
743.0,725.24603
731.0,727.5458
755.0,725.5177
634.0,634.0049
678.0,680.57996
567.0,569.26056
694.0,678.8071
456.0,443.54092
758.0,762.44073
622.0,597.97845
681.0,679.62756
543.0,527.09125
671.0,621.75635
689.0,695.4366
720.0,742.50415
594.0,586.49756
641.0,640.84924
981.0000000000001,984.57684
692.0,689.8498
769.0,774.2965
435.00000000000006,436.74677
681.0,653.4954
733.0,727.6631
620.0,623.87177
363.0,480.36166
728.0,724.2359
534.5,531.85266
478.99999999999994,487.3626
553.0,557.909
625.0,621.396
688.0,701.0264
694.0,700.8819
785.0,785.17377
692.0,683.69434
804.0,762.9477
627.0,716.76086
493.0,466.37445
617.0,623.851
670.0,630.7909
522.0,676.10785
587.0,600.2286
710.0,705.8985
685.0,690.69775
746.0,746.01483
728.0,724.2359
505.00000000000006,501.91745
694.0,689.9224
779.0,784.28424
483.0,460.51324
712.0,677.3557
692.0,625.97925
634.0,546.0015
457.0,451.5954
562.0,632.0327
683.0,561.6885
948.9999999999999,940.22327
700.0,721.7001
521.0,505.5295
684.0,630.66675
695.0,661.0724
1021.0,1024.8762
731.0,727.5458
690.0,681.79114
750.0,753.6059
498.99999999999994,512.64764
670.0,643.75995
530.0,543.9214
713.0,714.7598
608.0,604.64886
633.0,568.07153
676.0,651.91345
789.0,765.1708
735.0,732.08154
662.0,660.72205
581.0,569.42285
510.00000000000006,522.8354
606.0,679.816
732.0,732.0164
695.0,756.78235
1026.0,792.07214
854.0,823.91925
435.00000000000006,417.0668
635.0,635.00165
582.0,548.82623
703.0,712.51776
347.0,362.13986
688.0,719.9112
677.0,697.6239
709.0,709.01306
704.0,705.3217
404.99999999999994,407.30887
493.0,553.2317
649.0,648.3994
782.0,780.2155
761.0,761.3808
750.0,715.1753
716.0,726.1329
1026.0,836.6029
691.0,682.2898
384.0,412.4499
522.0,510.57373
700.0,711.17737
709.0,709.0104
815.0,849.61584
720.0,730.59796
790.0,782.2236
700.0,711.7042
571.0,600.95544
662.0,684.24475
685.0,637.83875
760.0,689.3605
530.0,510.98935
754.0,754.01294
496.0,498.04684
694.0,693.9932
554.0,553.3906
548.0,548.00507
746.0,736.37585
536.0,538.7869
445.00000000000006,400.89023
775.0,747.7094
774.0,739.87317
688.0,701.1692
448.99999999999994,451.21863
673.0,714.53766
666.0,688.19183
708.0,707.18427
652.0,645.42194
735.0,635.76807
666.0,674.87946
434.0,431.9921
680.0,659.571
563.0,548.124
561.0,571.4885
725.0,726.9512
688.0,689.6029
730.0,735.4455
723.0,723.0133
527.0,518.8397
637.0,705.87164
688.0,682.47235
736.0,745.88965
540.5,539.682
579.0,614.32935
533.0,542.43243
694.0,694.0214
635.0,635.76807
684.0,678.22314
422.0,495.19772
468.0,484.37735
860.0000000000001,858.9224
688.0,692.99896
705.0,677.7799
781.0,781.7472
693.0,689.57153
608.0,588.478
404.0,404.0334
678.0,668.7207
883.0,840.1161
680.0,680.009
891.0000000000001,899.34467
689.0,691.25635
606.0,602.6171
581.0,619.432
590.0,618.6805
712.0,721.47845
626.0,594.7129
634.0,620.45514
688.0,689.6651
548.0,545.8487
649.0,639.1689
689.0,680.1045
678.0,684.9922
653.0,661.267
652.0,652.00543
660.0,657.2084
581.0,596.84174
682.0,683.8081
448.0,413.62915
703.0,697.9459
731.0,733.2445
794.0,774.78546
530.0,622.73425
798.9999999999999,799.0192
423.6000000000001,425.44235
704.0,693.3315
737.0,620.75977
606.0,605.79297
730.0,712.99457
646.0,679.5814
739.0,739.9199
606.0,602.6171
617.0,627.5472
394.0,402.6542
746.0,758.98914
467.0,481.4997
695.0,632.19586
721.0,718.0178
510.00000000000006,517.1156
569.0,562.16077
651.0,649.6762
802.0000000000001,581.2314
618.0,614.1305
818.9999999999999,711.289
684.0,749.5496
505.00000000000006,504.7661
764.0,713.9319
590.0,572.67395
612.0,630.6148
761.0,737.07916
552.0,551.22144
412.0,414.79843
720.0,728.7229
793.0,785.1355
621.0,621.00995
505.00000000000006,515.2493
797.0,728.6733
697.0,694.0544
818.0,781.6188
654.0,641.5627
1041.0,1037.7332
434.0,438.04688
682.0,686.1249
664.0,669.74286
360.0,358.3152
532.0,543.0192
733.0,736.42773
721.0,721.00854
804.0,812.05646
706.0,706.7701
712.0,721.0098
681.0,676.4028
382.0,490.9735
785.0,774.71796
688.0,691.3585
530.0,522.3207
684.0,680.6604
563.0,561.95374
497.5,523.6317
701.0,700.97687
681.0,686.5586
491.0,499.69662
774.0,717.32465
710.0,688.8756
740.0,740.01025
674.0,673.3066
403.0,403.4077
568.0,577.9206
680.0,677.5746
674.0,673.3066
758.0,746.1743
683.0,680.119
642.0,643.81195
483.99999999999994,476.71487
607.0,587.02875
366.0,367.68567
735.0,721.26746
683.0,679.0245
456.0,445.07104
437.0,409.00204
668.0,715.7868
688.0,695.52655
668.0,716.5349
593.0,604.01263
686.0,705.0344
708.0,707.9838
675.0,684.47687
654.0,656.5417
683.0,683.0034
752.0,747.3412
428.0,399.50616
672.0,672.89746
505.00000000000006,513.7022
688.0,691.37445
550.0,560.03046
691.0,691.0108
581.0,649.44574
560.0,560.0032
683.0,692.4385
502.0,535.46063
435.79999999999995,427.54
707.0,703.31256
691.0,691.7395
815.0,807.16675
727.0,735.92175
561.0,570.0143
635.0,648.4644
777.0,776.6053
454.20000000000005,447.60983
778.0,772.03
805.0,790.2298
696.0,710.26245
691.0,691.0108
754.0,717.53656
595.0,590.625
684.0,702.0717
580.0,520.8688
679.0,578.02826
733.0,708.33276
582.0,554.31433
727.0,727.0077
778.0,778.2879
548.0,540.7865
703.0,732.3913
699.0,700.5058
891.0000000000001,871.9376
667.0,673.7368
732.0,751.64343
829.9999999999999,781.21985
722.0,710.43066
730.0,724.00653
715.0,715.0109
558.0,554.7842
698.0,691.3091
669.0,671.6667
505.00000000000006,505.38345
685.0,724.87506
607.0,596.3289
632.0,600.7334
706.0,705.2855
432.8,434.03116
475.00000000000006,746.2384
742.0,742.002
710.0,703.6057
733.0,722.81586
726.0,688.64667
500.00000000000006,498.92203
672.0,740.891
782.0,676.88477
613.0,613.1809
688.0,679.99927
633.0,717.10864
334.0,367.14633
714.0,715.59576
568.0,603.8539
655.0,674.85065
557.0,576.4781
740.0,740.0022
652.0,652.009
775.0,755.60345
639.0,632.7206
633.0,576.62134
533.0,533.7738
638.0,663.84326
546.0,634.0106
700.0,700.00653
594.0,592.2744
745.0,753.33154
643.0,645.83325
588.0,581.76227
640.0,658.3263
732.0,732.00635
637.0,647.0456
567.0,584.11914
731.0,713.34045
789.0,656.87964
557.0,550.3664
500.00000000000006,499.96246
649.0,705.38586
630.0,630.011
708.0,737.9721
663.0,619.4766
688.0,680.6705
712.0,713.4788
699.0,701.0612
724.0,681.7502
765.0,751.1742
691.0,691.0027
675.0,717.05347
693.0,767.8489
404.99999999999994,368.798
605.0,569.4416
430.00000000000006,447.40094
785.0,773.7637
720.0,712.01373
686.0,650.3333
703.0,708.0418
477.0,491.08307
628.0,664.4383
697.0,694.5705
698.0,696.67255
436.0,437.06015
727.0,727.0005
713.0,710.0411
922.0,915.6935
529.0,524.8109
762.0,742.33136
661.0,664.05365
577.0,713.8055
731.0,732.15204
549.0,555.8969
684.0,685.8568
570.0,642.7011
724.0,708.4188
779.0,626.703
552.0,556.7172
694.0,648.73193
629.0,655.9386
745.0,740.1899
532.0,621.9701
622.0,662.19434
716.0,719.8072
539.0,584.11896
355.0,361.9832
663.0,624.4706
567.0,621.15924
537.0,544.18585
640.0,653.9742
505.00000000000006,510.49774
713.0,712.52026
409.0,437.0061
535.5,539.5817
625.0,701.7441
553.0,657.5611
793.0,772.11945
595.5,576.613
597.0,602.96576
548.0,483.16458
577.0,627.4906
680.0,683.13385
656.0,653.9909
733.0,715.85876
490.00000000000006,515.7276
649.0,644.54144
643.0,643.01056
693.0,685.7197
382.0,459.20712
729.0,729.43835
548.5,581.087
432.0,438.0262
723.0,723.0163
706.0,706.01074
693.0,694.31744
708.0,664.8796
515.0,524.36426
750.0,728.64716
780.0,779.12036
706.0,707.34283
783.0,788.00525
500.00000000000006,509.12936
534.0,578.1075
708.0,708.01874
409.0,411.70007
688.0,676.00903
505.00000000000006,497.6863
687.0,687.31665
765.0,652.36005
643.0,644.39624
652.0,670.8703
750.0,699.67444
811.0000000000001,813.8008
650.0,648.94946
680.0,674.453
646.0,643.13226
732.0,731.3341
613.0,614.5202
795.0,786.4847
718.0,718.6761
408.0,410.08997
402.0,405.1587
518.0,614.39874
681.0,681.65894
698.0,702.60126
675.0,698.473
794.0,802.8658
512.0,548.10803
685.0,659.2936
615.0,646.3152
668.0,671.5741
798.0,786.6097
754.0,754.01483
492.0,524.8648
689.0,693.33344
713.0,714.2687
742.0,742.0153
368.0,368.47934
668.0,682.91064
571.0,581.3258
344.0,365.21927
563.0,567.3035
691.0,688.84656
662.0,696.176
710.0,712.3792
403.0,406.38782
793.0,755.2525
602.0,587.2465
715.0,701.2074
532.5,529.99066
848.0,802.9046
691.0,690.99725
721.0,717.98364
685.0,672.60815
360.0,358.3323
678.0,710.3574
703.0,695.7953
684.0,696.20245
738.0,738.013
561.0,556.0121
795.0,795.7553
653.0,655.9957
670.0,647.5948
690.0,736.89935
688.0,676.00903
431.2,421.45206
740.0,740.0124
762.0,757.84283
635.0,635.00684
676.0,704.938
888.0,883.9144
505.00000000000006,511.0031
681.0,675.4237
443.0,445.9933
547.0,547.2119
651.0,629.56714
708.0,683.47577
553.0,562.05304
485.00000000000006,469.11465
540.0,553.5383
478.0,498.75803
516.0,511.92636
728.0,683.9065
746.0,746.01416
720.0,756.6062
1039.0,1065.656
643.0,642.9791
498.0,499.34467
718.0,714.8823
530.0,522.78076
677.0,691.21063
684.0,674.723
715.0,714.9957
473.0,478.54413
581.0,584.90436
656.0,653.57996
