Real lambda,Predicted lambda
558.0,558.0053
774.0,774.02045
698.0,698.0143
577.0,577.0031
675.0,675.0078
737.0,737.0154
669.0,669.0149
710.0,710.00793
609.0,609.01184
522.0,522.0039
712.0,712.0066
700.0,700.00806
680.0,680.01306
656.0,655.9872
709.0,709.0158
687.0,687.0107
815.0,815.0058
764.0,764.0056
505.00000000000006,505.00604
708.0,708.0064
643.0,643.0071
636.0,636.0113
685.0,685.0082
703.0,703.02216
498.0,498.00757
686.0,686.011
618.0,618.0139
718.0,718.01245
590.0,590.0035
590.0,590.0061
700.0,700.0062
664.0,664.0013
688.0,688.0136
720.0,720.00665
699.0,699.0174
695.0,695.0098
835.0,835.01434
688.0,688.01215
530.0,530.00665
790.0,790.0166
688.0,688.0105
700.0,700.024
571.0,571.00574
699.0,699.0064
607.0,607.0102
662.0,662.01373
432.0,432.0017
557.0,557.0042
733.0,732.9969
704.0,704.0068
796.0,795.99646
490.00000000000006,490.0035
672.0,672.00885
677.0,677.0098
743.0,743.015
632.0,632.0114
685.0,685.0088
567.0,567.00806
612.0,612.008
684.0,684.00757
760.0,760.01495
715.0,715.00775
761.0,761.0128
530.0,530.00397
911.0000000000001,910.99316
473.0,472.99988
706.0,705.9956
754.0,754.00665
552.0,552.00415
731.0,731.0118
698.0,698.0013
412.0,412.004
658.0,658.0092
649.0,649.01135
689.0,689.002
530.0,530.00507
528.0,528.00555
581.0,581.0114
432.8,432.80728
496.0,496.00174
726.0,726.0052
720.0,720.00977
643.0,643.0071
637.0,637.01263
783.0,783.0074
475.00000000000006,475.00357
658.0,658.01355
503.99999999999994,504.0072
793.0,793.0073
365.0,365.0004
742.0,742.01685
621.0,621.0085
694.0,694.004
693.0,693.0114
710.0,710.0289
505.00000000000006,505.0052
775.0,774.98004
656.0,655.98663
733.0,733.00757
755.0,755.0122
685.0,685.01056
548.0,548.0088
554.0,554.00684
496.0,496.004
548.0,548.0043
606.0,606.0105
382.0,382.00458
700.0,700.00305
981.0000000000001,980.98047
746.0,746.01385
797.0,797.01733
726.0,726.01227
536.0,536.0031
732.0,732.0163
674.0,674.0114
740.0,740.01624
674.0,674.0008
500.00000000000006,500.00436
697.0,697.0
672.0,672.0132
782.0,782.01495
654.0,654.00684
613.0,613.0107
692.0,692.0112
698.0,698.0075
634.0,634.01013
685.0,685.0275
678.0,678.0045
567.0,567.0055
700.0,700.0168
729.0,729.0061
674.0,674.0157
848.0,848.00525
694.0,694.00903
733.0,733.0051
796.0,796.00586
688.0,688.01996
456.0,456.00302
818.0,818.01794
445.00000000000006,445.01193
775.0,775.00964
758.0,758.0117
654.0,654.0115
548.5,548.50635
1041.0,1040.9968
622.0,622.0059
432.0,432.0022
723.0,723.0084
434.0,433.99945
972.0,972.02167
774.0,774.0099
550.0,550.0034
723.0,723.0084
682.0,682.01404
664.0,664.0087
688.0,688.0105
633.0,633.0079
632.0,632.0111
370.0,370.00095
448.99999999999994,449.0024
360.0,359.99548
673.0,673.00696
641.0,641.00635
681.0,681.02106
611.0,611.0095
656.0,656.0079
688.0,687.9814
334.0,334.00156
666.0,666.0125
532.0,532.00195
733.0,732.9971
676.0,676.00397
543.0,543.0046
706.0,706.0087
671.0,671.0077
689.0,689.0127
693.0,693.01385
775.0,775.0077
712.0,711.99835
721.0,721.0092
682.0,682.0059
706.0,706.0087
678.0,678.0056
714.0,714.00635
708.0,708.0373
563.5,563.5095
652.0,652.01276
635.0,635.0069
735.0,685.1253
804.0,803.99005
574.0,574.0071
568.0,568.0066
759.0,759.00995
720.0,720.0073
468.0,468.00568
723.0,723.0154
655.0,655.0067
708.0,708.0097
706.0,706.01276
679.0,679.0062
666.0,666.00916
557.0,557.00995
712.0,718.7603
740.0,740.0101
428.6,428.6025
514.0,514.0051
597.0,597.009
681.0,681.0056
594.0,594.00696
660.0,660.005
700.0,700.0273
382.0,382.00092
779.0,779.01276
434.0,434.00037
641.0,641.01184
652.0,652.01166
785.0,784.9909
574.0,574.00433
981.0000000000001,981.0588
680.0,680.01025
688.0,688.00336
530.0,530.0061
745.0,745.0084
684.0,684.00714
775.0,775.0072
777.0,777.00964
717.0,717.01465
563.0,563.00726
781.0,781.00714
785.0,785.01624
423.0,423.00162
720.0,720.0106
759.0,759.0134
905.0,905.02295
563.0,563.0025
639.0,639.0091
721.0,718.7603
692.0,692.0037
769.0,769.01715
561.0,561.0063
633.0,633.00885
435.00000000000006,435.00412
497.5,497.5047
650.0,650.015
681.0,681.0071
733.0,733.0256
654.0,654.0135
674.0,674.00616
554.0,554.0021
515.0,515.0044
443.0,443.00085
690.0,690.0138
506.0,506.0041
750.0,750.00323
780.0,779.9977
436.0,436.00473
706.0,705.98865
725.0,725.01135
883.0,883.0178
748.0,747.9998
688.0,688.02264
529.0,529.0049
648.0,648.0064
740.0,740.01855
637.0,637.00616
730.0,730.0111
705.0,705.0031
657.0,657.00195
539.0,539.0102
654.0,654.0079
783.0,783.02997
701.0,701.00916
723.0,723.01013
645.0,645.0086
527.0,527.0051
528.0,528.0337
637.0,637.0065
667.0,667.01294
620.0,620.00977
681.0,681.0127
688.0,688.02435
491.0,491.00436
747.0,747.0156
688.0,688.0105
774.0,774.00775
363.0,363.0021
728.0,728.016
699.0,699.0184
500.00000000000006,500.00104
797.0,797.0162
662.0,662.00916
736.0,736.0008
425.79999999999995,425.799
533.0,532.97876
913.0,913.0039
534.0,534.00385
534.5,534.48486
540.5,540.50653
710.0,710.00793
740.0,740.0101
557.0,557.0048
708.0,708.0071
579.0,579.01196
533.0,533.0037
638.0,638.0056
731.0,731.01624
553.0,553.00336
478.99999999999994,479.00287
409.0,409.00436
674.0,674.01276
403.0,403.0007
568.0,568.0063
532.0,532.00305
688.0,688.01996
728.0,728.0166
694.0,694.01843
