Real lambda,Predicted lambda
379.0,377.82727
688.0,688.0054
607.5,607.6277
867.0,866.4846
497.5,500.42044
685.0,684.9211
681.0,680.6541
563.5,565.92206
708.0,707.90924
521.0,522.0235
785.0,785.0928
440.00000000000006,440.26587
694.0,694.237
706.0,705.9209
409.99999999999994,410.45917
694.0,694.06177
365.0,364.71262
628.0,628.9813
668.0,668.13226
571.0,572.0801
785.0,785.06836
694.0,694.12494
706.0,706.06274
632.0,631.1811
689.0,689.15955
390.0,390.3879
534.0,534.03253
779.0,778.55334
728.0,727.86957
493.0,493.052
747.0,746.7213
483.0,484.06677
775.0,774.6732
544.0,543.65564
498.99999999999994,500.8382
626.0,625.5095
580.0,579.5877
581.0,582.74585
605.0,605.51385
709.0,709.22955
731.0,730.924
688.0,688.97174
670.0,672.1159
532.0,532.286
683.0,682.8907
523.0,523.993
688.0,688.6861
522.0,522.3714
760.0,759.87006
403.0,404.27094
625.0,624.51495
532.0,532.20886
524.0,525.1937
408.0,408.02814
528.0,528.06683
565.0,565.29126
738.0,738.7983
721.0,721.0671
636.0,635.70044
502.0,501.5773
698.0,698.5996
848.0,847.8754
783.0,783.1756
606.0,606.1108
642.0,643.7473
699.0,699.1011
538.0,538.02454
695.0,695.39874
682.0,681.81024
682.0,683.8826
417.0,415.92953
765.0,765.48785
607.0,607.18805
578.0,578.1824
818.0,816.80835
705.0,704.90424
796.0,795.3085
501.0,500.3321
745.0,745.5754
694.0,694.2874
674.0,674.73566
745.0,746.42175
660.0,660.04913
710.0,709.9525
707.0,707.2822
794.0,793.97046
608.0,608.2676
430.00000000000006,430.9891
681.0,681.2377
404.0,403.9731
666.0,666.7456
685.0,684.9711
674.0,674.98083
635.0,635.1834
637.0,636.82416
716.0,716.1071
712.0,712.91437
675.0,674.9866
680.0,679.6748
640.0,639.4508
666.0,667.4208
695.0,694.9789
634.0,633.89264
409.99999999999994,409.87357
718.0,718.0938
503.99999999999994,502.85974
700.0,700.42645
637.0,636.6681
743.0,742.8373
913.0,913.2215
428.0,427.21548
708.0,707.74677
782.0,782.1102
826.0,826.68317
710.0,710.2103
848.0,847.8636
422.0,422.6419
590.0,590.30646
585.0,587.51996
688.0,687.59973
710.0,710.48505
738.0,737.7664
558.0,558.63165
498.0,497.65344
746.0,746.1393
691.0,691.0722
594.0,594.81635
552.0,553.6082
423.6000000000001,424.31158
361.0,361.83887
618.0,618.2178
530.0,530.1698
604.0,604.2789
666.0,666.2266
448.99999999999994,448.90576
606.0,606.4316
480.00000000000006,483.11923
548.0,548.3571
581.0,581.6221
673.0,674.32495
515.0,519.31866
698.0,697.84296
334.0,334.87537
737.0,737.17365
467.0,465.7248
752.0,751.5581
757.0,757.18866
732.0,732.73804
755.0,755.59515
671.0,670.9045
646.0,646.169
731.0,731.1249
529.0,529.4638
631.0,631.77026
724.0,724.2947
399.99999999999994,400.0654
681.0,680.3998
574.0,573.91736
436.0,436.0755
625.0,624.4462
683.0,682.8161
658.0,659.9835
630.0,630.34644
748.0,747.61554
600.0,600.2212
716.0,716.1212
672.0,671.52386
740.0,739.70734
505.00000000000006,503.84424
740.0,740.02344
835.0,835.26025
766.0,765.74866
355.0,355.3085
666.0,667.308
539.0,539.21936
438.0,437.9916
674.0,674.07947
681.0,681.5291
1035.0,1034.4376
659.0,659.5635
496.0,496.43665
493.0,494.11588
607.0,606.4023
680.0,680.00305
667.0,667.99335
688.0,677.2606
688.0,688.2301
432.0,432.3255
888.0,888.38043
678.0,679.0073
720.0,720.16736
743.0,743.2639
674.0,674.7839
562.0,562.40656
744.0,744.40356
643.0,643.8945
682.0,683.1986
720.0,719.8933
355.0,355.59036
663.0,664.84454
399.99999999999994,398.83936
706.0,706.0032
778.0,777.9551
668.0,667.75616
775.0,775.1558
615.0,615.07446
685.0,685.1717
491.0,490.90808
409.0,409.63507
732.0,732.73804
613.0,614.6543
632.0,632.2722
587.0,587.6064
561.0,561.4185
779.0,779.48645
518.0,517.3634
854.0,852.9574
688.0,688.09595
669.0,669.46783
656.0,655.675
704.0,705.0117
425.79999999999995,426.56662
621.0,621.2717
793.0,792.88354
373.0,372.55612
574.0,575.3432
629.0,629.48706
684.0,684.50244
688.0,688.95465
1026.0,1025.1254
721.0,718.4445
698.0,698.4984
610.0,610.6401
718.0,718.5519
665.0,667.5445
617.0,617.1066
549.0,549.25836
456.0,455.51617
431.2,431.8675
664.0,664.00055
691.0,691.0746
640.0,639.23914
562.0,563.12933
728.0,727.92554
559.0,561.1545
477.0,480.0549
688.0,688.0361
721.0,719.78674
640.0,639.22046
381.0,381.23145
730.0,729.69666
677.0,677.11316
530.0,530.76746
711.0,711.123
540.0,539.47943
891.0000000000001,891.17175
688.0,687.494
709.0,709.5098
524.0,524.7712
745.0,744.78827
680.0,679.66644
621.0,625.8367
573.0,575.95514
684.0,683.9643
731.0,731.0883
739.0,738.71234
569.0,570.0408
703.0,703.04895
782.0,782.3163
670.0,670.97516
642.0,640.90765
505.00000000000006,503.9922
680.0,681.2415
744.0,743.81555
