Real lambda,Predicted lambda
497.5,497.52216
604.0,604.0535
762.0,769.6163
718.0,700.5806
680.0,680.037
596.0,573.54456
761.0,761.084
682.0,682.0423
700.0,700.06
505.00000000000006,505.0756
782.0,782.07776
783.0,783.0485
434.0,434.00134
635.0,635.037
694.0,694.0415
498.99999999999994,499.00098
448.0,448.0082
689.0,689.05786
682.0,682.1086
729.0,729.0617
723.0,723.05725
614.0,624.5331
759.0,772.7793
549.0,549.0186
735.0,735.0451
823.0,823.0474
1021.0,1031.0619
667.0,667.0452
438.0,438.01227
567.0,567.014
432.0,432.0058
528.0,527.9943
617.0,617.0537
493.0,493.02533
664.0,676.0426
567.0,567.0172
399.99999999999994,400.00983
678.0,678.0323
675.0,662.0332
693.0,693.0541
669.0,669.0408
697.0,697.03174
694.0,695.0476
573.0,573.0188
681.0,681.02954
684.0,683.9953
897.9999999999999,898.0734
613.0,613.1102
572.0,572.00934
699.0,699.04584
334.0,334.00946
775.0,775.0391
480.00000000000006,480.036
674.0,674.0558
606.0,606.0431
685.0,685.0342
711.0,711.06274
675.0,675.06024
606.0,606.02075
699.0,699.06335
430.00000000000006,430.00308
553.0,553.0604
681.0,680.8143
680.0,680.0467
700.0,700.04877
565.0,565.0299
698.0,693.09766
690.0,690.0363
737.0,737.0579
634.0,634.0343
671.0,671.0391
485.00000000000006,485.01193
794.0,794.0881
688.0,676.0426
692.0,685.56415
609.0,609.0335
530.0,529.9996
785.0,785.0607
577.0,577.02325
712.0,711.0205
630.0,640.9746
688.0,688.07294
733.0,733.062
689.0,689.1013
625.0,625.0323
888.0,887.8169
554.0,554.0386
550.0,550.0241
685.0,685.0318
681.0,681.055
789.0,789.05963
658.0,658.0685
684.0,684.0056
695.0,695.0589
569.0,569.0499
536.0,536.0468
692.0,692.08527
556.0,567.014
688.0,688.0451
705.0,705.0493
708.0,708.2572
381.0,381.0055
688.0,688.04407
526.0,529.0509
548.0,548.0182
843.0,843.0739
667.0,667.05817
548.0,548.05237
674.0,674.0272
620.0,620.0583
738.0,738.07947
394.0,394.00534
600.0,600.0375
666.0,666.04016
699.0,699.06537
639.0,639.0213
718.0,704.1014
578.0,567.014
518.0,518.0245
838.0,838.0504
658.0,658.07263
686.0,686.0292
552.0,552.02234
693.0,693.005
650.0,650.01855
515.0,515.0093
826.0,826.1094
779.0,779.0704
695.0,695.0435
703.0,703.52936
715.0,715.04346
708.0,695.0729
522.0,522.0105
581.0,572.2808
587.0,586.9612
715.0,715.0434
740.0,740.0641
404.0,404.97205
468.0,468.00644
796.0,772.7793
532.0,529.0509
674.0,674.05524
731.0,731.07
699.0,699.00366
365.0,371.97986
708.0,692.5846
360.0,360.00046
688.0,698.0164
588.0,588.0156
728.0,719.0415
730.0,774.24347
436.0,436.0145
576.0,597.0141
731.0,731.06244
582.0,582.0267
548.5,548.5615
399.99999999999994,400.00153
654.0,659.06464
360.0,360.02975
595.5,595.5281
700.0,700.0316
717.0,717.0364
710.0,710.0477
703.0,703.11115
698.0,698.0591
632.0,633.04285
680.0,680.0525
606.0,605.98267
435.00000000000006,435.00485
785.0,785.05664
789.0,789.0894
534.5,534.5292
679.0,679.0337
547.0,540.07623
562.0,562.0166
696.0,696.0447
727.0,727.0595
643.0,643.0533
408.0,408.02087
435.79999999999995,435.8139
611.0,611.03595
795.0,795.06836
536.0,536.0232
681.0,681.0519
740.0,740.1406
779.0,779.06824
560.0,560.0197
581.0,581.01025
593.0,593.029
607.0,607.03357
496.0,496.02197
590.0,590.0238
360.0,359.85724
690.0,690.061
706.0,706.0547
733.0,733.0683
745.0,745.06866
666.0,666.0375
505.00000000000006,505.00107
600.0,600.03107
635.0,681.728
848.0,848.07025
581.0,581.02814
654.0,647.0143
671.0,671.0398
697.0,679.5473
656.0,655.9204
432.0,432.00266
621.0,621.04004
854.0,854.09753
694.0,694.02203
742.0,742.0194
700.0,710.37244
706.0,706.069
688.0,688.0544
740.0,739.87585
913.0,913.06415
540.5,540.39905
521.0,521.0033
709.0,709.02216
750.0,750.0647
634.0,634.0429
506.0,506.0441
708.0,708.0379
698.0,698.0644
564.0,564.01245
635.0,635.00433
530.0,530.0268
720.0,720.08905
688.0,693.09766
636.0,636.0397
607.0,598.5674
708.0,708.04236
685.0,685.0465
723.0,723.0499
732.0,732.0677
422.0,422.00595
651.0,651.0204
366.0,366.00934
680.0,680.05804
646.0,646.07336
666.0,666.0684
586.0,586.03204
533.0,540.07623
568.5,568.4997
720.0,720.05914
682.0,682.05444
728.0,728.06915
360.0,360.14722
766.0,766.0451
548.0,548.01074
686.0,686.0517
685.0,685.0581
721.0,718.0955
668.0,668.0254
686.0,686.0396
913.0,913.0705
708.0,708.0663
697.0,697.0336
704.0,704.1682
467.0,467.00748
505.00000000000006,505.066
708.0,707.8681
516.0,516.0478
724.0,724.07324
532.5,532.26196
692.0,692.05237
503.0,503.01874
780.0,780.0498
754.0,754.0717
704.0,704.0432
421.4,421.39822
649.0,649.0425
722.0,722.0932
528.0,528.0213
371.0,371.0063
688.0,688.0369
738.0,738.06384
746.0,742.0505
668.0,668.0592
680.0,680.06885
694.0,694.0638
588.0,588.0282
632.0,661.532
608.0,608.05597
640.0,640.0379
576.0,576.0775
606.0,606.03076
740.0,740.1406
672.0,672.05023
648.0,648.04114
699.0,699.02814
663.0,663.02124
728.0,728.0851
798.9999999999999,799.10693
775.0,775.0753
819.9999999999999,820.06396
579.0,579.10077
745.0,745.0807
520.0,520.0365
635.0,634.9871
759.0,762.2436
723.0,723.0537
347.0,347.00946
777.0,777.0501
718.0,718.05695
764.0,764.0538
775.0,775.0444
688.0,688.0669
760.0,760.07715
671.0,671.0558
763.0,763.1009
505.00000000000006,505.09598
676.0,673.06494
570.0,570.0088
750.0,750.0593
641.0,641.03204
445.00000000000006,445.00964
590.0,590.02795
703.0,703.0685
515.0,515.0294
560.0,560.02216
637.0,637.0398
724.0,724.0352
584.0,584.0254
694.0,695.0476
640.0,640.0437
688.0,698.0164
666.0,666.04236
637.0,637.0415
867.0,867.0702
588.0,588.0256
431.2,431.19846
642.0,642.058
891.0000000000001,891.0891
490.00000000000006,490.00745
574.0,574.01404
911.0000000000001,911.0708
774.0,774.0766
437.0,437.01523
657.0,657.0407
608.0,608.02673
681.0,681.03925
414.99999999999994,414.99472
818.0,818.0758
699.0,699.0509
434.0,434.0041
745.0,745.081
585.0,585.03375
684.0,684.0056
610.0,603.5261
713.0,713.04895
631.0,631.05786
536.0,536.03625
403.0,403.00443
726.0,726.05786
483.0,466.51102
676.0,676.0564
395.0,394.9925
726.0,726.0327
640.0,640.0415
725.0,725.0622
815.0,815.0581
360.0,359.95883
607.5,607.53674
581.0,589.0479
804.0,804.0663
712.0,720.71136
532.0,532.0269
621.0,621.0409
552.0,552.01886
689.0,689.05255
491.0,491.01654
655.0,655.07556
456.0,456.00604
561.0,561.0284
583.0,583.01746
703.0,703.0155
696.0,695.0476
544.0,617.2023
617.0,617.0395
750.0,750.0776
700.0,675.81995
358.0,357.97397
690.0,684.52924
674.0,674.05963
860.0000000000001,860.0841
694.0,694.05725
664.0,664.0594
539.0,539.03186
972.0,879.80615
718.0,700.69836
713.0,713.03186
419.99999999999994,420.00308
379.0,371.97986
361.0,361.0069
563.5,572.2808
661.0,661.04736
802.0000000000001,802.0761
567.0,567.0241
709.0,709.045
452.2,472.60294
432.8,432.80316
597.0,603.5261
704.0,704.0644
701.0,701.03564
731.0,731.0783
681.0,681.04205
642.0,642.0466
704.0,704.0672
731.0,731.0886
688.0,688.0475
630.0,630.02875
434.6,434.58768
654.0,654.05695
682.0,683.5617
559.0,559.0279
554.0,553.996
553.0,553.0218
634.0,634.0258
785.0,785.07605
706.0,704.1014
656.0,655.39844
659.0,659.08765
680.0,680.053
640.0,647.0143
602.0,602.05457
746.0,746.10455
360.0,360.00833
708.0,708.0559
1041.0,1031.0619
632.0,632.0324
548.0,548.01526
709.0,709.04236
532.0,532.0329
680.0,680.0585
530.0,530.0154
525.0,525.04156
733.0,733.1916
708.0,698.0164
691.0,691.04565
672.0,672.0605
732.0,732.041
683.0,683.05963
848.0,811.61426
720.0,710.37244
818.9999999999999,819.0601
573.0,573.038
606.0,606.0553
432.0,432.01376
848.0,848.051
677.0,677.0544
637.0,637.0206
654.0,655.39844
796.0,796.0831
534.0,534.04956
731.0,731.0542
664.0,664.0672
688.0,687.5355
650.0,650.0517
710.0,710.0385
630.0,630.0484
747.0,747.0538
801.0000000000001,801.05005
691.0,691.04913
883.0,883.08234
618.0,618.02313
738.0,742.0505
710.0,710.04694
730.0,730.0862
691.0,661.532
724.0,724.0491
781.0,781.1104
580.0,580.02484
785.0,784.4717
680.0,680.0341
716.0,716.1085
790.0,790.0645
709.0,709.02216
661.0,617.2023
883.0,883.06604
712.0,712.0788
710.0,719.0415
563.0,563.0291
527.0,526.93774
784.0,784.4717
774.0,783.5824
688.0,688.06055
514.0,514.0115
606.0,606.0193
443.0,443.01706
629.0,629.054
652.0,652.0509
688.0,688.0475
625.0,659.5635
699.0,699.0508
712.0,718.0955
688.0,688.04224
384.0,384.00552
675.0,675.81995
493.0,493.0136
740.0,740.1406
635.0,624.5331
612.0,612.0587
293.0,292.99396
708.0,698.0164
673.0,673.06805
500.00000000000006,500.03552
686.0,686.07837
646.0,617.2023
780.0,780.0624
558.0,582.5441
1026.0,1026.089
696.0,696.0804
641.0,641.0376
561.0,561.02454
643.0,643.0413
638.0,638.05493
633.0,633.05
689.0,689.0433
399.99999999999994,400.00623
670.0,670.0543
905.0,905.0697
664.0,659.06464
670.0,675.81995
692.0,725.09424
721.0,721.04645
640.0,640.03894
532.0,534.52454
733.0,733.06323
563.0,563.0572
678.0,678.04065
440.00000000000006,439.99664
678.0,678.0416
696.0,696.0347
681.0,681.0484
502.0,502.05423
554.0,554.0118
640.0,640.05084
720.0,720.0412
567.0,567.0261
694.0,694.0617
700.0,700.0655
667.0,667.0748
672.0,672.05865
1035.0,1043.6008
685.0,685.052
707.0,707.0591
568.0,568.0157
728.0,728.0624
686.0,686.0523
685.0,685.0414
730.0,730.06433
741.0,736.5343
922.0,922.06805
683.0,683.04517
687.0,687.5355
789.0,789.0943
676.0,676.06604
423.0,423.01154
533.0,533.2006
562.0,562.01434
670.0,670.04785
704.0,703.52936
483.99999999999994,484.01193
688.0,688.06055
774.0,774.06104
727.0,727.0709
633.0,633.0622
688.0,688.0475
804.0,804.0453
746.0,727.06256
524.0,524.0342
662.0,662.04767
696.0,695.0476
442.0,442.00595
574.0,574.0706
535.0,535.0225
706.0,706.0333
475.00000000000006,475.02838
698.0,698.0349
550.0,550.03076
758.0,758.0433
698.0,698.0623
373.0,373.00806
755.0,755.0659
391.0,390.99417
662.0,679.5473
685.0,685.0378
362.0,362.0334
716.0,716.0888
670.0,670.04004
731.0,731.0735
818.0,818.0551
782.0,772.7793
550.0,550.0135
412.0,411.99863
682.0,695.0729
553.0,552.99677
541.0,541.02277
616.0,615.9658
411.0,411.00766
672.0,672.32007
757.0,772.7793
673.0,673.07574
683.0,683.03595
571.0,571.027
433.8,433.79578
706.0,706.069
528.5,528.5803
660.0,660.03546
529.0,529.0941
717.0,717.06213
948.9999999999999,863.00586
656.0,655.39844
500.00000000000006,500.03183
606.0,606.0431
582.0,582.01416
580.0,580.0247
650.0,650.0568
658.0,658.0358
1046.0,1046.1753
731.0,730.9974
723.0,723.0448
700.0,715.07635
577.0,577.018
535.5,535.51666
557.0,557.0168
613.0,613.0392
529.0,529.0395
428.6,428.6057
510.00000000000006,510.0475
627.0,627.03986
770.0,770.05176
450.00000000000006,466.51102
891.0000000000001,891.0525
673.0,673.06024
643.0,643.0413
651.0,651.03894
600.0,600.0328
680.0,680.0525
505.00000000000006,505.09598
617.0,617.0376
720.0,720.04346
574.0,574.02405
769.0,769.0554
632.0,632.0243
732.0,732.0448
681.0,681.03876
618.0,597.0141
653.0,653.06903
706.0,706.0567
691.0,691.06915
558.0,558.0467
862.0,774.24347
711.0,711.0556
703.0,703.06067
649.0,662.0332
457.0,457.01663
366.0,366.01144
640.0,640.0304
652.0,640.9746
615.0,615.03046
688.0,688.0699
428.0,428.02206
622.0,622.05383
631.0,631.0315
548.0,548.0196
670.0,673.06494
733.0,733.104
713.0,720.71136
629.0,629.0629
683.0,700.69836
619.0,619.05676
652.0,640.9746
702.0,702.0417
805.0,805.0411
636.0,636.0261
423.6000000000001,423.5971
643.0,643.0413
695.0,695.0396
737.0,720.71136
634.0,633.04285
777.0,769.6163
735.0,681.728
713.0,713.0957
787.0,879.80615
663.0,663.03265
548.0,548.04315
716.0,716.07715
793.0,793.09674
409.99999999999994,404.97205
668.0,668.03735
1026.0,1026.0869
425.79999999999995,425.79926
686.0,686.09125
505.00000000000006,505.00107
478.99999999999994,479.00745
708.0,727.06256
710.0,709.9553
922.0,922.0385
639.0,639.027
393.0,393.0029
409.0,408.9971
789.0,789.04517
714.0,714.06635
723.0,723.0537
743.0,743.02795
654.0,654.051
435.00000000000006,435.0153
595.0,595.01385
695.0,695.0382
823.0,823.05817
500.00000000000006,500.0149
691.0,691.0284
785.0,785.0572
688.0,688.0395
740.0,740.0606
678.0,678.0494
1089.0,1035.081
778.0,778.20264
668.0,668.05
1052.0,1043.6008
554.0,554.01794
696.0,696.0643
710.0,709.40686
732.0,736.5343
765.0,765.03436
699.0,699.0416
678.0,673.0724
505.00000000000006,505.00107
733.0,733.05145
590.0,598.5674
355.0,354.986
597.0,597.03503
443.0,443.01108
677.0,677.0539
681.0,681.042
652.0,652.0297
693.0,693.066
607.0,607.0359
568.0,574.53345
543.0,543.00995
728.0,728.0509
473.0,472.99698
404.99999999999994,404.99277
726.0,726.0459
679.0,679.05914
721.0,721.04645
581.0,574.53345
728.0,728.02747
785.0,785.02185
512.0,512.08124
758.0,725.09424
670.0,670.041
691.0,691.0323
560.0,560.04395
551.0,573.54456
684.0,684.0749
658.0,675.81995
656.0,656.07477
567.0,552.9959
743.0,743.06964
651.0,651.14874
895.0,820.1769
815.0,815.0584
786.0,786.0346
705.0,705.0579
505.00000000000006,505.0448
560.0,560.0292
640.0,640.0304
691.0,691.04565
723.0,723.0448
688.0,704.1014
602.0,602.0184
645.0,645.04346
700.0,700.05695
680.0,680.0533
694.0,694.0696
981.0000000000001,1035.1157
782.0,782.0416
710.0,711.0205
765.0,765.0581
557.0,557.03253
478.0,478.00937
557.0,556.92194
417.0,417.0064
637.0,637.0281
541.0,541.0322
587.0,587.0241
783.0,782.92267
692.0,692.04065
689.0,689.0361
650.0,650.04443
691.0,691.0284
738.0,738.06384
777.0,777.06244
541.0,541.1637
493.0,472.60294
500.00000000000006,500.02972
561.0,561.01764
673.0,673.0515
748.0,748.0449
666.0,666.06647
530.0,530.0175
628.0,628.0478
597.0,589.0479
712.0,712.05365
688.0,688.11273
569.0,569.02106
707.0,707.06134
829.9999999999999,830.05554
712.0,712.05096
700.0,700.02203
706.0,706.0435
539.0,552.9959
784.0,784.20996
721.0,718.0955
553.0,553.00195
694.0,694.04083
781.0,781.066
795.0,795.0622
721.0,720.944
641.0,641.0899
735.0,735.08636
557.0,557.0269
730.0,774.24347
403.0,404.97205
778.0,863.00586
403.0,404.97205
492.0,492.01593
503.99999999999994,504.01196
617.0,617.0505
745.0,820.1769
409.99999999999994,410.00323
715.0,715.0434
568.0,568.04584
605.0,605.05853
705.0,705.0467
570.0,570.03235
712.0,712.0806
746.0,746.0823
365.0,364.99396
666.0,666.046
532.0,532.0433
676.0,676.06604
754.0,754.06476
685.0,683.5617
732.0,732.0677
794.0,794.0911
657.0,657.0452
687.0,687.0536
677.0,692.5846
653.0,653.06
674.0,674.05145
981.0000000000001,1035.081
344.0,344.00626
785.0,785.0637
683.0,683.05334
625.0,625.05115
785.0,785.0845
350.0,378.99765
811.0000000000001,811.1045
501.0,501.01736
706.0,706.069
565.0,565.0061
553.0,553.059
684.0,684.0647
698.0,698.04205
477.0,476.992
677.0,677.0772
736.0,736.06244
621.0,621.06177
428.0,428.01035
522.0,522.12573
569.0,569.02423
408.0,378.99765
679.0,684.52924
566.0,566.0022
512.0,512.0244
468.0,468.00345
418.0,418.00345
731.0,731.0783
802.0000000000001,802.05396
684.0,684.02985
1089.0,1035.1157
730.0,715.07635
567.0,567.0077
682.0,682.0268
689.0,689.0638
390.0,390.00937
793.0,783.5824
765.0,765.05914
510.00000000000006,510.0203
370.0,369.99493
694.0,694.04083
404.99999999999994,405.02817
530.0,530.0313
409.0,409.0065
684.0,684.0493
704.0,704.1014
681.0,681.0304
761.0,761.0733
683.0,700.5806
546.0,546.01605
691.0,691.06323
754.0,754.0717
762.0,762.07263
563.0,563.02185
675.0,681.728
678.0,678.0352
537.0,534.52454
682.0,682.0435
433.0,432.9852
355.0,355.00653
683.0,683.0668
590.0,590.04395
691.0,691.0284
679.0,685.56415
634.0,634.05725
797.0,797.09247
576.0,576.06055
675.0,675.05817
478.99999999999994,479.01788
818.0,818.0817
668.0,668.0707
505.00000000000006,505.0391
708.0,708.0703
630.0,640.9746
502.0,502.04776
594.0,594.02966
698.0,698.0707
698.0,698.05975
634.0,634.0286
782.0,782.0637
723.0,723.0448
680.0,680.04443
558.0,558.03125
668.0,673.0724
607.0,582.5441
668.0,668.05585
744.0,744.0324
694.0,659.5635
666.0,666.046
775.0,811.61426
835.0,835.04785
621.0,621.0364
597.0,597.0168
679.0,679.0608
731.0,731.0735
660.0,660.0455
719.0,719.0787
750.0,750.1046
402.0,401.99954
497.5,497.4971
683.0,682.9975
762.0,769.56165
718.0,700.5919
596.0,595.9902
761.0,759.7159
700.0,699.982
505.00000000000006,504.9973
782.0,781.97955
783.0,783.0032
434.0,434.01025
646.0,645.97894
597.0,608.99963
635.0,634.9952
694.0,693.99475
665.0,665.00226
498.99999999999994,498.99997
448.0,448.0
689.0,688.98615
682.0,681.9849
729.0,728.9767
723.0,722.98096
614.0,624.4668
759.0,773.48145
712.0,712.0086
549.0,548.99097
735.0,734.9951
703.0,702.9867
1021.0,1030.947
667.0,666.99164
567.0,566.9965
432.0,431.9947
528.0,527.98236
617.0,610.4869
493.0,492.9909
664.0,675.98804
567.0,566.9901
399.99999999999994,399.99792
678.0,678.0036
675.0,661.9991
549.0,549.00934
693.0,692.98834
669.0,681.98737
697.0,696.99365
694.0,695.00214
573.0,572.99866
681.0,680.9688
684.0,683.9953
897.9999999999999,897.9721
675.0,674.9546
572.0,571.987
699.0,698.9862
334.0,334.0019
775.0,774.9795
674.0,673.97687
606.0,605.9892
685.0,684.96246
711.0,710.9622
606.0,606.006
699.0,698.9928
430.00000000000006,430.00198
553.0,552.99475
681.0,680.99176
680.0,679.9719
700.0,699.9712
565.0,564.98846
698.0,697.99524
684.0,683.9789
