Real lambda,Predicted lambda
737.0,742.4766
700.0,699.9964
505.00000000000006,504.9658
695.0,694.61365
641.0,567.94293
703.0,703.3808
691.0,687.3327
657.0,608.3839
759.0,767.71796
685.0,686.70154
457.0,448.37723
399.99999999999994,401.57535
433.0,435.95273
704.0,665.56
536.0,533.048
683.0,687.86053
691.0,690.86456
721.0,720.8348
730.0,710.51636
672.0,654.02905
708.0,703.9696
681.0,678.5408
703.0,701.71594
534.0,535.3127
543.0,592.311
477.0,483.77768
740.0,739.9182
718.0,700.7985
818.0,729.7275
848.0,763.77637
651.0,656.6359
611.0,594.7453
432.0,434.16446
778.0,767.2854
723.0,722.9382
758.0,704.7717
620.0,608.8431
654.0,619.85767
578.0,692.9294
365.0,370.0487
732.0,731.8452
628.0,658.6818
668.0,676.0876
561.0,594.0064
621.0,607.82056
612.0,682.8535
524.0,565.20636
762.0,718.8273
565.0,539.4187
532.0,549.9877
680.0,687.6118
505.00000000000006,536.185
744.0,743.2801
779.0,686.86066
671.0,674.60645
710.0,692.83734
362.0,360.32605
691.0,690.86456
1039.0,1007.9241
860.0000000000001,861.2177
686.0,680.11456
692.0,688.7193
1026.0,857.5571
722.0,719.99866
532.5,532.18567
505.00000000000006,535.74695
675.0,668.5404
688.0,675.136
710.0,705.45074
681.0,601.8585
725.0,698.6861
658.0,697.00824
524.0,555.8909
498.99999999999994,503.34265
571.0,531.65173
819.9999999999999,823.0132
677.0,702.63855
681.0,671.3256
428.6,435.26102
634.0,630.7632
698.0,698.6096
358.0,360.72153
731.0,730.97705
671.0,576.4925
622.0,647.06213
700.0,688.15796
815.0,802.3838
797.0,728.3908
680.0,659.3048
708.0,707.84705
649.0,680.09985
781.0,784.2818
652.0,651.90784
696.0,687.64844
686.0,703.8459
656.0,681.7633
883.0,773.15594
708.0,707.84705
411.0,421.22214
293.0,359.40338
720.0,707.63416
680.0,679.8351
515.0,536.5891
560.0,575.0369
576.0,593.82056
726.0,696.71
712.0,712.7206
710.0,712.22925
697.0,695.9285
355.0,387.4077
685.0,688.3849
883.0,741.1923
610.0,620.07526
699.0,679.8432
674.0,674.1081
587.0,599.932
502.0,498.53192
437.0,430.71762
692.0,733.97626
775.0,782.4256
680.0,679.30664
678.0,690.9962
681.0,677.7635
712.0,705.3573
417.0,428.69754
404.99999999999994,406.0805
721.0,717.91565
656.0,655.6431
683.0,681.00586
562.0,562.5116
448.99999999999994,444.48428
789.0,776.0425
625.0,691.0128
586.0,574.73474
798.0,762.879
708.0,715.9799
548.0,531.9413
720.0,716.441
409.99999999999994,412.60248
658.0,573.0128
668.0,666.065
691.0,690.871
674.0,686.5715
558.0,558.6781
625.0,617.3139
701.0,694.71735
686.0,681.4128
668.0,633.6298
597.0,609.22504
738.0,733.2638
360.0,360.65106
777.0,791.72217
780.0,747.69855
