Real lambda,Predicted lambda
408.0,407.727
710.0,709.9827
688.0,688.0332
532.0,532.28937
697.0,696.87085
614.0,614.64667
576.0,576.6695
355.0,355.50955
695.0,695.10095
731.0,730.5148
712.0,711.8962
391.0,391.15787
617.0,617.1143
764.0,764.08594
553.0,552.78314
553.0,552.9225
541.0,541.97595
409.99999999999994,410.0932
468.0,467.89578
723.0,722.7417
395.0,395.2342
632.0,631.4973
382.0,382.29187
366.0,366.16412
635.0,634.96893
685.0,684.84064
443.0,443.49838
710.0,710.0402
883.0,882.0176
634.0,633.7985
535.5,535.5799
344.0,343.80493
594.0,594.0535
535.0,535.1242
501.0,501.17075
689.0,688.91223
699.0,699.1196
403.0,402.7566
651.0,651.1316
687.0,687.5579
630.0,630.2395
694.0,693.64325
706.0,706.1394
662.0,662.19226
530.0,530.3728
498.0,497.92734
656.0,655.8031
610.0,609.76575
782.0,781.9288
775.0,775.1628
576.0,576.2362
629.0,629.1838
699.0,698.8604
804.0,803.8593
688.0,687.67377
692.0,692.31836
548.0,547.2631
674.0,674.08093
712.0,718.65216
606.0,606.4797
726.0,725.5896
557.0,556.6693
436.0,435.0479
634.0,633.95337
582.0,581.8754
691.0,690.8569
577.0,577.0462
721.0,718.65216
645.0,644.91656
676.0,676.20294
777.0,777.2109
733.0,732.8953
505.00000000000006,504.89673
737.0,737.1345
911.0000000000001,911.57245
731.0,730.7616
682.0,682.5126
745.0,745.319
560.0,559.9254
754.0,754.01013
606.0,606.0834
854.0,854.006
678.0,678.3424
715.0,715.0438
862.0,862.1972
679.0,678.80896
617.0,617.161
708.0,708.0145
700.0,700.02234
587.0,586.821
497.5,499.0238
493.0,492.21613
690.0,690.2211
567.0,566.3601
530.0,530.2579
419.99999999999994,420.01495
682.0,681.8575
432.0,432.69788
636.0,637.4625
588.0,587.6017
708.0,707.5409
548.0,547.78705
740.0,739.9182
622.0,622.7039
698.0,697.94226
604.0,603.8172
550.0,550.0852
662.0,661.8968
670.0,669.9758
613.0,613.1246
689.0,689.03394
694.0,693.9646
390.0,391.06595
539.0,539.32306
733.0,733.01355
703.0,702.76807
755.0,754.99243
714.0,713.93365
693.0,692.96155
529.0,529.0654
590.0,590.84576
763.0,763.3286
381.0,380.6983
558.0,558.37585
829.9999999999999,829.6985
688.0,688.00305
682.0,682.4744
703.0,702.96814
440.00000000000006,439.0256
483.99999999999994,483.69257
661.0,660.91644
450.00000000000006,450.09744
590.0,589.22644
649.0,649.0406
360.0,360.15515
746.0,745.91156
522.0,521.76447
433.8,434.06076
629.0,629.043
728.0,727.77484
704.0,703.8201
693.0,693.1171
607.0,606.66833
738.0,737.7325
634.0,633.7985
418.0,418.26245
432.0,432.9068
848.0,847.8232
670.0,670.2266
835.0,835.4136
468.0,468.53857
653.0,653.20874
723.0,723.25323
713.0,713.06976
685.0,685.35266
668.0,667.79083
360.0,359.71725
637.0,637.1813
548.0,548.4581
673.0,673.11005
635.0,635.2785
637.0,637.06964
334.0,334.53647
694.0,693.79694
801.0000000000001,801.2339
738.0,737.62836
684.0,684.08405
587.0,587.62897
708.0,707.84705
456.0,456.02405
646.0,645.7073
668.0,667.9515
723.0,722.879
666.0,666.3358
707.0,706.6213
742.0,741.7575
742.0,741.7575
502.0,501.51547
717.0,717.0786
694.0,693.99475
818.0,817.7083
699.0,699.1366
639.0,639.10736
550.0,550.2226
698.0,698.2104
765.0,764.32056
617.0,616.97046
562.0,562.234
748.0,748.0785
553.0,554.4214
605.0,604.81586
530.0,529.8669
437.0,437.06485
568.5,567.84515
733.0,733.178
684.0,683.75543
421.4,421.92264
732.0,732.11475
1035.0,1035.1301
699.0,698.4647
797.0,797.01654
563.0,563.22437
451.0,450.78522
431.2,430.45615
706.0,705.7935
689.0,688.9047
580.0,579.81116
735.0,734.669
527.0,526.96704
692.0,691.9748
675.0,675.24695
570.0,570.1744
867.0,866.65356
618.0,618.2082
696.0,695.8166
754.0,753.37714
888.0,887.8949
775.0,775.2716
560.0,559.35376
532.0,531.9193
640.0,639.9949
793.0,792.46436
580.0,580.9012
681.0,681.15076
700.0,699.7602
798.9999999999999,798.7003
680.0,679.97986
785.0,784.71844
678.0,678.1802
681.0,681.2383
712.0,711.89056
650.0,650.0455
688.0,687.9817
736.0,735.80853
536.0,536.33185
515.0,514.7346
551.0,550.7059
796.0,796.56213
668.0,668.019
569.0,569.2199
505.00000000000006,505.97733
686.0,685.8174
528.0,528.1319
530.0,529.94293
514.0,513.7264
567.0,567.26733
490.00000000000006,490.25928
745.0,744.6007
721.0,720.8348
732.0,731.8452
510.00000000000006,510.4268
417.0,417.03415
688.0,687.86993
675.0,675.3169
668.0,668.3677
404.99999999999994,404.8929
972.0,971.9021
685.0,685.0661
695.0,695.3671
634.0,633.76666
428.0,429.4259
654.0,654.0775
823.0,823.16187
566.0,566.13794
532.0,531.9939
747.0,746.9184
529.0,529.1306
645.0,645.50525
721.0,718.65216
656.0,656.2318
526.0,526.5451
699.0,699.1862
897.9999999999999,897.76996
683.0,682.85736
787.0,786.107
789.0,788.34143
443.0,443.22586
619.0,619.42163
543.0,543.12305
500.00000000000006,500.29095
561.0,560.9791
684.0,683.89435
1052.0,1050.9781
562.0,562.3506
581.0,580.9593
423.6000000000001,423.5711
688.0,688.0495
683.0,683.0977
705.0,704.85406
530.0,530.3329
826.0,826.16626
660.0,660.20306
694.0,694.07666
706.0,705.93835
553.0,553.01746
1041.0,1040.6812
731.0,731.08704
409.0,408.80786
705.0,704.8657
422.0,422.41806
981.0000000000001,981.1806
646.0,646.3716
597.0,597.015
428.0,427.94843
563.0,561.7096
636.0,635.43805
673.0,673.23584
602.0,602.37164
696.0,695.8166
667.0,666.94867
728.0,727.6953
700.0,699.9964
483.0,482.35242
774.0,773.72156
709.0,708.9474
557.0,558.4829
688.0,688.0176
664.0,664.26776
635.0,635.293
570.0,570.16394
680.0,679.99054
485.00000000000006,484.3144
724.0,723.0976
631.0,631.075
573.0,572.7596
492.0,491.98923
448.0,447.1139
720.0,719.6562
724.0,724.1964
604.0,604.048
590.0,591.16345
682.0,682.1893
680.0,679.95624
895.0,894.43164
563.0,562.30743
584.0,584.4537
590.0,590.1354
716.0,715.8116
780.0,780.24567
905.0,904.8187
544.0,544.00714
600.0,599.87384
567.0,566.7982
403.0,403.2734
731.0,730.97705
727.0,726.94965
678.0,678.0138
664.0,664.0113
662.0,662.0528
710.0,709.9379
672.0,672.1119
721.0,718.65216
641.0,640.9437
761.0,760.8482
922.0,921.16516
683.0,683.27563
680.0,679.95856
448.99999999999994,448.8594
704.0,703.8071
547.0,547.70386
412.0,412.04965
663.0,663.0087
617.0,616.9837
684.0,684.0756
678.0,678.2221
688.0,688.06445
848.0,846.7574
789.0,788.4121
1046.0,1044.2656
688.0,688.3273
549.0,549.2981
370.0,369.6532
779.0,778.8095
625.0,625.52484
643.0,643.1248
419.0,418.98904
371.0,370.97742
682.0,682.0628
730.0,729.615
688.0,687.9388
512.0,512.09485
715.0,715.0438
769.0,768.5708
741.0,740.9133
360.0,360.56104
786.0,785.8311
606.0,605.97375
641.0,640.8405
586.0,586.0808
730.0,730.1158
981.0000000000001,980.98425
596.0,596.0416
720.0,719.76404
666.0,665.9928
650.0,650.1172
674.0,673.56146
1021.0,1021.04736
699.0,698.5557
512.0,512.6171
745.0,744.6843
595.5,595.41345
694.0,693.91473
594.0,594.46796
539.0,539.75946
798.0,797.9238
500.00000000000006,499.93118
688.0,687.94385
679.0,679.05554
708.0,708.28235
548.0,547.1762
408.0,408.1119
718.0,717.6239
747.0,746.93933
633.0,633.3428
436.0,436.09686
574.0,572.8152
714.0,714.1958
676.0,676.1189
702.0,701.8561
554.0,554.2989
536.0,535.4875
666.0,666.1297
630.0,630.10504
632.0,632.4475
689.0,688.9823
720.0,719.86945
670.0,669.895
731.0,730.8207
765.0,764.7917
409.99999999999994,410.11197
552.0,551.73486
774.0,774.18195
541.0,541.69495
686.0,686.0358
643.0,643.101
700.0,700.1368
681.0,681.2316
597.0,596.6353
658.0,657.8897
668.0,667.39575
500.00000000000006,499.6222
445.00000000000006,445.08908
700.0,700.25256
704.0,703.90247
793.0,792.2869
574.0,574.2038
694.0,693.8455
691.0,690.86456
691.0,690.6463
698.0,697.88885
728.0,727.9344
703.0,702.84625
627.0,627.17615
607.5,606.76556
588.0,588.13684
674.0,674.2303
593.0,593.6089
713.0,712.8503
550.0,550.2627
