label,molecule
597.0,CC1=C2N([B-](F)(F)[N+]3=C(C)C=C(C)C3=C2C4=CC=CC=C4)C(/C=C/C5=CC=C(N(C)C)C=C5)=C1
730.0,F[B-]1(F)[N+]2=C(/C=C/C=C3C(C)(C)C(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16
745.0,F[B-]1(F)[N+]2=C(/C=C/C=C3SC(C=CC=C4)=C4N\3CC)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16
778.0,F[B-]1(F)[N+]2=C(/C=C/C=C3C=CC(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16
739.0,F[B-]1(F)[N+]2=C(/C=C/C=C3C(C)(C)C(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16
758.0,F[B-]1(F)[N+]2=C(/C=C/C=C3SC(C=CC=C4)=C4N\3CC)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16
787.0,F[B-]1(F)[N+]2=C(/C=C/C=C3C=CC(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16
755.0,F[B-]1(F)[N+]2=C(/C=C/C3=CC=C(N(C)C)C=C3)C(C(OCC)=O)=C(C4=CC=CC=C4)C2=CC5=C(C6=CC=CC=C6)C(C(OCC)=O)=C(/C=C/C7=CC=C(N(C)C)C=C7)N15
862.0,F[B-]1(F)[N+]2=C(/C=C/C=C3C(C)(C)C(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C/8(C)C)N16
895.0,F[B-]1(F)[N+]2=C(/C=C/C=C3SC(C=CC=C4)=C4N\3CC)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(CC)C(C=CC=C9)=C9S/8)N16
949.0,F[B-]1(F)[N+]2=C(/C=C/C=C3C=CC(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C=C/8)N16
888.0,F[B-]1(F)[N+]2=C(/C=C/C=C3C(C)(C)C(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C/8(C)C)N16
922.0,F[B-]1(F)[N+]2=C(/C=C/C=C3SC(C=CC=C4)=C4N\3CC)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(CC)C(C=CC=C9)=C9S/8)N16
972.0,F[B-]1(F)[N+]2=C(/C=C/C=C3C=CC(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C=C/8)N16
590.0,CC1=C(CC)C(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O
606.0,CC1=C(CC)C(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O
606.0,CC1=CC(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O
594.0,CC1=CC(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O
608.0,CC1=CC(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O
732.0,F[B-]([N+]1=C(C2=CC(C=CC=C3)=C3OC2CC4)C4=C(C5=CC=CC=C5)C1=C6)(F)N7C6=C(C8=CC=CC=C8)C9=C7C%10=CC%11=C(C=CC=C%11)OC%10CC9
562.0,CC(C(C=CC=C1)=C1N/2C)(C)C2=C\C=C\C(C3=CC=C(C4=CC=CC=C4)N3[B-]5(F)F)=C6[N+]5=C(C7=CC=CC=C7)C=C6
558.0,CN1C2=C(C=CC=C2)S/C1=C/C=C/C(C3=CC=C(C4=CC=CC=C4)N3[B-]5(F)F)=C6[N+]5=C(C7=CC=CC=C7)C=C6
679.0,F[B-]([N+]1=C(C2=CC=CC=C2)C=CC1=C3/C=C/C=C4CC=C(C=CC=C5)C5N/4C)(F)N6C3=CC=C6C7=CC=CC=C7
727.0,F[B-]([N+]1=C(C2=CC=C(CC)S2)C(C=C(OC)C=C3)=C3C1=C4)(F)N5C4=C(C=CC(OC)=C6)C6=C5C7=CC=C(CC)S7
730.0,F[B-]([N+]1=C(C)C(C(OCC)=O)=C(C2=CC=CC=C2)C1=C3)(F)N4C3=C(C5=CC=CC=C5)C(C(OCC)=O)=C4/C=C/C=C6C(C)(C)C(C=CC=C7)=C7N\6C
745.0,F[B-]([N+]1=C(C)C(C(OCC)=O)=C(C2=CC=CC=C2)C1=C3)(F)N4C3=C(C5=CC=CC=C5)C(C(OCC)=O)=C4/C=C/C=C6SC(C=CC=C7)=C7N\6CC
680.0,F[B-]([N+]1=C(/C=C/C2=CC=C(OCC(OCC)=O)C=C2)C=C(C)C1=C3)(F)N4C3=C(C=CC=C5)C5=C4C6=C(C)C=C(C)N6
676.0,F[B-]([N+]1=C(/C=C/C2=CC=C(OCC(OCC)=O)C=C2)C=C(C)C1=C3/C=C/C4=CC=C(OCC(OCC)=O)C=C4)(F)N5C3=C(C=CC=C6)C6=C5C7=C(C)C=C(C)N7
731.0,F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)S6
723.0,F[B-]([N+]1=C(C(NC=C2C(C)C)=C2C3=C4C=CC=C3)C4=C(C(C)C)C1=C5)(F)N6C5=C(C(C)C)C7=C6C8=C(C(C(C)C)=CN8)C9=C7C=CC=C9
729.0,F[B-]([N+]1=C(C(NC=C2C(C)C)=C2C3=C4C=CC=C3)C4=C(C(C)C)C1=C5)(F)N6C5=C(C(C)C)C7=C6C8=C(C(C(C)C)=CN8)C9=C7C=CC=C9
758.0,F[B-]([N+]1=CC(C=C(C(CC2=C(CC)C(CC)=C(C)N2[B-]3(F)F)[N+]3=C4C)C4=C5)=C5C1=C6)(F)N7C6=C(CC)C(CC)=C7C
692.0,CC1=C2C(C=C(C3=CC4=C(CC)C(CC)=C(C)N4[B-](F)(F)[N+]3=C5)C5=C2)=C6N1[B-](F)(F)[N+]7=C(C)C(CC)=C(CC)C7=C6
848.0,F[B-]([N+]1=CC(C=C(C(CC2=C(C=CC=C3)C3=C(C)N2[B-]4(F)F)[N+]4=C5C)C5=C6)=C6C1=C7)(F)N8C7=C(C=CC=C9)C9=C8C
775.0,CC1=C2C(C=C(C3=CC4=C(C=CC=C5)C5=C(C)N4[B-](F)(F)[N+]3=C6)C6=C2)=C7N1[B-](F)(F)[N+]8=C(C)C(C=CC=C9)=C9C8=C7
688.0,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C=C5C7=CC=C(OC)C=C7
710.0,F[B-]([N+]1=C(C2=CC=CS2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C=C5C7=CC=CS7
733.0,F[B-]([N+]1=C(C2=CC=CS2)C=C(C3=CC=CS3)C1=N4)(F)N5C4=C(C6=CC=CS6)C=C5C7=CC=CS7
740.0,F[B-]([N+]1=C(C2=CC=C(C#CC3=CC=C(N(C(CCCCC)=O)C(CCCCC)=O)C=C3)C=C2)C=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C=C6C8=CC=C(C#CC9=CC=C(N(C(CCCCC)=O)C(CCCCC)=O)C=C9)C=C8
740.0,F[B-]([N+]1=C(C2=CC=C(OC)C=C2CC3)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8
723.0,F[B-]([N+]1=C(C2=CC=CC=C2CC3)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8
706.0,F[B-]([N+]1=C(C2=CC=CC=C2SC3)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=CC=C9)SC8
708.0,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C7=C5C8=C(C=C(OC)C=C8)CC7
715.0,F[B-]([N+]1=C(C=CC2=C3C=CC=C2)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8
721.0,F[B-]([N+]1=C(C2=CC=C(OC)C=C2CC3)C3=C(CCC4=CC=CC=C4)C1=N5)(F)N6C5=C(CCC7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8
728.0,C12=C(C3=CC=CC=C3)C=C(C(C=CC=C4)=C4O5)N1[B-]5(OC6=C7C=CC=C6)[N+]8=C7C=C(C9=CC=CC=C9)C8=N2
762.0,CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC=CN7C)N5[B-]3(F)F)=CC=C1
774.0,CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC=CN7C)N5[B-]3(C#N)F)=CC=C1
689.0,CN1C2=C(C=CC=C2)C=C1C(C3=C/4C=CC=C3)=NC4=N/C5=C6C(C=CC=C6)=C(C7=CC8=C(C=CC=C8)N7C)N5
777.0,CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC8=C(C=CC=C8)N7C)N5[B-]3(F)F)=CC9=C1C=CC=C9
793.0,CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC8=C(C=CC=C8)N7C)N5[B-]3(C#N)F)=CC9=C1C=CC=C9
