label,solvent
597.0,CC#N
730.0,ClCCl
745.0,ClCCl
778.0,ClCCl
739.0,[H]C(N(C)C)=O
758.0,[H]C(N(C)C)=O
787.0,[H]C(N(C)C)=O
755.0,ClCCl
862.0,ClCCl
895.0,ClCCl
949.0,ClCCl
888.0,[H]C(N(C)C)=O
922.0,[H]C(N(C)C)=O
972.0,[H]C(N(C)C)=O
590.0,CO
606.0,[H]C(N(C)C)=O
606.0,ClCCl
594.0,CO
608.0,[H]C(N(C)C)=O
732.0,ClC(Cl)Cl
562.0,ClCCl
558.0,ClCCl
679.0,ClCCl
727.0,ClCCl
730.0,ClCCl
745.0,ClCCl
680.0,ClCCl
676.0,ClCCl
731.0,ClC(Cl)Cl
723.0,CCCCCC
729.0,CS(C)=O
758.0,ClCCl
692.0,ClCCl
848.0,ClCCl
775.0,ClCCl
688.0,ClC(Cl)Cl
710.0,CC#N
733.0,CC#N
740.0,CC1=CC=CC=C1
740.0,ClC(Cl)Cl
723.0,ClC(Cl)Cl
706.0,ClC(Cl)Cl
708.0,ClC(Cl)Cl
715.0,ClC(Cl)Cl
721.0,ClC(Cl)Cl
728.0,CC1=CC=CC=C1
762.0,ClCCl
774.0,ClCCl
689.0,ClCCl
777.0,ClCCl
793.0,ClCCl
723.0,ClCCl
793.0,ClCCl
708.0,CCO
666.0,CCO
709.0,CCO
631.0,CCO
602.0,O
726.0,CCO
698.0,O
662.0,O
677.0,CCO
664.0,O
714.0,CCO
697.0,O
703.0,ClCCl
696.0,CC#N
695.0,C1CCCO1
716.0,CS(C)=O
698.0,CCO
724.0,O
695.0,[H]C(N(C)C)=O
697.0,CC1=CC=CC=C1
670.0,CS(C)=O
662.0,CC(C)=O
678.0,CS(C)=O
691.0,ClCCl
553.0,ClCCl
626.0,ClCCl
674.0,C1CCCO1
698.0,CC1=CC=CC=C1
682.0,CC1=CC=CC=C1
740.0,CC1=CC=CC=C1
730.0,CC1=CC=CC=C1
723.0,ClC(Cl)Cl
690.0,ClC(Cl)Cl
694.0,ClCCl
677.0,ClC(Cl)Cl
698.0,ClCCl
688.0,ClCCl
709.0,ClCCl
731.0,ClCCl
738.0,ClCCl
628.0,ClC(Cl)Cl
622.0,ClC(Cl)Cl
699.0,CC1=CC=CC=C1
726.0,CC1=CC=CC=C1
606.0,ClCCl
704.0,CS(C)=O
705.0,O
677.0,ClCCl
754.0,ClCCl
722.0,C1CCCO1
730.0,C1CCCO1
738.0,ClC(Cl)Cl
732.0,C1CCCO1
717.0,C1CCCO1
746.0,ClC(Cl)Cl
741.0,C1CCCO1
766.0,ClC(Cl)Cl
686.0,ClCCl
704.0,ClCCl
731.0,ClCCl
746.0,ClCCl
708.0,ClCCl
746.0,ClCCl
761.0,C1CCCO1
765.0,C1=CC=CC=C1
762.0,ClCCl
738.0,C1CCCO1
830.0,C1CCCO1
688.0,ClC(Cl)Cl
699.0,ClC(Cl)Cl
688.0,ClC(Cl)Cl
688.0,C1CCCO1
698.0,ClCCl
673.0,CC#N
679.0,C1CCCO1
684.0,ClCCl
684.0,ClC(Cl)Cl
690.0,ClC(Cl)Cl
707.0,ClC(Cl)Cl
732.0,ClC(Cl)Cl
754.0,ClC(Cl)Cl
789.0,ClC(Cl)Cl
747.0,ClC(Cl)Cl
733.0,ClC(Cl)Cl
699.0,ClC(Cl)Cl
693.0,CC1=CC=CC=C1
709.0,ClCCl
731.0,ClCCl
738.0,ClCCl
716.0,CC1=CC=CC=C1
714.0,ClCCl
716.0,ClC(Cl)Cl
712.0,C1CCCO1
674.0,CC1=CC=CC=C1
668.0,ClCCl
670.0,C1CCCO1
735.0,CC1=CC=CC=C1
733.0,ClCCl
733.0,ClC(Cl)Cl
731.0,C1CCCO1
712.0,CC1=CC=CC=C1
712.0,ClCCl
711.0,ClC(Cl)Cl
713.0,C1CCCO1
750.0,CC1=CC=CC=C1
752.0,ClCCl
750.0,ClC(Cl)Cl
748.0,C1CCCO1
654.0,ClCCl
659.0,ClCCl
681.0,ClCCl
574.0,ClCCl
568.0,ClCCl
632.0,CC1CCCO1
691.0,CC1CCCO1
688.0,ClCCl
708.0,C1COCCO1
700.0,C1COCCO1
671.0,CC#N
683.0,CC#N
732.0,ClC(Cl)Cl
723.0,ClC(Cl)Cl
731.0,ClC(Cl)Cl
727.0,ClC(Cl)Cl
673.0,ClCCl
727.0,ClCCl
693.0,CC#N
711.0,ClCCl
680.0,ClCCl
676.0,ClCCl
688.0,ClC(Cl)Cl
799.0,ClC(Cl)Cl
718.0,ClCCl
683.0,ClCCl
742.0,ClCCl
708.0,ClC(Cl)Cl
740.0,ClC(Cl)Cl
706.0,ClC(Cl)Cl
723.0,ClC(Cl)Cl
715.0,ClC(Cl)Cl
765.0,ClC(Cl)Cl
712.0,ClCCl
713.0,ClCCl
794.0,ClCCl
793.0,ClCCl
737.0,ClCCl
685.0,C1CCCO1
754.0,ClC(Cl)Cl
819.0,ClC(Cl)Cl
692.0,ClC(Cl)Cl
758.0,ClC(Cl)Cl
775.0,ClC(Cl)Cl
848.0,ClC(Cl)Cl
649.0,ClCCl
743.0,ClCCl
688.0,ClCCl
679.0,ClCCl
706.0,ClCCl
704.0,ClCCl
692.0,ClCCl
718.0,ClCCl
667.0,ClCCl
745.0,ClC(Cl)Cl
682.0,C1=CC=CC=C1
685.0,C1=CC=CC=C1
688.0,ClC(Cl)Cl
678.0,CS(C)=O
740.0,ClC(Cl)Cl
736.0,ClC(Cl)Cl
721.0,ClC(Cl)Cl
706.0,ClC(Cl)Cl
723.0,ClC(Cl)Cl
688.0,ClC(Cl)Cl
678.0,ClC(Cl)Cl
681.0,ClC(Cl)Cl
707.0,ClC(Cl)Cl
774.0,ClC(Cl)Cl
796.0,ClC(Cl)Cl
759.0,ClC(Cl)Cl
789.0,ClC(Cl)Cl
757.0,ClC(Cl)Cl
759.0,ClC(Cl)Cl
782.0,ClC(Cl)Cl
735.0,ClCCl
760.0,CC1=CC=CC=C1
640.0,CO
700.0,C1CCCO1
750.0,C1CCCO1
790.0,C1CCCO1
680.0,ClCCl
675.0,ClCCl
676.0,ClCCl
725.0,ClCCl
705.0,CC#N
653.0,CC#N
649.0,CC#N
672.0,ClCCl
689.0,ClCCl
708.0,ClCCl
703.0,ClCCl
689.0,CO
694.0,C1CCCO1
708.0,CC1=CC=CC=C1
682.0,CC1=CC=CC=C1
708.0,CC1=CC=CC=C1
677.0,CC1=CC=CC=C1
891.0,CCCCCC
867.0,CC1=CC=CC=C1
848.0,C1CCCO1
826.0,ClCCl
830.0,CO
891.0,CCCCCC
860.0,C1CCCO1
835.0,ClCCl
843.0,CO
680.0,CS(C)=O
664.0,CS(C)=O
675.0,CS(C)=O
676.0,CS(C)=O
681.0,C1CCCO1
797.0,C1CCCO1
675.0,C1CCCO1
789.0,C1CCCO1
769.0,C1CCCO1
730.0,ClCCl
731.0,[H]C(N(C)C)=O
672.0,ClCCl
664.0,CC1=CC=CC=C1
654.0,CC1=CC=CC=C1
719.0,CC1=CC=CC=C1
702.0,ClC(Cl)Cl
681.0,ClC(Cl)Cl
684.0,ClC(Cl)Cl
651.0,O
668.0,O
672.0,O
668.0,ClCCl
617.0,CS(C)=O
544.0,ClCCl
606.0,ClCCl
666.0,CS(C)=O
525.0,CCO
629.0,CC1=CC=CC=C1
576.0,CC1=CC=CC=C1
532.0,CC1=CC=CC=C1
526.0,CC1=CC=CC=C1
530.0,ClCCl
530.0,CO
668.0,ClC(Cl)Cl
640.0,ClCCl
658.0,ClCCl
619.0,CS(C)=O
666.0,CS(C)=O
661.0,ClCCl
646.0,ClCCl
625.0,C1CCCO1
670.0,CS(C)=O
502.0,CO
534.0,CO
548.5,CCCCCC
563.5,CCCCCC
581.0,CCCCCC
618.0,CC1=CC=CC=C1
516.0,ClCCl
504.0,CO
548.0,CC1=CC=CC=C1
632.0,ClCCl
576.0,ClCCl
576.0,[H]C(N(C)C)=O
633.0,[H]C(N(C)C)=O
510.0,CC1=CC=CC=C1
548.0,[H]C(N(C)C)=O
632.0,CC1=CC=CC=C1
558.0,ClC(Cl)Cl
573.0,CCO
622.0,ClCCl
637.0,ClC(Cl)Cl
634.0,ClC(Cl)Cl
658.0,ClC(Cl)Cl
619.0,ClC(Cl)Cl
633.0,CC#N
605.0,CO
641.0,ClCCl
633.0,ClCCl
621.0,CC#N
652.0,ClC(Cl)Cl
671.0,ClC(Cl)Cl
662.0,ClC(Cl)Cl
629.0,ClC(Cl)Cl
679.0,ClC(Cl)Cl
612.0,CCO
688.0,CCO
700.0,CCO
710.0,CCO
708.0,CCO
720.0,CCO
728.0,CCO
691.0,O
721.0,O
600.0,O
678.0,CCO
660.0,CCO
779.0,CCO
650.0,O
668.0,O
691.0,O
721.0,O
663.0,CO
699.0,CO
630.0,CO
652.0,CO
680.0,CCO
666.0,CCO
630.0,CO
652.0,CO
682.0,CC#N
694.0,O
688.0,[H]C([H])(Cl)Cl
684.0,CC#N
691.0,CCO
694.0,O
687.0,[H]C([H])(Cl)Cl
684.0,CC#N
691.0,CCO
696.0,O
640.0,CCO
640.0,O
606.0,CCO
698.0,O
700.0,O
744.0,O
694.0,O
694.0,O
696.0,O
703.0,O
703.0,O
707.0,O
704.0,O
710.0,O
700.0,CO
688.0,CCO
708.0,CCO
700.0,CCO
720.0,CCO
710.0,CCO
728.0,CCO
720.0,ClCCl
710.0,ClCCl
712.0,ClCCl
724.0,ClCCl
651.0,CC#N
684.0,CC#N
670.0,CCO
691.0,O
712.0,O
698.0,O
701.0,O
699.0,O
730.0,O
700.0,O
693.0,O
697.0,O
699.0,O
699.0,O
708.0,O
706.0,O
710.0,O
718.0,O
703.0,O
703.0,O
713.0,O
706.0,O
706.0,O
695.0,CC#N
699.0,ClCCl
680.0,CCO
548.0,CO
550.0,CO
568.0,CO
567.0,CS(C)=O
616.0,CO
613.0,CO
617.0,CS(C)=O
634.0,CO
634.0,O
635.0,O
674.0,O
530.0,CCO
553.0,CCO
574.0,CCO
577.0,CS(C)=O
581.0,ClCCl
572.0,CCO
581.0,O
587.0,ClCCl
590.0,CCO
588.0,O
597.0,ClCCl
588.0,CCO
583.0,O
658.0,ClCCl
528.5,CCO
528.0,CCO
534.5,CCO
540.5,CCO
532.5,CCO
533.0,CCO
535.5,CCO
541.0,CCO
586.0,O
479.0,O
530.0,O
548.0,O
521.0,O
554.0,O
549.0,O
553.0,O
560.0,O
560.0,O
538.0,O
580.0,O
566.0,O
554.0,O
565.0,CCO
570.0,CCO
584.0,CCO
593.0,CCO
478.0,O
490.0,O
522.0,O
557.0,O
484.0,O
582.0,O
564.0,O
540.0,CCO
524.0,CCO
550.0,CCO
567.0,CCO
573.0,CCO
552.0,O
613.0,O
634.0,O
621.0,O
493.0,O
570.0,CO
577.0,CO
400.0,O
475.0,O
530.0,CO
535.0,O
635.0,O
675.0,O
637.0,CC#N
638.0,O
642.0,O
639.0,O
645.0,O
480.0,O
506.0,O
390.0,O
786.0,CO
782.0,CO
785.0,CO
784.0,CO
785.0,CO
784.0,CO
680.0,O
688.0,CS(C)=O
688.0,CS(C)=O
680.0,O
802.0,CS(C)=O
777.0,O
640.0,CS(C)=O
640.0,CS(C)=O
635.0,CS(C)=O
640.0,CS(C)=O
779.0,CCO
780.0,CCO
785.0,CCO
785.0,CCO
785.0,CCO
435.0,C1CCCO1
423.0,CCO
384.0,O
764.0,[H]C(N(C)C)=O
769.0,[H]C(N(C)C)=O
774.0,[H]C(N(C)C)=O
781.0,CCO
782.0,CCO
785.0,CCO
818.0,CCO
820.0,CCO
823.0,CCO
781.0,CO
804.0,CO
883.0,ClC(Cl)Cl
981.0,ClC(Cl)Cl
1089.0,ClC(Cl)Cl
693.0,ClCCl
684.0,C1CCCO1
682.0,CCO
683.0,[H]C(N(C)C)=O
686.0,CS(C)=O
695.0,ClCCl
684.0,C1CCCO1
681.0,CO
685.0,CCO
686.0,[H]C(N(C)C)=O
699.0,ClCCl
685.0,C1CCCO1
685.0,CC(C)=O
688.0,CCO
682.0,CC#N
689.0,[H]C(N(C)C)=O
761.0,O
750.0,O
778.0,O
785.0,CO
801.0,[H]C(N(C)C)=O
805.0,CS(C)=O
783.0,O
796.0,CCO
811.0,CS(C)=O
686.0,O
689.0,CO
694.0,CCO
712.0,CS(C)=O
795.0,CCO
804.0,[H]C(N(C)C)=O
815.0,CS(C)=O
794.0,O
795.0,O
798.0,O
783.0,CCO
818.0,CCO
777.0,CCO
815.0,CCO
620.0,ClCCl
