λabs (nm),smiles
732.0,F[B-]1(F)[N+]2=C3C4=Cc5ccccc5OC4CCC3=C(c3ccccc3)C2=Cc2n1c1c(c2-c2ccccc2)CCC2C1=Cc1c(cccc1)O2
562.0,CC1(C)c2ccccc2N(C)/C1=C\C=C\C1=C2[N+](=C(c3ccccc3)C=C2)[B-](F)(F)n2c1ccc2-c1ccccc1
597.0,F[B-]1(F)[N+]2=C(C)C=C(C)C2=C(c2ccccc2)c2n1c(/C=C/c1ccc(N(C)C)cc1)cc2C
558.0,CN1c2c(cccc2)S/C1=C/C=C/C1=C2[N+](=C(c3ccccc3)C=C2)[B-](F)(F)n2c1ccc2-c1ccccc1
679.0,F[B-]1(F)[N+]2=C(c3ccccc3)C=CC2=C(/C=C/C=C2/CC=C3C=CC=CC3N2C)c2n1c(-c1ccccc1)cc2
727.0,F[B-]1(F)[N+]2=C(c3ccc(CC)s3)c3cc(OC)ccc3C2=Cc2n1c(-c1ccc(CC)s1)c1c2ccc(OC)c1
730.0,F[B-]1(F)[N+]2=C(C)C(C(OCC)=O)=C(c3ccccc3)C2=Cc2n1c(/C=C/C=C1\C(C)(C)c3ccccc3N1C)c(C(OCC)=O)c2-c1ccccc1
745.0,F[B-]1(F)[N+]2=C(C)C(C(OCC)=O)=C(c3ccccc3)C2=Cc2n1c(/C=C/C=C1\Sc3ccccc3N1CC)c(C(OCC)=O)c2-c1ccccc1
778.0,F[B-]1(F)[N+]2=C(C)C(C(OCC)=O)=C(c3ccccc3)C2=Cc2n1c(/C=C/C=C1\C=Cc3ccccc3N1C)c(C(OCC)=O)c2-c1ccccc1
680.0,F[B-]1(F)[N+]2=C(/C=C/c3ccc(OCC(OCC)=O)cc3)C=C(C)C2=Cc2n1c(-c1c(C)cc(C)[nH]1)c1c2cccc1
676.0,F[B-]1(F)[N+]2=C(/C=C/c3ccc(OCC(OCC)=O)cc3)C=C(C)C2=C(/C=C/c2ccc(OCC(OCC)=O)cc2)c2n1c(-c1c(C)cc(C)[nH]1)c1c2cccc1
670.0,F[B-]1(F)[N+]2=c3cc(-c4c(OC)cc(OC)cc4)oc3=CC2=Cc2n1c1c(c2)oc(-c2ccc(OC)cc2OC)c1
731.0,F[B-]1(F)[N+]2=c3cc(-c4ccc(OC)cc4)sc3=CC2=C(C(F)(F)F)c2n1c1c(c2)sc(-c2ccc(OC)cc2)c1
720.0,F[B-]1(F)[N+]2=c3c(Br)c(-c4ccc(OC)cc4)sc3=CC2=C(C(F)(F)F)c2n1c1c(c2)sc(-c2ccc(OC)cc2)c1Br
766.0,F[B-]1(F)[N+]2=c3c(Br)c(-c4ccc(OC)cc4)sc3=C(Br)C2=C(C(F)(F)F)c2n1c1c(c2Br)sc(-c2ccc(OC)cc2)c1Br
723.0,F[B-]1(F)[N+]2=c3c4[nH]cc(C(C)C)c4c4c(cccc4)c3=C(C(C)C)C2=Cc2n1c1c(c2C(C)C)c2c(c3c1[nH]cc3C(C)C)cccc2
727.0,F[B-]1(F)[N+]2=c3c4[nH]cc(C(C)C)c4c4c(cccc4)c3=C(C(C)C)C2=Cc2n1c1c(c2C(C)C)c2c(c3c1[nH]cc3C(C)C)cccc2
729.0,F[B-]1(F)[N+]2=c3c4[nH]cc(C(C)C)c4c4c(cccc4)c3=C(C(C)C)C2=Cc2n1c1c(c2C(C)C)c2c(c3c1[nH]cc3C(C)C)cccc2
758.0,F[B-]1(F)[N+]2=Cc3cc4c(cc3C2=Cc2n1c(C)c(CC)c2CC)C(C)=[N+]1C4Cc2c(CC)c(CC)c(C)n2[B-]1(F)F
692.0,Cc1c2c(cc3c(c2)C=[N+]2C3=Cc3c(CC)c(CC)c(C)n3[B-]2(F)F)c2n1[B-](F)(F)[N+]1=C(C)C(CC)=C(CC)C1=C2
848.0,F[B-]1(F)[N+]2=Cc3cc4c(cc3C2=Cc2n1c(C)c1c2cccc1)C(C)=[N+]1C4Cc2c3ccccc3c(C)n2[B-]1(F)F
775.0,Cc1c2c(cc3c(c2)C=[N+]2C3=Cc3c4ccccc4c(C)n3[B-]2(F)F)c2n1[B-](F)(F)[N+]1=C(C)c3ccccc3C1=C2
688.0,F[B-]1(F)[N+]2=C(c3ccc(OC)cc3)C=C(c3ccccc3)C2=Nc2n1c(-c1ccc(OC)cc1)cc2-c1ccccc1
710.0,F[B-]1(F)[N+]2=C(c3cccs3)C=C(c3ccccc3)C2=Nc2n1c(-c1cccs1)cc2-c1ccccc1
733.0,F[B-]1(F)[N+]2=C(c3cccs3)C=C(c3cccs3)C2=Nc2n1c(-c1cccs1)cc2-c1cccs1
694.0,F[B-]1(F)[N+]2=C(c3ccc(Br)cc3)C=C(c3cccs3)C2=Nc2n1c(-c1ccc(Br)cc1)cc2-c1cccs1
740.0,F[B-]1(F)[N+]2=C(c3ccc(C#Cc4ccc(N(C(CCCCC)=O)C(CCCCC)=O)cc4)cc3)C=C(c3ccccc3)C2=Nc2n1c(-c1ccc(C#Cc3ccc(N(C(CCCCC)=O)C(CCCCC)=O)cc3)cc1)cc2-c1ccccc1
760.0,F[B-]1(F)[N+]2=C(c3ccc(C#Cc4ccc(N(C(CCCCC)=O)C(CCCCC)=O)cc4)cc3)C=C(c3cccs3)C2=Nc2n1c(-c1ccc(C#Cc3ccc(N(C(CCCCC)=O)C(CCCCC)=O)cc3)cc1)cc2-c1cccs1
740.0,F[B-]1(F)[N+]2=C3c4ccc(OC)cc4CCC3=C(c3ccccc3)C2=Nc2n1c1c(c2-c2ccccc2)CCc2c-1ccc(OC)c2
723.0,F[B-]1(F)[N+]2=C3c4ccccc4CCC3=C(c3ccccc3)C2=Nc2n1c1c(c2-c2ccccc2)CCc2c-1ccc(OC)c2
706.0,F[B-]1(F)[N+]2=C3c4ccccc4SCC3=C(c3ccccc3)C2=Nc2n1c1c(c2-c2ccccc2)CSc2c-1cccc2
708.0,F[B-]1(F)[N+]2=C(c3ccc(OC)cc3)C=C(c3ccccc3)C2=Nc2n1c1c(c2-c2ccccc2)CCc2c-1ccc(OC)c2
715.0,F[B-]1(F)[N+]2=c3ccc4c(cccc4)c3=C(c3ccccc3)C2=Nc2n1c1c(c2-c2ccccc2)CCc2c-1ccc(OC)c2
721.0,F[B-]1(F)[N+]2=C3c4ccc(OC)cc4CCC3=C(CCc3ccccc3)C2=Nc2n1c1c(c2CCc2ccccc2)CCc2c-1ccc(OC)c2
728.0,c12c(-c3ccccc3)cc3n1[B-]1(Oc4c-3cccc4)Oc3c(cccc3)C3=[N+]1C(=N2)C(c1ccccc1)=C3
