荧光分子摩根,溶剂摩根,λabs (nm)
0000000000000000000000000000000000000000000000000100000000000000100000000000000000001000000000000000000000011000001000000000000000000000100000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100010000000100000000000010000000000000000000000000000000000000001010000100000000000000000000000001010000000000000000000000000000001000100000000000001000000100000000000110000100001000000000000000000100000000000000000000000000000000010000000000000000000000000000000010000000000000001000000000000000000000000000000000000000000000000000001010000000000000000000000000100010100000000001000000000000000000000000000000000000000000001000000001001000000000100000000000001000000000000000000000000100000010000000000010000000000000000000000000000000000000000000000000000001000000000000100000000000000000010000000000000010000000100001000100000000000110000000010000000000000100000000000000100000000000000000000000010000000000000000000001000000011000,0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,732
0000000000000000000000000000000001001001000010000000000000100000100000000000000000000000000000000000000000000000000000000100000000000000100000000000100000000000000000000000010100001000010000000000000000000000000000000001000000000001000000000000000000100001000000000000000100010001000000000000010000000010000000000000000000000000000000000000001000000000000010000000000000001000000000000000010000000000000000000000000000000010000000001000100000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000010000000000000000000000000100010000000000000000000000000001000000000101000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000100000000000001000000000000000000000000000000000000000010000000000100100101000000000000000000000100010000000000000000000010000000000000000000000000000001010000000000000000000000110000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,562
0000000000000000000000000100000001000000000000000000001000000000100000001000000000001000000000000000000000010000000000000000000000000000100100000000100000000000000000000000010100000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000100000000000010000000000000000001110000100000100000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000100010000100000000000000000000001000000000110000001000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000100000000000001000000001000000000000000010010010000000000100000000000100001000000000000000000000000010000000000000000000000001000000000000000000000000000000000000000000100000100000000000000,0000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,597
0000000000000000000000000000000001000001000010000000000000000000100000000000000000000000000000000000000000000000000000000100000000000001100000000000100000000000000000000000010100001000010000000000000000000000000000000001000000000001000000000000000000000000000000000000000100010001000000000000010000000010000000000000000000000000000000000000000000000000000010000000000000001000000000000000010000000100000000000000000000000010000000001000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000100000010000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000100000000010000001000000000000000000100010000000000000000000000000001000000000101000000000000000000000000001000000000000000000000000000010000000000000000000000001000000000000000100000000000001000000000000000000000000000000000000000010000000000001100001000000010000000000000000010000000000000100000000000000000000000000000000000001000000000000000000000000100000101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,558
0001000000000000000000000000000001000001000010000000000000010000100000000000000000000000000000000000000000000000000000000100000000000000100000000000100000000000000000000000010100001000010000000000100000000000000000000001000000000001000001000000000000000001000000000000000000010001000000000000010000000010000000000000000000000000000000000000000000000000000010000001000000101000010000000000010000000000000000000000000000000010000000001000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000100000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000100010000000000000000000100000001000000000101000000000000000000100001001000010000000000000000000000010000000000000000000000000000000100000000100000000000001000000000000100000000000000010000000000010000000000000100001000000000000000010000000010000000000000000000000000000000000000001000000000000000000000000000000000000100000011000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,679
0000000000000000000000000000000001000000000000000000000000001010000000000000000010001000000000000000000000010000000000000000000000000000000000000000100000000000011000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000001000000000010000000100011000000000000000000011000000100000000001000000000000000000100010000000000000000000000000000000000000000000000000000000000100000000000000100000000000000100000000000000000100000000000000001000000000000000000000001000000010000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010100000000001000001000010000000000000010000000000000100000000100000001000000000100000000000000000000000000000000000000100000100000000000010000000000000000000000000000000000000000000000100000001000000000000000000000000010000000000000000100000000000100001000000000000000000000000010000000000001000000000000000000000100000000000010000000000000000000000000000000000001000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,727
0000000000000000000000000000000001001000000000000000001000100000100000000000001010001000000000000000000000000000000000000100000000000000100000000101100000000100000000000000000100000000010000000000000000000000000100100000000000000000000000000000000000100001000000000000000100000000000000000000011010000000000000000000100000000000000000000000001000000000001010100000000000000000000000010001010000000000000000000000000000001000000000001000100000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000100000000000000000000000000000000000011000000000000000000000000010100000100000000000000000000000000000000000110010000000000000000000000001001000000000100000000000000000000001000000000000000000000000000000000010000000000101000000000000000000000000000100000000000001000000000000000000000000000000000000000010010000000100101101000000000000000000000100010000000000000000000010000000010000000000000000000001010000000000000011000000010000001000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,730
0000000000000000000000000000000001100000000000000000001000000000100000000000001010001000000000000000000000000000000000000000000000000000100000010101100000000100000000000000000100000000010000000000000000000000000100100000000000000000000000000000000000000000000000000000000100000000000000000000011010000000000000000000100000000000100000000000000000000000001010100000000000000000000000010001010000000100000000000000000000001000000000001000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000001000000000000100101000000000000000000000000000000000011000000000000000000000000010100000100000000000000001000000000000000000110010000000000000000000000001001000000000100000000000000000000001000000000000000000000000000000000010000000000101000000000000000000000000000100000000000001000000000000000000000000000000000000000010010000010000101001000000010000000000000000010000000000000100000000000000010000000000000000000000000000000000000011000000000000101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,745
0000000000000000000000000000000001000000000010000000001000000000100000000000001010001000000000000000000000000001000000000100000000000000100000000101100000000100100000000000000100000000010000000000000000000000000100100000000000000000000000000001000000000000000000000000000100010000000000000000011010000000000000000000100000000000000000100000000000000000001010100000000000000000000000010001010000000000000000000000000000001000100000001000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000001000000000000000100000000000000000000000000000000000011000000000000000000000000010100000100000000000000000000000000000000000110010000000000000000000000001001000000000100000000000001000000001000000000000000000001000000000000010000000000101000000000000000000000000000100000000000001000000000000000000000000000000000000000010010010000000101001000000000000000000000000010000000000000000000000000000010000000000000000000001000000000000000011000000000000001000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,778
0000000000000000000000000100110001000000000000000000000000000000100000000000000010001000001000000000001000010000000000000000000000000000000000000001100000110000000000000000000100000000000000000100000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000100011000000000000000000001000000100000000001000000000000000000010010000010000100000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000001000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000010100000100000000001000000000000000000000000110010000000000000001000100100001000000000000000001000000000000000000000000000000000000000000000000010000000100001000000000000000000000010000100000000000001000000000000010000000001010010000000000000010000000000100001000000000000000000000010010000000000000000000000000000000000001000000010001000010000000000000000000100000000001001,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,680
