荧光分子摩根,溶剂摩根,λabs (nm)
0000000000000001000000000001000001000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000010000000000000000001000000000000000000000010000000000110000000000001000000011100000100100000100000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000001010000010000000000000000000000000000000000000000010000000000100000000000001001000000000000000000100000000000000000000000000000000000000000000000000000000000001001000000000000000000001001000000000000001000101000001000100000000010000100000000000000000000000000000000000000000000000000000000001000010000000000000000000000100000001000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,654
0100000000000001000000000000000001000000000000000000000000000000100000000000000010000000000000000000000000000000000001000100000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000010000000000000000000100000000000100000000001000000000000000000010000000000000000001000000000000000000100010000000000000000000001000000000001000000000000000000000001010001000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000100000010000000000000000000000000000000000000000000010000000000010000000000000000010001000000000000000100000000100000100000000001000000000000000000000000000000000000100000000000000000000000100000010000000000000000000000000001000000000000000000011000001000000000000000000000000000001000000010000000000100000000000000101000000000000000000010000000000000000000000001000000000000000000000000000000000000000010000000100000000011000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,796
0100000000000001000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000010000000000000000000100000000000100000000000000000000000000000010000000000000000001000000000000000000100010000000000000000000001000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000010000000000000000000000000000000000000000000010000000000010000000000000000010001000000000000000100000000100000100000000001000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000010000001000000000000000000000000000001000000000000000000100000000000000001000000000000000000010000000000000000000000001000000000000000000000000000000000000000010000000100000000011000,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,787
0000000000000000000000000000000001000000000000000000000000000000100000001000010010000000000000000000000000000000000000010110000000000000100100010000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001000001000000000000000000000000000010000100000000000000000000000000010000000000000000000001000000000010000000000000000000000000000001000000000000000000100000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001001000000000000000000000000100000000000000000000000000000000000000000000000000000000001000000001000000000000000100000000000000000000001101000000000100100000000000000000000000000000000000000000000010000000010000000000000000000100000000000000001000000000000000001000001000000000000000000010000010000010001010010000000000000000000000000000000000000010000100000000100000000001000000000000000001000000000000000000100000000001000000000001000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,642
0000000000100100000000000000000001000000000100000100000000000000100000000000000010000001000000000000001000000000000000010000000000000000100000000000000000000000000000000000000100000000000000000000000000010000000000100000000001000000100000000000000010000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000010000010000100000000000000001000000000010000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000001000000000000000000000000000000000001000000000000101000000000000000000010000100000000000000000100001001000000000000000000000000000000000000000000000000000000000000000010010000000001001000000000000000000000000000000000000100001000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000001000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,711
0000000000000001000000000000000000000000000100000000000000000001100000001000000010000001000000000000001000000000000000000010000000000000100000000000000000000000000000000010000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000000000000000000000100001000010000000000010000010000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000001000000001000000000000000100000000000000000000001101000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100001000000000000000000000000000000010000000000000010000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000101000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,700
0000000000000001000000000000000000000000000100000000000000000000100000001000000000000001000000000000001000000000000000000010000000000000100000000000000000000000000000000010000100000000000100000000000000010000000000000000000000000000100000000000000000000000000000000000000000000010000000001000001000000000000000000000000000000000100000000000000000000010000010000100000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000001000000000000101000000001000000000000000100000000000000000000001101000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000100001000000000000000000000000010000010000000000010010000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000001000000000001000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,710
0000000000100100000000000100000001000000000000000000000000000000100000000000000010001000000000000000001000010000000000000100000000000000100000000000100010000000000000000000010100000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000010000000100000000000010000000000000000101010000000000100000000000000000000000000000000000000000000000000001000000010000000000000000010000001000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000001000000000000000000000000000000000001000000000000000001000000010000000100000000000000000000000000000100000010010000000000000000000100000001000000000000000001000000000000000000010000000000000000001000000000010000000000000000000000000000000000000000000000000000001000000001000000000000000010001000100010000000010000000100001000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,500
0000000000100100000000000100000001000000000000000000000000000000110001000000000010000000000000000000001000000000000000000100000000000000100000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000100010000000000000000000010000000100000000000010000000000000000101010100000000000000000000000000000000000000000000000000010000000000000000010000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000001000000100000000001000000000000000000000000000000000001000000000000000001001000010000000100100000000000000000000000000100000010010000000000000000000100000001000000000000000100000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000001000000001000000000000000000001000000010000000010000000100001000000000000000000000000010000000000011000000000000000000000000000000001001000000000000000000010000000000000000000,0000000000000000000000000000000101000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,536
0000000000000000000000000100000001000001000000000000000010000000100001001000000000000000000000000000001000000000000010000000000000000000100000000000100000000000000100000010000100000000000001000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000001100011000000000000000000000000000000000000000010000000000000100001010100000000000000000000000000000010000000000000000000000000000000000001000100000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000001000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000010000000000000000000100010000000000000010000000000001000100000000000100000000000000000000000000000001000000000000000000010000000000000010000000000000000000000000000000000000001000000001000000000000000000000010000000000000010000000100011000000000000000000001010010000000000001000000000001001000000000000000000000000000000000000000010001100000000000000,0000000000000000000000000000000101000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,603
